acbb970e4872948840b5ad3932d13a2f44993705f8b4d79600ece00f3e5516a9,4e5d68589f1b0de1206b82fc0379cbaedb0238262c5345930a4484e27c78e292,24bd5712dcebad29a2b88a1614160f02d4778691cfb2b80206f89c98b3b276d8,420f736c752590c00fe066892b5885d63783e97bef352f9aaa961733a89429f6,df66993b436730f1c3638cf9a02e3514d60e6e2e894ea551d662edf73dca98de,d9b9bad3cb3f72add778191f0b671a3311da025a2cf525fcf0b3f490a399e469,fff1b3a09524f82af70341d2b5283a6427240d9323b9d1d1696bcd15ac8471d2
"10","ボスNORMAL討伐で解放！","72004021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","20004","107601","[3C404E]ボスNORMAL討伐で解放！"
"12","ボスNORMAL討伐で解放！","72005021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","20005","108001","[3C404E]ボスNORMAL討伐で解放！"
"15","ボスNORMAL討伐で解放！","72007021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","20007","108201","[3C404E]ボスNORMAL討伐で解放！"
"17","ボスNORMAL討伐で解放！","72009021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","20009","108501","[3C404E]ボスNORMAL討伐で解放！"
"19","ボスNORMAL討伐で解放！","72010021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","20010","108901","[3C404E]ボスNORMAL討伐で解放！"
"21","ボスNORMAL討伐で解放！","72011021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","20011","109001","[3C404E]ボスNORMAL討伐で解放！"
"22","ボスNORMAL討伐で解放！","72013021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","20013","109301","[3C404E]ボスNORMAL討伐で解放！"
"23","ボスNORMAL討伐で解放！","72015021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","20015","110101","[3C404E]ボスNORMAL討伐で解放！"
"24","ボスNORMAL討伐で解放！","72016021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","20016","110501","[3C404E]ボスNORMAL討伐で解放！"
"25","ボスNORMAL討伐で解放！","72018021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","20018","111201","[3C404E]ボスNORMAL討伐で解放！"
"26","ボスNORMAL討伐で解放！","72020021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","20020","111601","[3C404E]ボスNORMAL討伐で解放！"
"27","ボスNORMAL討伐で解放！","72021021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","20021","112101","[3C404E]ボスNORMAL討伐で解放！"
"28","ボスNORMAL討伐で解放！","72022021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","20022","112301","[3C404E]ボスNORMAL討伐で解放！"
"29","ボスNORMAL討伐で解放！","72025021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","20025","113001","[3C404E]ボスNORMAL討伐で解放！"
"30","ボスNORMAL討伐で解放！","72026021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","20026","113201","[3C404E]ボスNORMAL討伐で解放！"
"31","ボスNORMAL討伐で解放！","72027021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","20027","113501","[3C404E]ボスNORMAL討伐で解放！"
"32","ボスNORMAL討伐で解放！","72029021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","20029","114101","[3C404E]ボスNORMAL討伐で解放！"
"33","ボスNORMAL討伐で解放！","72031021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","20031","114601","[3C404E]ボスNORMAL討伐で解放！"
"34","ボスNORMAL討伐で解放！","72032021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","20032","114701","[3C404E]ボスNORMAL討伐で解放！"
"35","ボスNORMAL討伐で解放！","72033021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","20033","115601","[3C404E]ボスNORMAL討伐で解放！"
"36","ボスNORMAL討伐で解放！","72035021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","20035","115801","[3C404E]ボスNORMAL討伐で解放！"
"37","ボスNORMAL討伐で解放！","72038021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","20038","116801","[3C404E]ボスNORMAL討伐で解放！"
"38","ボスNORMAL討伐で解放！","72040021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","20040","117401","[3C404E]ボスNORMAL討伐で解放！"
"39","ボスNORMAL討伐で解放！","72042021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","20042","117801","[3C404E]ボスNORMAL討伐で解放！"
