fe41b3dca7ea4729df3389205f94f30f40a12030127eec8033009f53d3cc3357,6539d0362b9792968f3b0cf3fdc793c2df235ac5ed5d85a048795007bf346237,6d3c8e9286d3518b768e35d2512227999e799d15c179c5875e61b50429d1cd18,a7251323f0d7cde870294f31823a6b5f8f16a1b3e69a5f1bfed7a22685fd001c,a7290f1489f93c377b5513e9505fcd30a1f2832210a610c4452245e6984f1690,81fce45624cab1e9aa5c3118d8ce0b16f2d2a6063a5e7a0cf6018c45f3a00222,31247de8204257484c2c0457210118362521734b29614fe4ce72b15ebcaf2808,681fce7366ae80d5fcf4b1cfecd039bdcbf5f98b11d9134c0fbdbb0a57b9668e,48a2f7fcd4025f1c99d23080ad31ad1c8210ae500a09c81662de75a8753d7543,45d5799a6152467665ba0a4df5715fec2db54996126cfd3b73f48d8083ca42dc,1fa7c1e90f78e0014472727fda79462abf35ed552c5e5fb585f986a1a1b85315
"2","10","1","31","8","281001001","2","25021","91002","25011","8"
"2","10","2","31","8","281001002","2","25021","91002","25011","8"
"2","10","3","32","8","281001003","2","25021","91002","25011","8"
"2","10","4","32","8","281001004","2","25021","91002","25011","8"
"2","10","5","33","8","281001005","2","25021","91002","25011","8"
"2","10","6","33","8","281001006","2","25021","91002","25011","9"
"2","10","7","34","8","281001007","2","25021","91002","25011","9"
"2","10","8","35","8","281001008","2","25021","91002","25011","9"
"2","10","9","35","8","281001009","2","25021","91002","25011","9"
"2","30","10","37","8","281001010","2","25021","91002","25011","10"
"2","10","11","41","8","281001011","2","25021","91002","25011","10"
"2","10","12","43","8","281001012","2","25021","91002","25011","11"
"2","10","13","46","8","281001013","2","25021","91002","25011","11"
"2","10","14","48","8","281001014","2","25021","91002","25011","12"
"2","10","15","50","8","281001015","2","25021","91002","25011","12"
"2","10","16","53","8","281001016","2","25021","91002","25011","13"
"2","10","17","55","8","281001017","2","25021","91002","25011","14"
"2","10","18","58","8","281001018","2","25021","91002","25011","14"
"2","10","19","60","8","281001019","2","25021","91002","25011","15"
"2","30","20","62","8","281001020","2","25021","91002","25011","15"
"2","10","21","68","8","281001021","2","25021","91002","25011","16"
"2","10","22","70","8","281001022","2","25021","91002","25011","16"
"2","10","23","72","8","281001023","2","25021","91002","25011","16"
"2","10","24","75","8","281001024","2","25021","91002","25011","17"
"2","10","25","77","8","281001025","2","25021","91002","25011","18"
"2","10","26","79","8","281001026","2","25021","91002","25011","18"
"2","10","27","82","8","281001027","2","25021","91002","25011","19"
"2","10","28","84","8","281001028","2","25021","91002","25011","19"
"2","10","29","86","8","281001029","2","25021","91002","25011","19"
"2","30","30","89","8","281001030","2","25021","91002","25011","20"
"2","10","31","94","8","281001031","2","25021","91002","25011","20"
"2","10","32","96","8","281001032","2","25021","91002","25011","21"
"2","10","33","99","8","281001033","2","25021","91002","25011","21"
"2","10","34","101","8","281001034","2","25021","91002","25011","22"
"2","10","35","103","8","281001035","2","25021","91002","25011","22"
"2","10","36","106","8","281001036","2","25021","91002","25011","23"
"2","10","37","108","8","281001037","2","25021","91002","25011","23"
"2","10","38","111","8","281001038","2","25021","91002","25011","24"
"2","10","39","113","8","281001039","2","25021","91002","25011","25"
"2","30","40","115","8","281001040","2","25021","91002","25011","25"
