3a897e4c6bf961cd24701ba5f84d70871c6c7c7bd97a0df7f585dcf4c504ec4d,60a6c44509dfb69c586fc277ed8e24e9ffb8b610a5f9c367525832a3f0f870f2,493e36e6b12842038df30256122abb3a30a8d7cad9f776ec4344aef9903ad97f,d78d13baac055cbd2618d8e32d6dfa50effe5462276b11f9ec79bb47836c339d,191a8995c03f89382af7276341c586d8302a1298d27a3e2690201b8aea4c4f91,7e970fb76fa240ed2da9e196c028319185fa0495d837e0ad891798aa7d08b42d,a68b4dcbd46eef2f9f4a582782a883540ad0cf0d817a71eb8c40a685623294d6,8b9feb42c5f4e2f682505b4afe1264a010736b3d6655422dd5acff55283afa9f,d4bc27f843aa1abc5b45e024f00afa5714cacb27b31c4c7d58c168a1287484b3,b4b869cc190ff56372ae441e67d37f01330f86db48de22acdc0cdb3241215dce,d94e5b2fa87b126aae1b37e966c43ba8c79bd7f72ed8b133f81f913a7d726eae
"1","-157","01_uek_cmn_idol_def_N","1","0","105831","-496","100","1","1010001","1.3"
"1","-178","01_uek_cmn_idol_def_N","1","0","105931","-355","110","1","1010002","1.3"
"1","-124","01_uek_cmn_idol_def_N","1","1","112631","410","100","1","1010003","1.3"
"1","-258","01_uek_cmn_idol_def_N","1","1","112531","389","110","1","1010004","1.3"
"1","-234","01_uek_cmn_idol_def_N","1","0","106031","-415","120","1","1010005","1.3"
"1","-235","01_uek_cmn_idol_def_N","1","1","112431","262","120","1","1010006","1.3"
"105831","1","","1","0.2","01_uek_01_peko","01_uek_cmn_pose03","0","3","1010007","0"
"105931","1","","1","0.2","01_uek_01_kokkoro","01_uek_talk_normal","0","3","1010008","0"
"106031","1","","1","0.2","01_uek_01_kyaru","01_uek_cmn_pose02","0","3","1010009","0"
"112631","1","","1","0.2","01_uek_01_mio","01_uek_cmn_pose03","0","3","1010010","0"
"112531","1","","1","0.2","01_uek_01_rin","01_uek_cmn_pose02","0","3","1010011","0"
"112431","1","","1","0.2","01_uek_01_uduki","01_uek_cmn_pose01","0","3","1010012","0"
"3","","","1","","","","","93","1010013",""
"112631","0","","1","","01_uek_cmn_pose03","","1","3","1010014","0.2"
"112431","0","","1","","01_uek_cmn_pose01","","1","3","1010015","0.2"
"105831","0","","1","","01_uek_cmn_pose03","","1","3","1010016","0.2"
"105931","1","","1","0.1","01_uek_talk_normal","01_uek_cmn_idol_def_N","0","3","1010017","0.2"
"106031","1","","1","0.1","01_uek_cmn_pose02","01_uek_cmn_idol_def_N","0","3","1010018","0.2"
"112531","1","","1","0.1","01_uek_cmn_pose02","01_uek_cmn_idol_def_N","0","3","1010019","0.2"
"105831","","","1","","うわぁ～…！\n大きくなりすぎて\nやばいですね☆","","10","11","1010020",""
"0","","","1","","","","","91","1010021",""
"105931","","","1","","うえきちゃんが\nどこまで続くのか\n分からないほどです","","10","11","1010022",""
"0","","","1","","","","","91","1010023",""
"112631","","","1","","こういうのってさ\n上がどうなってるか\n見てみたいよね！","","10","11","1010024",""
"0","","","1","","","","","91","1010025",""
"112531","","","1","","確かにね…それに\nこうなった理由も\n分かるかも","","10","11","1010026",""
"0","","","1","","","","","91","1010027",""
"106031","","","1","","ま、興味はあるし\n付き合ってあげるわ","","10","11","1010028",""
"0","","","1","","","","","91","1010029",""
"112431","","","1","","はい♪みなさんで\n頂上を目指して\n頑張りましょう！","","10","11","1010030",""
"0","","","1","","","","","91","1010031",""
"1","0","02_uek_cmn_idol_def_N","2","0","104431","0","100","1","1020001","1.3"
"104431","0","","2","","02_uek_02_ilya","02_uek_02_ilya_loop","0","3","1020002",""
"104431","","","2","","はーっはっはっは！\n世界征服への\n第一歩を始めるぞ！","0","10","11","1020003",""
"0","0","","2","","","","","91","1020004",""
"1","-10","01_uek_cmn_idol_def_N","3","0","105831","-140","100","1","1030001","1.3"
"1","10","01_uek_cmn_idol_def_N","3","1","105931","120","100","1","1030002","1.3"
"1","0","01_uek_cmn_idol_def_N","3","1","106031","0","100","1","1030003","1.3"
"105831","0","","3","","01_uek_03_peko","01_uek_03_peko_loop","0","3","1030004",""
"106031","0","","3","","01_uek_03_kyaru","01_uek_03_kyaru_loop","0","3","1030005",""
"105831","","","3","","キャルちゃん！\n見てください\nいい景色ですよ☆","0","10","11","1030006",""
"0","","","3","","","","","91","1030007",""
"106031","","","3","","ちょ、あんた！\n引っぱんないでよ！\n落ちるでしょうが！","0","10","11","1030008",""
"0","","","3","","","","","91","1030009",""
"105931","1","","3","","01_uek_03_kokkoro","01_uek_cmn_idol_def_N","0","3","1030010",""
"105931","","","3","","ふふ、この先も\nきっと素敵な景色が\n待っているはずです","0","10","11","1030011",""
"1","-30","02_uek_cmn_idol_def_N","4","0","101131","-120","100","1","1040001","1.3"
"1","-5","02_uek_cmn_idol_def_N","4","1","104931","20","100","1","1040002","1.3"
"101131","","","4","","02_uek_talk_joy2","","1","3","1040003",""
"101131","","","4","","マスターセンリも\n一発からです！\n頑張りますよ！","0","10","11","1040004",""
"0","","","4","","","","","91","1040005",""
"101131","","","4","","02_uek_cmn_idol_def_N","","1","3","1040006","0.2"
"104931","","","4","","02_uek_04_shizuru","","1","3","1040007","0.2"
"104931","","","4","","それを言うなら\n千里の道も一歩から\nだよ、リノちゃん","0","10","11","1040008",""
"0","","","4","","","","","91","1040009",""
"104931","","","4","","02_uek_cmn_idol_def_N","","1","3","1040010","0.2"
"1","0","02_uek_cmn_idol_def_N","5","0","105031","-70","100","1","1050001","1.3"
"1","1","02_uek_cmn_idol_def_N","5","1","101631","70","100","1","1050002","1.3"
"105031","-15","","5","","02_uek_05_misaki","02_uek_05_misaki_loop","0","3","1050003",""
"101631","0","","5","","02_uek_05_suzuna","02_uek_05_suzuna_loop","0","3","1050004",""
"105031","","","5","","大人の階段を\n登るわよー！","0","10","11","1050005",""
"0","0","","5","","","","","91","1050006",""
"101631","","","5","","うちもモデルの\nてっぺん目指すし！","0","10","11","1050007",""
"1","25","02_uek_cmn_idol_def_N","6","1","100531","120","100","1","1060001","1.3"
"1","5","02_uek_cmn_idol_def_N","6","0","103731","-20","100","1","1060002","1.3"
"100531","","","6","","02_uek_cmn_pose04","","1","3","1060003",""
"100531","","","6","","これくらいの高さで\nへこたれてたら\nヒーロー失格ッス！","0","10","11","1060004",""
"0","","","6","","","","","91","1060005",""
"103731","","","6","","02_uek_talk_normal","","1","3","1060006","0.2"
"103731","","","6","","うん、いい鍛錬に\nなりそうだね\n楽しくなってきたよ","0","10","11","1060007",""
"0","","","6","","","","","91","1060008",""
"103731","","","6","","02_uek_cmn_idol_def_N","","1","3","1060009","0.2"
"1","-20","02_uek_cmn_idol_def_N","7","0","103831","-60","100","1","1070001","1.3"
"103831","","","7","","02_uek_07_shiori","","1","3","1070002","0.2"
"103831","","","7","","あれ…お姉ちゃん\nどこに行ったのかな\n…お姉ちゃーん？","","10","11","1070003",""
"1","40","02_uek_08_kuka_loop","8","0","104531","90","100","1","1080001","1.3"
"2","1","","8","","2","60","90","31","1080002","1"
"104531","0","","8","","あ、足に絡みつく\nツタの感触が\nたまりません～～！","0","10","11","1080003",""
"0","","","8","","","","","91","1080004",""
"2","-35","05_idle","9","0","105831","-195","100","1","1090001","0.9"
"2","-30","302102_idle","9","0","302102","150","1000","1","1090002","1.2"
"102","1","","9","","15","50","150","31","1090003","1"
"103","1","","9","","16","400","150","31","1090004","1"
"1","-25","01_uek_cmn_idol_def_N","10","0","112531","-160","100","1","1100001","1.3"
"1","-5","01_uek_cmn_idol_def_N","10","1","112431","-40","100","1","1100002","1.3"
"1","20","01_uek_cmn_idol_def_N","10","1","112631","125","100","1","1100003","1.3"
"112631","0","","10","","01_uek_talk_surprise2","","1","3","1100004",""
"112631","0","","10","","うっひゃ～…！\n足場が雲になるって\nどういうこと！？","0","10","11","1100005",""
"0","","","10","","","","","91","1100006",""
"112631","0","","10","","01_uek_cmn_idol_def_N","","1","3","1100007","0.2"
"112431","","","10","","01_uek_talk_joy1","","1","3","1100008",""
"112431","0","","10","","なんだか不思議な\n感触してますね～\nふわふわですよ♪","0","10","11","1100009",""
"0","","","10","","","","","91","1100010",""
"112431","","","10","","01_uek_cmn_idol_def_N","","1","3","1100011","0.2"
"112531","","","10","","01_uek_talk_normal","","1","3","1100012",""
"112531","0","","10","","落ちたりはしなそう\nだけど…足元には\n気をつけて進もう","0","10","11","1100013",""
"0","","","10","","","","","91","1100014",""
"112531","","","10","","01_uek_cmn_idol_def_N","","1","3","1100015","0.2"
"0","","","10","","","","","91","1100016",""
"1","-20","03_uek_cmn_idol_def_N","11","0","104731","-135","100","1","1110001","1.3"
"1","5","03_uek_cmn_idol_def_N","11","1","107131","100","100","1","1110002","1.3"
"104731","1","","11","","03_uek_11_jun","03_uek_11_jun_loop","0","3","1110003","0"
"107131","1","","11","0.2","03_uek_11_chris","03_uek_cmn_idol_def_N","0","3","1110004","0"
"104731","0","","11","","むむ、視界が白く…\nクリスちゃん、\n気を付けるんだ！","","10","11","1110005",""
"0","","","11","","","","","91","1110006",""
"107131","0","","11","","ははは、鎧の重さで\n沈んでいるぞ団長☆\nそぉれ一本釣りだ！","0","10","11","1110007",""
"1.5","","","11","","","","","93","1110008",""
"104731","1","","11","","-135","1.5","0","2","1110009",""
"1110007","","","11","","","","","91","1110010",""
"1","-20","03_uek_cmn_idol_def_N","12","0","101031","-120","100","1","1120001","1.3"
"1","-5","03_uek_cmn_idol_def_N","12","1","101431","10","100","1","1120002","1.3"
"101031","0","","12","","03_uek_talk_joy1","","1","3","1120003",""
"101031","0","","12","","かわいい雲さんやね\n一緒に連れて\n帰りたいわぁ♪","0","10","11","1120004",""
"0","","","12","","","","","91","1120005",""
"101031","0","","12","","03_uek_cmn_idol_def_N","","1","3","1120006","0.2"
"101431","0","","12","","03_uek_talk_normal","","1","3","1120007",""
"101431","0","","12","","いくらなんでも\nそれは難しいんじゃ\nないかな…？","0","10","11","1120008",""
"0","","","12","","","","","91","1120009",""
"101431","0","","12","","03_uek_cmn_idol_def_N","","1","3","1120010","0.2"
"1","-45","01_uek_cmn_idol_def_N","13","0","105831","-165","100","1","1130001","1.3"
"1","-20","01_uek_cmn_idol_def_N","13","0","105931","-45","100","1","1130002","1.3"
"1","-5","01_uek_cmn_idol_def_N","13","1","106031","120","100","1","1130003","1.3"
"105931","1","","13","","01_uek_talk_normal","","1","3","1130004",""
"105931","0","","13","","かなり高くまで\n登ってまいりました\nですが…","0","10","11","1130005",""
"0","","","13","","","","","91","1130006",""
"105931","1","","13","","01_uek_13_kokkoro","01_uek_cmn_idol_def_N","0","3","1130007","0.2"
"106031","1","","13","","01_uek_13_kyaru","01_uek_13_kyaru_loop","0","3","1130008",""
