f24a173285538a5032a36e698f43970072a00bb7500e9f2c49890bd7fdf50387,7b6cdcf9ca8a0c817e364cf29a5445e35feeda8a75f596ab3f38aa2baadab996,70e9bddfbe55d9042d79de50d2ce47d49b8d75c74508f7fffedc3f5b5af89b71,2e1d03d1e0381a229a2372b596e8d870ef0cd7e32b82a71660d19a645af7e869
"【アタッカー】攻撃力アップLv1","1","10101","81101"
"【アタッカー】攻撃力アップLv2","2","10101","81102"
"【アタッカー】攻撃力アップLv3","3","10101","81103"
"【アタッカー】攻撃力アップLv4","4","10101","81104"
"【アタッカー】攻撃力アップLv5","5","10101","81105"
"【アタッカー】クリティカルアップLv1","1","10102","81201"
"【アタッカー】クリティカルアップLv2","2","10102","81202"
"【アタッカー】クリティカルアップLv3","3","10102","81203"
"【アタッカー】クリティカルアップLv4","4","10102","81204"
"【アタッカー】クリティカルアップLv5","5","10102","81205"
"【アタッカー】与ダメージアップLv1","1","10103","81301"
"【アタッカー】与ダメージアップLv2","2","10103","81302"
"【アタッカー】与ダメージアップLv3","3","10103","81303"
"【アタッカー】与ダメージアップLv4","4","10103","81304"
"【アタッカー】与ダメージアップLv5","5","10103","81305"
"【アタッカー】通常攻撃強化Lv1","1","10104","81401"
"【アタッカー】通常攻撃強化Lv2","2","10104","81402"
"【アタッカー】通常攻撃強化Lv3","3","10104","81403"
"【アタッカー】通常攻撃強化Lv4","4","10104","81404"
"【アタッカー】通常攻撃強化Lv5","5","10104","81405"
"【ブレイカー】攻撃力アップLv1","1","10201","82101"
"【ブレイカー】攻撃力アップLv2","2","10201","82102"
"【ブレイカー】攻撃力アップLv3","3","10201","82103"
"【ブレイカー】攻撃力アップLv4","4","10201","82104"
"【ブレイカー】攻撃力アップLv5","5","10201","82105"
"【ブレイカー】クリティカルアップLv1","1","10202","82201"
"【ブレイカー】クリティカルアップLv2","2","10202","82202"
"【ブレイカー】クリティカルアップLv3","3","10202","82203"
"【ブレイカー】クリティカルアップLv4","4","10202","82204"
"【ブレイカー】クリティカルアップLv5","5","10202","82205"
"【ブレイカー】クリダメアップLv1","1","10203","82301"
"【ブレイカー】クリダメアップLv2","2","10203","82302"
"【ブレイカー】クリダメアップLv3","3","10203","82303"
"【ブレイカー】クリダメアップLv4","4","10203","82304"
"【ブレイカー】クリダメアップLv5","5","10203","82305"
"【ブレイカー】通常攻撃強化Lv1","1","10204","82401"
"【ブレイカー】通常攻撃強化Lv2","2","10204","82402"
"【ブレイカー】通常攻撃強化Lv3","3","10204","82403"
"【ブレイカー】通常攻撃強化Lv4","4","10204","82404"
"【ブレイカー】通常攻撃強化Lv5","5","10204","82405"
"【バッファー】ＨＰアップLv1","1","10301","83101"
"【バッファー】ＨＰアップLv2","2","10301","83102"
"【バッファー】ＨＰアップLv3","3","10301","83103"
