7dc71bd57d261f9e43cbebb883e92021cab75ca402d649619b55f6d1e70cd431,79bf8c7c4625886c57d929b83826504f976e9226771f6aefa317c57ec07ab915,539b860529f95c743d1b1fbd33f66f349b7f9fe7fb85876db88bc535838807cf,5c34f411fabf2746619bf57e6f7f8214baa39140a60ee81d4e0363d06bfb515f,791386b49b5a713bebcd93a8b3661f7143e12d0d15e519cef9c8145efae7800b,d644e9344c7bd7b6224e39f3df985ecfa3ff3ded92905d60b22fb3ea8897d1c1,29f9c1566d1219e08ed6af29f96072f53f156909584c768915f78b1d7dad168c,a085ba68e447de00196793ca47adfa739bcd82a38d29eed6dd10f6d22c010470,e2c0302f54c988697609e6db78a9efcaa9bce2383e7995565fc91e93286c913e,9fe318296c17cf02620a7d4f50cb2416bd4e7307d43541d3896b3c5e59291f45,034a105bdb820007ea2cf95b26f8c241906ea5b9a72d88e8265a1e4cf581961d,88487273f6049c37c893ac5561bbcbe57106a971ea3f9aee0ea4a70646d245e7,045eb6a7d380265c9305af4d043ee8187edefb6768ecc3db352937bd6b6a4327
"1","ろすとぷりんせす","","-1","","A2001197329/","20","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-01/1361481742?app=itunes","Lost Princess","1","2018-10-18 15:00:00","","-1"
"2","こねくてぃんぐはっぴー","","-1","","A2001197334/","17","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-02/1361483195?app=itunes","Connecting Happy！！","2","2018-10-18 15:00:00","","-1"
"3","たびのはじまり","","1000","","","20","","旅の始まり","3","2018-10-18 15:00:00","","-1"
"4","もりをかけるかぜ","","1000","","","20","","森を駆ける風","4","2018-10-18 15:00:00","","-1"
"5","めさるてぃむ","","1000","","","20","","メサルティム","5","2018-10-18 15:00:00","","-1"
"6","はつねのぷれぜんとだいさくせん","","1000","","","20","","ハツネのプレゼント大作戦","6","2018-10-18 15:00:00","","-1"
"7","じず","","1000","","","20","","ジズ","7","2018-10-18 15:00:00","","-1"
"8","すまいりーこんとらすと","","1500","","A2001305115/","20","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-04/1411112401?app=itunes","Smiley Contrast","8","2018-10-18 15:00:00","","-1"
"9","みのたうろす","","1000","","","20","","ミノタウロス","9","2018-10-18 15:00:00","","-1"
"10","りとるりりかるあどべんちゃーず","","1000","","","20","","リトル・リリカル・アドベンチャーズ","10","2018-10-18 15:00:00","","-1"
"11","あるま","","1000","","","20","","アルマ","11","2018-10-18 15:00:00","","-1"
"12","りとるあどべんちゃー","","1500","","A2001336697/","18","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-05/1436280052?app=itunes","リトルアドベンチャー","12","2018-10-18 15:00:00","","-1"
"13","ぐらっとん","","1000","","","20","","グラットン","13","2018-10-18 15:00:00","","-1"
"14","とりっくおあぷりんやくそくのはろうぃんぱーてぃー","","1000","","","20","","トリックオアプリン！約束のハロウィンパーティー","14","2018-10-18 15:00:00","","-1"
"15","じゃっくおーぷりん","","1000","","","17","","ジャック・オー・プリン","15","2018-10-18 15:00:00","","-1"
"16","もっとふたりのぱーてぃーないと","","1500","","A2001411119/","20","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-07/1450772144?app=itunes","もっと！ふたりのパ～ティ～ナイト","16","2018-10-18 15:00:00","","-1"
"17","かがようこおりのけっしょう","","1000","","","20","","耀う氷の結晶","17","2018-10-18 15:00:00","","-1"
"18","しゃいにんぐふゅーちゃー","","1500","","A2001253711/","20","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-03/1386518679?app=itunes","Shining Future","18","2018-11-19 15:00:00","","3010003"
"19","かぜへのちかい","","1500","","A2001253711/","20","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-03/1386518679?app=itunes","風への誓い","19","2018-11-19 15:00:00","","3010003"
"20","きみのえがおがみたいから","","1500","","A2001305115/","18","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-04/1411112401?app=itunes","君の笑顔が見たいから","20","2018-11-19 15:00:00","","3010003"
"21","あまのじゃくはーと","","1500","","A2001336697/","18","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-05/1436280052?app=itunes","アマノジャクハート！","21","2018-11-19 15:00:00","","1054007"
"22","ふおんなくうきとたちむかうとうし","","1000","","","20","","不穏な空気と立ち向かう闘志","22","2018-11-19 15:00:00","","-1"
"23","ついんぴっぐす","","1000","","","20","","ツインピッグス","23","2018-11-19 15:00:00","","-1"
"24","ヴぁんぱいあはんたーうぃずいりや","","1000","","","20","","ヴァンパイアハンターwithイリヤ","24","2018-11-19 15:00:00","","-1"
"25","がるぐ","","1000","","","20","","ガルグ","25","2018-11-19 15:00:00","","-1"
"26","ぴーすふるちゃんぷるー","","1500","","A2001552686/","20","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-09/1474199447?app=itunes","Peaceful*ちゃんぷるー","26","2018-11-19 15:00:00","","-1"
"27","れさとぱると","","1000","","","20","","レサトパルト","27","2018-11-19 15:00:00","","-1"
"28","とわいらいとぶれいかーず","","1000","","","20","","トワイライトブレイカーズ","28","2018-11-19 15:00:00","","-1"
"29","おらむ","","1000","","","20","","オラム","29","2018-11-19 15:00:00","","-1"
"30","さいつよでしょでしょ","","1500","","A2001502066/","20","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-08/1465192235?app=itunes","サイツヨでしょ、でしょ？","30","2018-11-19 15:00:00","","-1"
"31","ひょうかいのち","","1000","","","20","","氷海の地","31","2018-11-19 15:00:00","","-1"
"32","こおりとゆきのせかい","","1000","","","20","","氷と雪の世界","32","2018-12-19 15:00:00","","-1"
"33","さわやかなかぜ","","1000","","","20","","爽やかな風","33","2018-12-19 15:00:00","","-1"
"34","かるきのす","","1000","","","20","","カルキノス","34","2018-12-19 15:00:00","","-1"
"35","でんじゃらすばかんすなぎさのぐるめぷりんせす","","1000","","","20","","デンジャラスバカンス！渚のグルメプリンセス","35","2018-12-19 15:00:00","","-1"
"36","てんたぱす","","1000","","","20","","テンタパス","36","2018-12-19 15:00:00","","-1"
"37","えがおのまいほーむ","","1500","","A2001197334/","20","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-02/1361483195?app=itunes","えがおのマイホーム","37","2018-12-19 15:00:00","","-1"
"38","さじたりうす","","1000","","","20","","サジタリウス","38","2018-12-19 15:00:00","","-1"
"39","ぼうきゃくのきゃろる","","1000","","","20","","忘却のキャロル","39","2018-12-19 15:00:00","","-1"
"40","ふぉぎー","","1000","","","20","","フォギー","40","2018-12-19 15:00:00","","-1"
"41","でぃんどんほーりーないと","","1500","","A2001411119/","20","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-07/1450772144?app=itunes","Ding Dong Holy Night♪","41","2018-12-19 15:00:00","","-1"
"42","けわしきかんこうげん","","1000","","","20","","険しき乾荒原","42","2019-01-18 15:00:00","","-1"
"43","おるれおん","","1000","","","20","","オルレオン","43","2019-01-18 15:00:00","","-1"
"44","たまきとみふゆのむじんとうぜろるぴせいかつ","","1000","","","20","","タマキとミフユの無人島0ルピ生活","44","2019-01-18 15:00:00","","-1"
"45","しまくじら","","1000","","","20","","島クジラ","45","2019-01-18 15:00:00","","-1"
