f64bcd269cc5df6d77272e1591f0e4d5d1e82cd368c1dfbe2fb374ed2b070a04,9958dea66f7bdd0c699a3d29abe21b410d2e5ff7425e406b4ad19957805ed3e2,93768e742c2c71fc6cc73347cc7826dd76cf01d34fadeca5b9a212d0be3aff22,f441a1905803f9a6d353d9b5dcb24a643ec1220b3ed0b3a660b9127e2c6fd497,6b2203bfc1ef6cd3a5214c41cd79527ce0a8c4d41fa959259892e6ba0bd12efd,b67eaf97f1efd5da5705bae3c85606886ab691f1fee258cd613299aa372c96f4,30766a645977fb173b97db4a83dfd2d4453ef813d72f4a26f106e65db3ad5508,082ea28023743a32b22917170a5f8b6a022344ef56bed7c21a80f31c32948af2,c320d5e7417fd03c6da4811a2e93bd0febd7713cf3a822d3a5f59dd041359378,5507372745fbe15215e752dbef6efc42e79027de493cd3f42b96577408a9067b,a0542bef7a54225feda87bbc6f6b58efc6053068f0519f681a156a24c0ecdb0d
"10011105","1","0","0","2","10011","1001","1","0","pt","0"
"10015103","2","1","0","2","10015","1002","1","0","m","0"
"10021108","3","0","5021700","2","10021","1003","1","0","pt","0"
"5027007","4","0","5027700","3","10027","1004","1","0","pt","0"
"10040105","5","0","5040700","2","10040","1005","1","0","pt","0"
"5046006","6","0","0","1","10046","1006","1","5046006","pt","1"
"5072006","7","0","0","3","10072","1007","1","5072006","pt","3"
"5080007","8","0","5080700","3","10080","1008","0","5080000","pt","3"
"0","9","0","9004201","0","0","1009","0","0","pt","0"
"5096007","10","0","5096700","1","10096","1010","1","5096007","pt","3"
"10126107","11","0","0","2","10126","1012","1","5126000","pt","3"
"5142007","12","0","5142700","3","10142","1013","1","5142000","pt","1"
