242118827e6d3512a16d2c156bd03eab4fe804728e960195f473c76068fef2b0,baa99bc0eddea00913ab4270eb719fb680d84916ebf780284af7aa6825f92b12,da37e36fc944331bf53681c5aed003cc3f876c9ed1ff7b099b4a2e0c111707f4,86d309683c442d943003ec91a14b424ab6ba785f17ed429c5f132f010b818588,72acd7520e84f569ba8d4995944d6858f14848470a0d3df62c1a35e8ae7425ad,c9257057471270bed271f125d2e6d0d302105db1baa0824f6383bcd20d1f2b14
"1","2020-02-15 15:00:00","おまかせ","","1","1"
"2","2020-02-15 15:00:00","デフォルト","","2","2"
"3","2020-02-15 15:00:00","アニバーサリー","","3","3"
"4","2020-02-15 15:00:00","ピンク","","4","1"
"5","2020-02-15 15:00:00","レッド","","5","1"
"6","2020-02-15 15:00:00","イエロー","","6","1"
"7","2020-02-15 15:00:00","グリーン","","7","1"
"8","2020-02-15 15:00:00","ライトブルー","","8","1"
"9","2020-02-15 15:00:00","ブルー","","9","1"
"10","2020-02-15 15:00:00","パープル","","10","1"
"11","2020-02-15 15:00:00","グレー","","11","1"
