2ce6d3fc1de252750915f5c483e8aec742f0c70b75847bf882cee1533fb13212,b1e558f809b7def396bb9868bb6ae65a3f30126f83db00374cffd55bc2468776,51561e186fee4daea1ea5a746b5d278d1dced262eaf691009c68f3a3557c22f9,92722f20969a64bfe8fc1aa73b873c89ae4e9aa420b7e17b7ee57a4c67dc371a,a2a5c812f0316468d0fa762a83bfdef5067ce3a1fb96f491ba277a2368341ac3,7df2048861d887237dafa1e608eacf4095be7a302bdc0a1002b62ada97e3dbfa,ef1a8c4fe494e0ccbee30acc96ab7fa3f22c3cd25dae9981f3571106cdcb5b3b,451a2c46bc341c102dd4e7b4daa0a1ff6c15f1e32f3f5f3f99958af566d61eff,6f385aa39a5d699aa178afd16867c06917719342e323b97ed1ac76a4c7b7d6dc,c3c0a970943153e28b8e771a32df7bd6192f0f0c57cd540e25283edca9dbfb03,65a8a934aca5f769f36f3c8a685b122bc9491e327969c456e73d6ef0a77685a9
"1","102611","1","ttk_idle_def","5","-120","850","1010001","1","1","100"
"1","2","2","","31","1","0","1010002","","1","0"
"1","1","1","","31","1","-80","1010003","","1","-120"
"1","","1","","93","","","1010004","","",""
"1","vo_minigame_1005_top_000","vo_minigame_1005","","21","","0","1010005","","","0"
"1","ttk_doya","102611","","3","1","0","1010006","0.3","0.3","ttk_idle_doya"
"1","任された仕事は\nきちんとやるよ","102611","","11","","8","1010007","0","0",""
"1","","0","","91","","","1010008","","",""
"2","102611","1","ttk_idle_def","5","-120","850","1020001","1","1","100"
"2","2","2","","31","1","0","1020002","","1","0"
"2","1","1","","31","1","-80","1020003","","1","-120"
"2","","1","","93","","","1020004","","",""
"2","vo_minigame_1005_top_001","vo_minigame_1005","","21","","0","1020005","","","0"
"2","ttk_idle_smile","102611","","3","1","0","1020006","0.3","0.3","ttk_idle_def"
"2","あたしの前に\n現れたこと\n後悔させてあげる","102611","","11","","8","1020007","0","0",""
"2","","0","","91","","","1020008","","",""
"3","102611","1","ttk_idle_def","5","-120","850","1030001","1","1","100"
"3","2","2","","31","1","0","1030002","","1","0"
"3","1","1","","31","1","-80","1030003","","1","-120"
"3","","1","","93","","","1030004","","",""
"3","vo_minigame_1005_top_002","vo_minigame_1005","","21","","0","1030005","","","0"
"3","ttk_joy","102611","","3","1","0","1030006","0.3","0.1","ttk_idle_joy"
"3","コツをつかめば\n結構楽しいかも\nいや、労働は労働か…","102611","","11","","8","1030007","0","0",""
"3","","2.2","","93","","","1030008","","",""
"3","ttk_talk_sad","102611","","3","","1","1030009","0.3","0.3",""
"3","","3","","93","","","1030010","","",""
"3","ttk_idle_def","102611","","3","","1","1030011","0.3","0.3",""
"3","","0","","91","","","1030012","","",""
"4","102611","1","ttk_idle_def","5","-120","850","1040001","1","1","100"
"4","2","2","","31","1","0","1040002","","1","0"
"4","1","1","","31","1","-80","1040003","","1","-120"
"4","","1","","93","","","1040004","","",""
"4","vo_minigame_1005_top_003","vo_minigame_1005","","21","","0","1040005","","","0"
"4","ttk_shock","102611","","3","1","0","1040006","0.3","0.3","ttk_idle_shock"
"4","ねずみのことなんか\n知りたくないよ\nはぁ…めんどくさい","102611","","11","","8","1040007","0","0",""
"4","","5","","93","","","1040008","","",""
"4","ttk_idle_def","102611","","3","","1","1040009","0.3","0.3",""
"4","","0.7","","93","","","1040010","","",""
"5","102611","1","ttk_idle_def","5","-120","850","1050001","1","1","100"
"5","2","2","","31","1","0","1050002","","1","0"
"5","1","1","","31","1","-80","1050003","","1","-120"
"5","","1","","93","","","1050004","","",""
"5","vo_minigame_1005_top_004","vo_minigame_1005","","21","","0","1050005","","","0"
"5","ttk_surprise","102611","","3","","0","1050006","0.3","0.3",""
"5","うわっ！？\nこっちこないでよ！\nはぁ…チマチマ\n追い払うのは大変だ…","102611","","11","","8","1050007","0","0",""
"5","","0.9","","93","","","1050008","","",""
"5","ttk_talk_anger","102611","","3","","1","1050009","0.3","0.3",""
"5","","0.8","","93","","","1050010","","",""
"5","ttk_sad","102611","","3","1","0","1050011","0.3","0.3","ttk_talk_sad"
"5","","5","","93","","","1050012","","",""
"5","ttk_idle_def","102611","","3","","1","1050013","0.3","0.3",""
"5","","0","","91","","","1050014","","",""
"6","102611","1","ttk_idle_def","5","-120","850","1060001","1","1","100"
"6","2","2","","31","1","0","1060002","","1","0"
"6","1","1","","31","1","-80","1060003","","1","-120"
"6","","1","","93","","","1060004","","",""
"6","vo_minigame_1005_top_005","vo_minigame_1005","","21","","0","1060005","","","0"
"6","ttk_idle_worry","102611","","3","","1","1060006","0.3","0.3",""
"6","こんなことに\n慣れたくないよ…\nでも牧場のためには\nやるしかないか","102611","","11","","8","1060007","0","0",""
"6","","7","","93","","","1060008","","",""
"6","ttk_amz","102611","","3","1","0","1060009","0.3","0.3","ttk_idle_def"
"6","","0","","91","","","1060010","","",""
