d6647cbeb2c916a4fb1348db3d45ed78b0bc56d717547631cc5c82b52c9b218c,beef00883481d2f5ef14edb5321510e46d81e647759f25494dd0a54bd15a32e7,1a97f96ba8bdee4f100cbeefb37d688dc4b72314c3f6caff1af367ae27b55606,77694746595a6f5991f3ad70973de4ed0c16a8f6f54b5b698463ff558193caf6,c08a915fbe64027e3e74ae022c19a1843f3821877c161dece7f188f8196f9c25,c6026e01d261bd7b55158d2a7aaaaf16e1b270df41315f35112676c75e389784,0eea78e2b1cabfd7c1b70f8edec38a073928959da211b67b64f925a6a0346710
"1","Lost Princess","キャラクターソング\n\n時間 / 01:33\n歌　 / ペコリーヌ（Ｍ・Ａ・Ｏ）\n　　　コッコロ（伊藤美来）\n　　　キャル（立花理香）\n作詞 / しほり\n作曲 / 田中公平\n編曲 / 根岸貴幸","bgm_M152","bgm_M152","00:58","01:33"
"2","Connecting Happy！！","キャラクターソング\n\n時間 / 01:56\n歌　 / ペコリーヌ（Ｍ・Ａ・Ｏ）\n　　　コッコロ（伊藤美来）\n　　　キャル（立花理香）\n作詞 / 畑亜貴\n作曲 / 高尾奏之介（F.M.F）\n編曲 / 奈良悠樹","bgm_M153","bgm_M153","01:01","01:56"
"3","旅の始まり","メインクエスト\n\n時間 / 01:48\n作曲 / 本田晃弘（Cygames）\n編曲 / 伊藤翼","bgm_M61_juke","bgm_M61","00:00","01:48"
"4","森を駆ける風","メインクエスト\n\n時間 / 01:35\n作曲 / 本田晃弘（Cygames）\n編曲 / カワイヒデヒロ","bgm_M62_juke","bgm_M62","00:00","01:35"
"5","メサルティム","クランバトル\n\n時間 / 01:18\n作曲 / 西木康智\n編曲 / 西木康智","bgm_M90_juke","bgm_M90","00:00","01:18"
"6","ハツネのプレゼント大作戦","ストーリーイベントテーマ\n-｢Smiley Contrast｣アレンジ-\n\n時間 / 01:02\n作曲 / 渡部チェル\n編曲 / 加藤慶","bgm_M32_juke","bgm_M32","00:00","01:02"
"7","ジズ","ストーリーイベントボスバトル\n\n時間 / 02:34\n作曲 / 多田彰文\n編曲 / 多田彰文","bgm_M47_juke","bgm_M47","00:00","02:34"
"8","Smiley Contrast","キャラクターソング\n\n時間 / 01:40\n歌　 / ハツネ（大橋彩香）\n　　　シオリ（小清水亜美）\n作詞 / 磯谷佳江\n作曲 / 渡部チェル\n編曲 / 渡部チェル","bgm_M149","bgm_M149","00:57","01:40"
"9","ミノタウロス","クランバトル\n\n時間 / 00:59\n作曲 / 東大路憲太\n編曲 / 東大路憲太","bgm_M97_juke","bgm_M97","00:00","00:59"
"10","リトル・リリカル・アドベンチャーズ","ストーリーイベントテーマ\n-｢リトルアドベンチャー｣アレンジ-\n\n時間 / 01:00\n作曲 / 池田健仁\n編曲 / 西村真吾","bgm_M98_juke","bgm_M98","00:00","01:00"
