14c2bd6c5297a22fdf3bc6b3b306d5a269d89be5460bf9461915d93cd132fd1c,f26c3eaea99d4c85af329c2cdb818bc44b9a6eaa1b93cf955548bc7afebff042,eaf9c36fe49c7ba8cd8fff6e9d44959707edafed0d3ef6f829c91db0258f0cfd,fb20958b3856101e74410519115970315fb0db16eda48fb244766d53603a21b6,62f625cedf571c2c4e0e426efabdbbf889ddc1c653fc29b4f6fc11ebd954c159,5678af85090a7a7d148bf345081b200981e483f737a8f840e08c1f295fc082c7,9cf43441ce350a9b5889eb517008da7a3dbb822ae20c11eb5ff7a33e90f29520,ea40b62fd3db80bd87b74f32dff2acdcf7f5fb22fc4c002dee7ea7e4e80a59c6,5510d6853957743a458e26bcf733333c61648f6b3348400840bdd479ba9fc2a0,7bde9430117042dfa4c61e97c89ae55bd714a5ffd53250ac6171a3e96224f09e,81083990271132e5ff5eca47ed5f6c2eaca35b681411e1e44c3339e64e72899b,8c759c83476f2575cd2fb66354bdef593f5126102da23a5a4e53ec89da7e66a5
"1","カリン","1","","0","0","190804","1","0","60000","新年を迎え、新たに始まる一日を\nおみくじで占ってみませんか？\n良い運勢であるほど、\n沢山のプレゼントが貰えますよ♪","1"
"2","","2","","0","1","0","0","0","60000","今日の運勢は姫吉！　あらゆる運気が最大を示しています！　　　今なら「伝説の吸血鬼」をも従え、世界征服も夢じゃありません！","1"
"3","","2","","0","1","0","0","0","60000","今日の運勢は姫吉！　やること全てが最高潮！　やばいですね☆　ラッキーアイテムはおにぎり！　お腹一杯で幸せが続くでしょう！","1"
"4","","2","","0","1","0","0","0","60000","今日の運勢は姫吉！　その高い運気はまさにショーグンの如く！　その溢れる威光は人々を惹きつけ、皆の人気者間違いなしです！","2"
"5","","2","","0","2","0","0","0","60000","今日の運勢は大吉！　運気がどんどん高まっています！　　　　　何をやっても、最大効率で素晴らしい結果になりますよ♪","1"
"6","","2","","0","2","0","0","0","60000","今日の運勢は大吉！　なにをやっても上手くいって大活躍！　　　そんな素敵なあなたを見て、後ろから誰かが……クスクス♪","1"
"7","","2","","0","2","0","0","0","60000","今日の運勢は大吉！　運気が高く、何かに挑戦すると良い結果に！隠れた才能が引き出されそう！　目指せヒデサ……ではなく秀才！","2"
"8","","2","","0","3","0","0","0","60000","今日の運勢は中吉！　商売運が上がってきています！　　　　　　ラッキーアイテムはたいやき！　和菓子パワーで売上アップです！","1"
"9","","2","","0","3","0","0","0","60000","今日の運勢は中吉！　旅行運がぐんぐんと上昇中♪　　　　　　　もしかしたら、あの「マホマホ王国」にだって行けるかも♪","1"
"10","","2","","0","3","0","0","0","60000","今日の運勢は中吉！　仕事運が急上昇中です！　　　　　　　　　きっと「煉獄に舞う一陣の疾風」の如き活躍ができますよ！","1"
