c41560868633c84c81014f974721d589c8bb859fc83929dbb6660063c1959e26,c1881511b3a8eecb3bb5c593745c9ae6a2e78c60e457999d86f51bc33cc1d09a,e4c54def7fab0d4548ecfa8442ad9d33428262f29592758702c211a8fe5fc238,79deadd2d326bdbd37c3668e8e54b1fa1080816cbffe4e97d3f54c49bff29ad5,d7705808ea93376f61e648fedde70ac088eeb617a2c23b04dbb850c3d424206e,2d03b324ddb7da0ee639db71e22c3e0e2b70b0afcc6a339d646dabbe33e48f59,29a628a67d791a080bd08ecfce2f2f7457e875916337b9ee6a832bad1139c26c,3039399ed5d745d05347e84d0243a9cac58bfb2912af3eeadb508a53dde57d93
"3","0","2001","短時間、障害物バリアを展開する　（ＴＰ上昇率：大）","0","短時間、障害物バリアを展開！","101","0"
"5","0","3","中時間、スピードとジャンプを　　小アップ（ＴＰ上昇率：小）","5","中時間、スピードとジャンプ小アップ！","102","5"
"4","0","1","短時間、スピードを中アップ　　　（ＴＰ上昇率：中）","0","短時間、スピード中アップ！","103","6"
"5","0","2001","中時間、障害物バリアを展開する　（ＴＰ上昇率：小）","0","中時間、障害物バリアを展開！","104","0"
"6","0","1","中時間、スピードを小アップ　　　（ＴＰ上昇率：小）","0","中時間、スピード小アップ！","105","3"
"6","0","1001","中時間、対戦相手のスピードを　　小ダウン（ＴＰ上昇率：大）","0","中時間、対戦相手のスピード小ダウン！","106","4"
"5","0","3","中時間、スピードとジャンプを　　特大アップ（ＴＰ上昇率：小）","16","中時間、スピードとジャンプ特大アップ！","107","17"
"40","0","1","ラウンド中、スピードを中アップ　（ＴＰ上昇率：小）","0","ラウンド中、スピード中アップ！","108","8"
"4","0","1","短時間、スピードを特大アップ　　（ＴＰ上昇率：特小）","0","短時間、スピード特大アップ！","109","30"
"40","0","1001","ラウンド中、対戦相手のスピードを中ダウン（ＴＰ上昇率：小）","0","ラウンド中、対戦相手が大きく減速！","110","10"
"1","0","2001","ごく短時間、障害物バリアを　　　展開する（ＴＰ上昇率：大）","0","ごく短時間、障害物バリアを展開！","111","0"
"4","0","1004","短時間、先頭の対戦相手のスピードを大ダウン（ＴＰ上昇率：小）","0","短時間、先頭の対戦相手が大きく減速！","112","15"
"6","0","1","中時間、スピードを小アップ　　　（ＴＰ上昇率：大）","0","中時間、スピード小アップ！","113","5"
"5","0","2","中時間、ジャンプを小アップ　　　（ＴＰ上昇率：大）","0","中時間、ジャンプ小アップ！","114","5"
"7","0","2002","長時間、能力ダウンを防ぐバリアを展開する（ＴＰ上昇率：特大）","0","長時間、バリアで能力ダウンを防ぐ！","115","0"
"25","0","1","累積で、スピードを小アップ　　　（ＴＰ上昇率：特大）","0","累積で、スピード小アップ！","116","3"
"25","0","1001","累積で、対戦相手のスピードを　　小ダウン（ＴＰ上昇率：特大）","0","累積で、対戦相手が小さく減速！","117","3"
"7","0","3","長時間、スピードとジャンプを　　特大アップ（ＴＰ上昇率：中）","20","長時間、スピードとジャンプ特大アップ！","118","30"
"4","0","1004","短時間、先頭の対戦相手のスピードを大ダウン（ＴＰ上昇率：中）","0","短時間、先頭の対戦相手が大きく減速！","119","15"
"7","0","2002","長時間、能力ダウンを防ぐバリアを展開する（ＴＰ上昇率：大）","0","長時間、バリアで能力ダウンを防ぐ！","120","0"
"12","0","2","長時間、ジャンプを特大アップ　　（ＴＰ上昇率：中）","0","長時間、ジャンプ特大アップ！","121","30"
"30","0","1004","累積で、先頭の対戦相手のスピードを大ダウン（ＴＰ上昇率：中）","0","累積で、先頭の対戦相手が大きく減速！","122","15"
"4","8","4","短時間スピード大アップ後、　　　スピードダウン（ＴＰ上昇率：大）","2","短時間大きく加速した後、ごく短時間減速！","123","11"
"8","0","1","長時間、スピードを中アップ　　　（ＴＰ上昇率：大）","0","長時間、スピード中アップ！","124","9"
"4","0","2001","短時間、障害物バリアを展開する　（ＴＰ上昇率：中）","0","短時間、障害物バリアを展開！","125","0"
"30","0","1001","累積で、対戦相手のスピードを　　小ダウン（ＴＰ上昇率：特大）","0","累積で、対戦相手が小さく減速！","126","3"
"10","0","1","長時間、スピードを特大アップ　　（ＴＰ上昇率：特小）","0","長時間、スピード特大アップ！","127","22"
"4","0","2","短時間、ジャンプを特大アップ　　（ＴＰ上昇率：大）","0","短時間、ジャンプ特大アップ！","128","30"
"3","0","1001","短時間、対戦相手のスピードを　　特大ダウン（ＴＰ上昇率：大）","0","短時間、対戦相手のスピード特大ダウン！","129","20"
"4","0","1","短時間、スピードを特大アップ　　（ＴＰ上昇率：大）","0","短時間、スピード特大アップ！","130","30"
