b5c65c9e5c77a21ea37fce5702c1eae28f57da0a793642a1b27dc29c1f986cc4,9859834012c76a0cbdc8fa0dc454e4c9ada2e50ba3488fac8728f1e5082d08de,ff6122a0cc05a5f910e778addaddd05c10de21edceed13af9df8977e222f26ec,8ca8feb2d21429c9c1c5543ac488a4793129e359e85b39fdc7b6024d29a9a8db,f0ef1b088ffdd0fe0af221bd4bbe30cc634a4e5514974d56fae1f27dd28c7184,951e1286f3e01fdd6d16efbcf506ab22666037fc36cee7b2636ee78eb8ec2850,7a9f976369e1fc1c93da0defb22d74ee9321358ea02d7df8c515ae940845ac5a,854493eb6a18e5ca66d3fe096be37566a1fba78308c0a81cb837e836da78a1f5,faf770306ac070f1bd94e5653be39ef046d3affdb856fa55557b46ac6a09f14e,553d11c3c35486136e8e41caf49a3b7b52953ca69417e37cdac0c0ce0611b801,d1dc1c902f64200b2d01e1db6c684f637ee175e409f8fe2f254274cc7e50c071
"nyx_idle_normal","-209.3","-421","1","0","110931","1","1.35","101","110","11010001"
"nyx_idle_normal","-182.5","121.8","1","0","104831","1","1.35","101","110","11010002"
"nyx_idle_normal","-182.5","227.7","1","0","104631","1","1.35","101","110","11010003"
"nyx_talk_normal","-182.5","340.3","1","1","103231","1","1.35","101","110","11010004"
"nyx_idle_normal","-182.5","449.6","1","1","103431","1","1.35","101","110","11010005"
"NoItem","-209.3","-421","5","0","2","2","1.35","101","120","11010006"
"","1","0","31","","1","1","1","101","0","11010007"
"","1","0","31","","3","15","0","101","-300","11010008"
"","1.5","0","31","","4","15","0","101","-300","11010009"
"","","","25","","bgm_M347","bgm_M347","","101","","11010010"
"","","","93","","","2","","101","","11010011"
"","1","nyx_101_chieru_loop","3","","nyx_101_chieru_01","2","0.2","101","0","11010012"
"","1","nyx_101_chieru_loop","3","","nyx_101_chieru_01","110931","0.2","101","0","11010013"
"","","","11","","ちぇる～ん♪\n最初はとにかく\nインパクト！","110931","","101","10","11010014"
"","","","93","","","0.4","","101","","11010015"
"","","","32","","0","3","","101","","11010016"
"","","","32","","1","3","","101","","11010017"
"","","","91","","","11010014","","101","","11010018"
"","","","11","","強めの初ちぇるで\n審査員のハートを\n鷲掴み子ちゃんです","110931","","101","10","11010019"
"","","","93","","","1","","101","","11010020"
"","","","3","","nyx_idle_joy1","103231","0.2","101","1","11010021"
"","","","3","","nyx_cmn_05","104631","0.2","101","1","11010022"
"","","","91","","","11010019","","101","","11010023"
"","1","nyx_101_chieru_loop","3","","nyx_101_chieru_01","2","0.2","101","0","11010024"
"","1","nyx_101_chieru_loop","3","","nyx_101_chieru_01","110931","0.2","101","0","11010025"
"","","","11","","ちぇるーん♪\nいや、まだ行ける…\nちぇっ☆るゥ～ん！","110931","","101","7","11010026"
"","","","93","","","0.4","","101","","11010027"
