699cf76691cfd0eb9567dae1504ecd1371866af740124e607016deb7d4cf52c5,2b59769a1844693ccd9b0eabfd599af1b35fe2eef8cb4a92f6f1b263f157cd39,fa2e858cfdf2726ae652c22c77231aa039650182a9df4b711fc43c410271aa1b,a7e0a11f94f2686d43dbf77ef8e457dd3b75260d2b75e478d0fc69529b13537e,135ef51d6bf98f51db06a8a75da8e6ba3ff7d9c33ef8fabca9636026b1df4cb8,2b30d32d4c6fe9bc880503f85ebcd96520c4de840e1b14fd94015be734b394c1,285d9ce000ab91108ffa7d316459f8cb934c934159e977c0fd39ec5bd49db17e,50808ae0bf8217673ca1a3aba7ba75bb39abcec76a3327a82693c4c1b1e38e9c
"96001","2","1","1","1","21952","20000","1"
"96001","2","1","1","2","21904","10000","1"
"96001","2","1","1","3","41000","10000","1"
"96001","2","1","5","4","31803","2000","5"
"96001","2","1","5","5","31215","1500","5"
"96001","2","1","5","6","31210","1500","5"
"96001","2","1","5","7","31211","1500","5"
"96001","2","1","10","8","90005","1250","5"
"96001","4","1","20","9","140001","500","10"
"96001","2","1","10","10","25001","500","5"
"96001","4","1","5","11","150003","100","5"
"96001","4","1","5","12","150004","130","5"
"96001","4","1","5","13","150005","150","5"
"96001","4","1","5","14","150006","180","5"
"96001","4","1","5","15","150007","200","5"
"96001","4","1","5","16","150008","230","5"
"96001","2","1","5","17","20004","500","100"
"96001","2","1","5","18","22003","200","100"
"96001","2","1","0","19","20004","1000","100"
"96001","2","1","0","20","22003","400","100"
"96002","2","2","1","21","21952","20000","1"
"96002","2","2","1","22","21904","10000","1"
"96002","2","2","1","23","41000","10000","1"
"96002","2","2","5","24","31233","1500","5"
"96002","2","2","5","25","31229","1500","5"
"96002","2","2","5","26","31225","1500","5"
"96002","2","2","10","27","90005","1250","5"
"96002","4","2","20","28","140001","500","10"
"96002","2","2","10","29","25001","500","5"
"96002","4","2","5","30","150003","100","5"
"96002","4","2","5","31","150004","130","5"
"96002","4","2","5","32","150005","150","5"
"96002","4","2","5","33","150006","180","5"
"96002","4","2","5","34","150007","200","5"
"96002","4","2","5","35","150008","230","5"
"96002","2","2","5","36","20004","500","100"
"96002","2","2","5","37","22003","200","100"
"96002","2","2","0","38","20004","1000","100"
"96002","2","2","0","39","22003","400","100"
"96003","2","3","1","40","21952","20000","1"
"96003","2","3","1","41","21905","10000","1"
"96003","2","3","1","42","41000","10000","1"
"96003","2","3","5","43","31805","2000","5"
"96003","2","3","5","44","31240","1500","5"
"96003","2","3","5","45","31238","1500","5"
"96003","2","3","5","46","31236","1500","5"
"96003","2","3","5","47","90005","2500","10"
"96003","4","3","5","48","140001","2500","50"
"96003","2","3","5","49","25001","500","5"
"96003","4","3","5","50","150003","500","30"
"96003","4","3","5","51","150004","650","30"
"96003","4","3","5","52","150005","750","30"
"96003","4","3","5","53","150006","900","30"
"96003","4","3","5","54","150007","1000","30"
"96003","4","3","5","55","150008","1150","30"
"96003","2","3","5","56","20004","2500","500"
"96003","2","3","5","57","22003","1000","500"
"96003","2","3","0","58","20004","1000","100"
"96003","2","3","0","59","22003","400","100"
"96004","2","4","1","60","21952","20000","1"
"96004","2","4","1","61","21905","10000","1"
"96004","2","4","2","62","41000","10000","1"
"96004","2","4","5","63","31807","2000","5"
"96004","2","4","5","64","31245","1500","5"
"96004","2","4","5","65","31248","1500","5"
"96004","2","4","5","66","31250","1500","5"
"96004","2","4","5","67","31091","1500","5"
"96004","2","4","5","68","90005","2500","10"
"96004","4","4","10","69","140001","2500","50"
"96004","2","4","10","70","25001","1000","10"
"96004","4","4","5","71","150003","500","30"
"96004","4","4","5","72","150004","650","30"
"96004","4","4","5","73","150005","750","30"
"96004","4","4","5","74","150006","900","30"
"96004","4","4","5","75","150007","1000","30"
"96004","4","4","5","76","150008","1150","30"
"96004","4","4","5","77","150009","1300","30"
"96004","2","4","5","78","20004","2500","500"
"96004","2","4","5","79","22003","1000","500"
"96004","2","4","0","80","20004","1000","100"
"96004","2","4","0","81","22003","400","100"
"96005","2","5","1","82","25101","20000","1"
"96005","2","5","1","83","21952","20000","1"
"96005","2","5","1","84","21905","10000","1"
"96005","2","5","2","85","41000","10000","1"
"96005","2","5","5","86","31200","1500","5"
"96005","2","5","5","87","31253","1500","5"
"96005","2","5","5","88","31255","1500","5"
"96005","2","5","5","89","31256","1500","5"
"96005","2","5","5","90","90005","2500","10"
"96005","4","5","10","91","140001","2500","50"
"96005","2","5","10","92","25001","1000","10"
"96005","4","5","5","93","150003","500","30"
"96005","4","5","5","94","150004","650","30"
"96005","4","5","5","95","150005","750","30"
"96005","4","5","5","96","150006","900","30"
"96005","4","5","5","97","150007","1000","30"
"96005","4","5","5","98","150008","1150","30"
"96005","4","5","5","99","150009","1300","30"
"96005","2","5","5","100","20004","2500","500"
"96005","2","5","5","101","22003","1000","500"
"96005","2","5","0","102","20004","1000","100"
"96005","2","5","0","103","22003","400","100"
"96006","2","6","1","104","25101","20000","1"
"96006","2","6","1","105","21952","20000","1"
"96006","2","6","1","106","21905","10000","1"
