3af5b7781a796c024ae80bb13ac98167ed367276eaed51f51d2285cf2555bf79,bea0ecadcdf126b0d6990a9f8364b9bc2604176963b4538d2ce181b9174b3cd8,b170d0b8ba0999cf044614d486fb6da4981cd44a21affc5be65a6d85d647ee01,bdd32bf7fa22b6bff71992032c0b7f1b3ab437bee8162dadb1313ac50e699597,26dd23b8800d0443c341391d425802072cf32fd7af6e95dc2482dc81f6fa99ae,f633c0d8d71835a9a61d275cd0d8782f2fb3838d13408fc243169257367aafe2,8317a3872e7c012452b5f59e698dbfc59a1a488bc49af40820109ff89443fcaf,424440a39c5f31472b023d42d24b448a287c66c4d165bff0accc3979a5a95b55,6beb2b7e8154f8fd418e2d6f40ee46c254eb8db9d83db7554c3be7cd7fff0f8f
"1","53003","5","10001","-1","6","7","8","22"
"1","53002","5","10002","-1","6","7","4","22"
"1","53003","4","10101","5","5","6","6","22"
"1","53002","4","10102","5","5","6","5","22"
"1","53003","3","10201","4","4","5","5","22"
"1","53002","3","10202","4","4","5","5","22"
"1","53003","3","10301","3","3","4","4","22"
"1","53002","3","10302","3","3","4","3","22"
"1","53003","2","10401","2","2","3","3","22"
"1","53002","2","10402","2","2","3","2","22"
"1","53003","1","10501","1","1","2","2","22"
"1","53002","1","10502","1","1","2","1","22"
"1","53002","1","10601","0","0","1","2","22"
"2","53003","5","10701","-1","6","7","8","22"
"2","53002","5","10702","-1","6","7","4","22"
"2","53003","4","10801","5","5","6","6","22"
"2","53002","4","10802","5","5","6","5","22"
"2","53003","3","10901","4","4","5","5","22"
"2","53002","3","10902","4","4","5","5","22"
"2","53003","3","11001","3","3","4","4","22"
"2","53002","3","11002","3","3","4","3","22"
"2","53003","2","11101","2","2","3","3","22"
"2","53002","2","11102","2","2","3","2","22"
"2","53003","1","11201","1","1","2","2","22"
"2","53002","1","11202","1","1","2","1","22"
"2","53002","1","11301","0","0","1","2","22"
"3","53003","5","11401","-1","6","7","8","22"
"3","53002","5","11402","-1","6","7","4","22"
"3","53003","4","11501","5","5","6","6","22"
"3","53002","4","11502","5","5","6","5","22"
"3","53003","3","11601","4","4","5","5","22"
"3","53002","3","11602","4","4","5","5","22"
"3","53003","3","11701","3","3","4","4","22"
"3","53002","3","11702","3","3","4","3","22"
"3","53003","2","11801","2","2","3","3","22"
"3","53002","2","11802","2","2","3","2","22"
"3","53003","1","11901","1","1","2","2","22"
"3","53002","1","11902","1","1","2","1","22"
"3","53002","1","12001","0","0","1","2","22"
"4","53003","5","12101","-1","6","7","8","22"
"4","53002","5","12102","-1","6","7","4","22"
"4","53003","4","12201","5","5","6","6","22"
"4","53002","4","12202","5","5","6","5","22"
"4","53003","3","12301","4","4","5","5","22"
"4","53002","3","12302","4","4","5","5","22"
"4","53003","3","12401","3","3","4","4","22"
"4","53002","3","12402","3","3","4","3","22"
"4","53003","2","12501","2","2","3","3","22"
"4","53002","2","12502","2","2","3","2","22"
"4","53003","1","12601","1","1","2","2","22"
"4","53002","1","12602","1","1","2","1","22"
"4","53002","1","12701","0","0","1","2","22"
"5","53003","5","12801","-1","6","7","8","22"
"5","53002","5","12802","-1","6","7","4","22"
"5","53003","4","12901","5","5","6","6","22"
"5","53002","4","12902","5","5","6","5","22"
"5","53003","3","13001","4","4","5","5","22"
"5","53002","3","13002","4","4","5","5","22"
"5","53003","3","13101","3","3","4","4","22"
"5","53002","3","13102","3","3","4","3","22"
"5","53003","2","13201","2","2","3","3","22"
"5","53002","2","13202","2","2","3","2","22"
"5","53003","1","13301","1","1","2","2","22"
"5","53002","1","13302","1","1","2","1","22"
"5","53002","1","13401","0","0","1","2","22"
"6","53003","5","13501","-1","6","7","8","22"
"6","53002","5","13502","-1","6","7","4","22"
"6","53003","4","13601","5","5","6","6","22"
"6","53002","4","13702","5","5","6","5","22"
"6","53003","3","13801","4","4","5","5","22"
"6","53002","3","13902","4","4","5","5","22"
"6","53003","3","14001","3","3","4","4","22"
"6","53002","3","14002","3","3","4","3","22"
"6","53003","2","14101","2","2","3","3","22"
"6","53002","2","14102","2","2","3","2","22"
"6","53003","1","14201","1","1","2","2","22"
"6","53002","1","14202","1","1","2","1","22"
"6","53002","1","14301","0","0","1","2","22"
