4c42d9c2f56193845370655641c20d0a7860fd5e57b603b91ea5475ff4c68ecb,5aacb8cb376642c8bdae46d09df0909f5312aab312225ac118ccd44df7bea39d,64598927e95f9af8fbcf448ed192f01cbcc41df0a5ee28d99dd8c426715feb79,894597666be3f3170c0c8cd19baf6fd3cef4d7162e6f1543c71c4feefc911638,1cca1d5293b141b427a44fe6cba5db3e313b655504eb392556171deb71feff49,42f0dd41bd680091d7ff03576ca00fc0b3e63033b6a70ff572efd0846c4e672c,88b4a0e48fad541e313fa414d99db4f194b3b6e2bda4901d60f38927fae4ac0b,099c53b1bf60de70d1064a23dcb4c094f51964b8289a36e0ca8e0b514a841e2f,e11af8087f8f150608c8cf00950e310c8c4547caaa2dc2faa430db2053143186
"7","1","1","15","53002","10701","20","15","22"
"7","2","1","14","53002","10702","22","14","22"
"7","3","2","13","53002","10703","24","13","22"
"7","4","2","12","53002","10704","26","12","22"
"7","5","3","11","53002","10705","28","11","22"
"7","6","3","10","53002","10706","30","10","22"
"7","7","4","9","53002","10707","32","9","22"
"7","8","4","8","53002","10708","34","8","22"
"7","9","5","7","53002","10709","36","0","22"
"8","1","1","15","53002","10801","20","15","22"
"8","2","1","14","53002","10802","22","14","22"
"8","3","2","13","53002","10803","24","13","22"
"8","4","2","12","53002","10804","26","12","22"
"8","5","3","11","53002","10805","28","11","22"
"8","6","3","10","53002","10806","30","10","22"
"8","7","4","9","53002","10807","32","9","22"
"8","8","4","8","53002","10808","34","8","22"
"8","9","5","7","53002","10809","36","0","22"
"9","1","1","15","53002","10901","20","15","22"
"9","2","1","14","53002","10902","22","14","22"
"9","3","2","13","53002","10903","24","13","22"
"9","4","2","12","53002","10904","26","12","22"
"9","5","3","11","53002","10905","28","11","22"
"9","6","3","10","53002","10906","30","10","22"
"9","7","4","9","53002","10907","32","9","22"
"9","8","4","8","53002","10908","34","8","22"
"9","9","5","7","53002","10909","36","0","22"
"10","1","1","15","53002","11001","20","15","22"
"10","2","1","14","53002","11002","22","14","22"
"10","3","2","13","53002","11003","24","13","22"
"10","4","2","12","53002","11004","26","12","22"
"10","5","3","11","53002","11005","28","11","22"
"10","6","3","10","53002","11006","30","10","22"
"10","7","4","9","53002","11007","32","9","22"
"10","8","4","8","53002","11008","34","8","22"
"10","9","5","7","53002","11009","36","0","22"
