640630f00fc75626de9fa1b7d3395fa6df353f26426035a117130971b6dd6399,36402eb40504b53293c8863e7d6bae07183c68227eda51def0929c252f379a04,60099178762cc698722dd2919e1a2dfba5a962604ac16491195b73850ef9275e,5daf6cb4d84c6ecbb58f92ce6710f8c2a6234c23a1b8a556f00789ad823a9edf,bd5bba43288010d3a97e4aa206de6ed526835dc3011e358205551709a7d2ecbe
"100111","1","1001","1","1"
"100112","2","1001","2","1"
"100113","3","1001","3","1"
"100114","4","1001","4","1"
"100115","5","1001","5","1"
"100121","1","1001","6","2"
"100122","2","1001","7","2"
"100123","3","1001","8","2"
"100124","4","1001","9","2"
"100125","5","1001","10","2"
"100131","1","1001","11","3"
"100132","2","1001","12","3"
"100133","3","1001","13","3"
"100134","4","1001","14","3"
"100135","5","1001","15","3"
"100211","1","1002","16","1"
"100212","2","1002","17","1"
"100213","3","1002","18","1"
"100214","4","1002","19","1"
"100215","5","1002","20","1"
"100221","1","1002","21","2"
"100222","2","1002","22","2"
"100223","3","1002","23","2"
"100224","4","1002","24","2"
"100225","5","1002","25","2"
"100231","1","1002","26","3"
"100232","2","1002","27","3"
"100233","3","1002","28","3"
"100234","4","1002","29","3"
"100235","5","1002","30","3"
"100311","1","1003","31","1"
"100312","2","1003","32","1"
"100313","3","1003","33","1"
"100314","4","1003","34","1"
"100315","5","1003","35","1"
"100321","1","1003","36","2"
"100322","2","1003","37","2"
"100323","3","1003","38","2"
"100324","4","1003","39","2"
"100325","5","1003","40","2"
"100331","1","1003","41","3"
"100332","2","1003","42","3"
"100333","3","1003","43","3"
"100334","4","1003","44","3"
"100335","5","1003","45","3"
"100411","1","1004","46","1"
"100412","2","1004","47","1"
"100413","3","1004","48","1"
"100414","4","1004","49","1"
"100415","5","1004","50","1"
"100421","1","1004","51","2"
"100422","2","1004","52","2"
"100423","3","1004","53","2"
"100424","4","1004","54","2"
"100425","5","1004","55","2"
"100431","1","1004","56","3"
"100432","2","1004","57","3"
"100433","3","1004","58","3"
"100434","4","1004","59","3"
"100435","5","1004","60","3"
"100441","1","1004","61","4"
"100442","2","1004","62","4"
"100443","3","1004","63","4"
"100444","4","1004","64","4"
"100445","5","1004","65","4"
"100511","1","1005","66","1"
"100512","2","1005","67","1"
"100513","3","1005","68","1"
"100514","4","1005","69","1"
"100515","5","1005","70","1"
"100521","1","1005","71","2"
"100522","2","1005","72","2"
"100523","3","1005","73","2"
"100524","4","1005","74","2"
"100525","5","1005","75","2"
"100531","1","1005","76","3"
"100532","2","1005","77","3"
"100533","3","1005","78","3"
"100534","4","1005","79","3"
"100535","5","1005","80","3"
"100541","1","1005","81","4"
"100542","2","1005","82","4"
"100543","3","1005","83","4"
"100544","4","1005","84","4"
"100545","5","1005","85","4"
