2006e17b97fc830c12927fcd66cce3c4c3f9a125ecde2fa3f8e10509151de541,d991fa60388179c14da16a3d88b3743d323a0e037e761076666a663f9219667d,5b6d2d61c75af5b3120c52d5ab00b8c55275ba821c222d42efc5a04c55a9b9e8,2083a59d5e7962d52e43b63ec51796b3c462e9142f1e0aee6050bcf61fd6ef19,c1f9550a7db1dccdba70443808b847ce4a2322cff1b49917fe5a7b7f4f40eecc,1010742e93ce50abca79460357a29065de4f9b9c05c0722ad4cfff9db1802f5c,29d6b6995dd2886e99fffbdc9d1fb4a41a7103c9416bbcd0402788317941c198,9a7ddf61e9a8d053908bf8d31fa240d67e03e3d86ad5746097caef88395418bd,cb5d202da12cf2ed514fbe6718fb19d56a37f93d324f2dd7658483a7d8a034d5,3bd3472c6b25098fce12d6189b9d778f622127ab07a5af44b9c526f6588d90cc,be0c8877705cecd7940eb62161ebd7b8a7c918ae2426f1bc6f8e4acb20b2d9e5,aa47fe946a5d1754c9ccb7493a5176d5c1a311c74123b0f8b444f11f1da2e51c,44744538ffc296243488c82656703c766e189cf791d81c291ff17b12ec6d9788,905f7018c6202580153c2c4996c536f731da13eff665a76886cf699cf4beaba0
"20001101","0","1","0","0","201","20001","0","bgm_M32","1","bgm_M32","タルグム地方","0","0"
"20001201","0","0","0","0","201","20001","0","bgm_M32","1","bgm_M32","タルグム地方","0","0"
"20002101","0","0","0","0","201","20002","0","bgm_M98","1","bgm_M98_2","マシーナ地方","0","0"
"20002201","0","0","0","0","201","20002","0","bgm_M98","1","bgm_M98_2","マシーナ地方","0","0"
"20003101","0","0","0","0","201","20003","0","bgm_M106","1","bgm_M106","ランドソル郊外","0","0"
"20003201","0","0","0","0","201","20003","0","bgm_M106","1","bgm_M106","ランドソル郊外","0","0"
"20004101","0","0","0","0","201","20004","0","bgm_M112","1","bgm_M112","タパスビーチ周辺","0","0"
"20004201","0","0","0","0","201","20004","0","bgm_M112","1","bgm_M112","タパスビーチ周辺","0","0"
"20005101","0","0","0","0","201","20005","0","bgm_M121","1","bgm_M121","イルシオンの孤島","0","0"
"20005201","0","0","0","0","201","20005","0","bgm_M121","1","bgm_M121","イルシオンの孤島","0","0"
"20006101","0","0","0","0","201","20006","85","bgm_M128","1","bgm_M128","王都ランドソル","0","0"
"20006201","0","0","0","0","201","20006","0","bgm_M128","1","bgm_M128","王都ランドソル","0","0"
"20007101","0","1","0","0","201","20007","0","bgm_M135","1","bgm_M135","ランドソル郊外","0","0"
"20007102","208","2","1","0","201","20007","0","bgm_M29","1","bgm_M29","霊界","80","202"
"20007103","209","3","1","1","201","20007","0","bgm_M135","1","bgm_M135","ランドソル中央部","0","202"
"20007201","0","1","0","31","201","20007","0","bgm_M135","1","bgm_M135","ランドソル郊外","0","0"
"20008101","0","0","0","0","201","20008","35","bgm_M162","1","bgm_M162","ランドソル近郊","0","0"
"20008201","0","0","0","0","201","20008","0","bgm_M162","1","bgm_M162","ランドソル近郊","0","0"
"20009101","0","1","0","11","201","20009","110","bgm_M171","1","bgm_M171","サレンディア救護院","0","0"
"20009201","0","1","0","0","201","20009","0","bgm_M171","1","bgm_M171","王都ランドソル","0","0"
"20010101","0","1","0","0","201","20010","1","bgm_M182","1","bgm_M182","神殿への参道","180","0"
"20010201","0","1","0","0","201","20010","0","bgm_M182","1","bgm_M182","神殿への参道","0","0"
"20011101","0","1","0","0","201","20011","0","bgm_M189","1","bgm_M189","王都ランドソル","0","0"
"20011102","0","2","0","0","201","20011","110","bgm_M189","1","bgm_M189","キッチンスタジアム","0","0"
"20011201","0","1","0","0","201","20011","0","bgm_M189","1","bgm_M189","キッチンスタジアム","0","0"
"20012101","0","1","0","0","201","20012","115","bgm_M206","1","bgm_M206","王都ランドソル","0","0"
"20012201","0","1","0","0","201","20012","0","bgm_M206","1","bgm_M206","王都ランドソル","0","0"
"20013101","0","1","0","0","201","20013","100","bgm_M215","1","bgm_M215","ガストロス山","0","0"
"20013102","208","2","1","11","201","20013","0","bgm_M215","1","bgm_M215","光の裂け目","0","202"
"20013201","0","1","0","0","201","20013","0","bgm_M215","1","bgm_M215","光の裂け目","0","0"
"20014101","0","1","0","0","201","20014","120","bgm_M223","1","bgm_M223","オーエド町","0","0"
"20014201","0","1","0","0","201","20014","0","bgm_M223","1","bgm_M223","オーエド町","0","0"
"20015101","0","1","0","12","201","20015","98","bgm_M237","1","bgm_M237","サンレインビーチ","0","0"
