6fe3baf99d223957c10c11ea701aca94e566dadd67802f8f0c65209c78facc36,ba6d9141a61c23923fb8a721afdb7670869897224a686ff42719c8e487402727,609bd08e48606615eb08a715d94a8a785bfb653ecd1271f2992cab7ba04c8b19,02204e54381cd9c708ca432cbe51fb088a4c6c728299e4fe8a05390561a0dab5,96a19f111fba67775d71d7bd02abe58e385065a4f11da96266b75b72aae84102,f3948fadf6a3773c4fc58f4c2f0d8147642e4ed2c3d8bbf59fc5155e0f5994a7,40f2250e1db89c45d6a7ffc4a26e7f74ce0139006a43e15fd445261d4145b4b8,bc532e62c545d25ffbd00606aea06a5faf0f3eb1d724c7f6e332eca800abe876
"110001","1","ガーゴイル（EASY）をクリアしよう","0","110001","90110001","111","70000"
"110002","1","ガーゴイル（NORMAL）をクリアしよう","0","110001","90110002","112","70000"
"110003","1","ガーゴイル（HARD）をクリアしよう","0","110001","90110003","113","70000"
"110004","1","ガーゴイル（VERY HARD）をクリアしよう","0","110001","90110004","114","70000"
"110005","1","ガーゴイル（EXTREME）をクリアしよう","0","110001","90110005","115","70000"
"120001","1","マグスガーゴイル（EASY）をクリアしよう","0","110001","90120001","121","70000"
"120002","1","マグスガーゴイル（NORMAL）をクリアしよう","0","110001","90120002","122","70000"
"120003","1","マグスガーゴイル（HARD）をクリアしよう","0","110001","90120003","123","70000"
"120004","1","マグスガーゴイル（VERY HARD）をクリアしよう","0","110001","90120004","124","70000"
"120005","1","マグスガーゴイル（EXTREME）をクリアしよう","0","110001","90120005","125","70000"
"130001","1","ガードガーゴイル（EASY）をクリアしよう","0","110001","90130001","131","70000"
"130002","1","ガードガーゴイル（NORMAL）をクリアしよう","0","110001","90130002","132","70000"
"130003","1","ガードガーゴイル（HARD）をクリアしよう","0","110001","90130003","133","70000"
"130004","1","ガードガーゴイル（VERY HARD）をクリアしよう","0","110001","90130004","134","70000"
"130005","1","ガードガーゴイル（EXTREME）をクリアしよう","0","110001","90130005","135","70000"
"140001","1","ガーゴイル・バースト（EASY）をクリアしよう","0","110001","90140001","141","70000"
"140002","1","ガーゴイル・バースト（NORMAL）をクリアしよう","0","110001","90140002","142","70000"
"140003","1","ガーゴイル・バースト（HARD）をクリアしよう","0","110001","90140003","143","70000"
"140004","1","ガーゴイル・バースト（VERY HARD）をクリアしよう","0","110001","90140004","144","70000"
"140005","1","ガーゴイル・バースト（EXTREME）をクリアしよう","0","110001","90140005","145","70000"
"150001","1","ガーゴイル・マギ（EASY）をクリアしよう","0","110001","90150001","151","70000"
"150002","1","ガーゴイル・マギ（NORMAL）をクリアしよう","0","110001","90150002","152","70000"
"150003","1","ガーゴイル・マギ（HARD）をクリアしよう","0","110001","90150003","153","70000"
"150004","1","ガーゴイル・マギ（VERY HARD）をクリアしよう","0","110001","90150004","154","70000"
"150005","1","ガーゴイル・マギ（EXTREME）をクリアしよう","0","110001","90150005","155","70000"
