ff80bd9b577782b84be922c748c3cebda2d5802d7e91c9d85c0565585cc7f742,641b51c3cdf6282d17e01050e445b77a00051b29adc606b7e06a2b357978b356,a54b258f14ac7035e63d47f1c0e5133ae2fe104a763bc6f502f0ef35aa5c1e75,7d5df75225b6a9e77c235ef2ed535bdd191cbb985895f08f644cfff55f857f78,f3a81f179ebfc03c6a700d1e133182be9280d563936da3f64310b1b8c0c1720d,0499bf6bf245bf4210e84396ac10c744906221cd415b8a03e94b9998ee5c7a2d,8623bc655a14b6062d84996e0a7398efa64900097361d7856fb701ed4fc52420,942f65eb6a9fb7cf4d488b967700b259abf62e1289981ff235805ba14149f12a,7324b64ab55fb6976e3738a36c1cb87766a77f9015ca5a531184c4ad52eb7878,73843df5b2fb7e9d956f0c8481df9862b407e19461d2ac18f820d8ba121d86a4,39dc3df6291b8ebd22eeb07bdbb7d8be921710718132f5322ea63d5e90a51968,aa604b23067767fa67f4b8493133ba9962839037c744c94f588af954ba4a3c93,b5c06a3edeaace37b28feaea3cc53160e88ac8e196023343fdea9b0cab58133d,8780c16bceba50a73ef887705151aa17c819f2991590af3605a21f35808a2968,c25c7dc5cd682ac0b2cd605f2089704083df534972aa8dcf196bff1db622aa35,0619d8ef6910fbea40766f09989acb3a9ebc76ff259787bb7d8e088c71f83f26
"デイリージュエルパック{1}日目のアイテムセット","1","9","104","0","0","2","3","2000","17001001","0","デイリージュエルパック未受け取り分のジュエル","403","2","0","30"
"","0","15","103","3","0","1","3","0","0","0","","0","1","1","7"
"","0","18","103","3","0","1","3","0","0","0","","0","1","1","30"
"7日間スタミナ応援パック{1}日目のアイテムセット","2","19","103","1","9402","3","0","0","17001002","0","","405","3","0","7"
"","3","20","0","0","9403","4","0","0","0","0","","0","0","0","0"
"","4","21","0","0","9404","4","0","0","0","0","","0","0","0","0"
"","5","22","0","0","9405","4","0","0","0","0","","0","0","0","0"
"","6","23","0","0","9406","4","0","0","0","0","","0","0","0","0"
"","7","26","0","0","9411","4","0","0","0","0","","0","0","0","0"
"","8","27","0","0","9412","4","0","0","0","0","","0","0","0","0"
"","9","28","908","0","9319","5","0","0","0","0","","0","0","0","0"
"","3","29","0","0","9407","4","0","0","0","0","","0","0","0","0"
"","4","30","0","0","9408","4","0","0","0","0","","0","0","0","0"
"","5","31","0","0","9409","4","0","0","0","0","","0","0","0","0"
"","6","32","0","0","9410","4","0","0","0","0","","0","0","0","0"
"","12","33","908","0","9319","5","0","0","0","0","","0","0","0","0"
"","3","34","0","0","9413","4","0","0","0","0","","0","0","0","0"
"","4","35","0","0","9414","4","0","0","0","0","","0","0","0","0"
"","5","36","0","0","9415","4","0","0","0","0","","0","0","0","0"
"","6","37","0","0","9416","4","0","0","0","0","","0","0","0","0"
"","7","38","0","0","9417","4","0","0","0","0","","0","0","0","0"
"","8","39","0","0","9418","4","0","0","0","0","","0","0","0","0"
"","10","40","0","0","9419","4","0","0","0","0","","0","0","0","0"
"","11","41","0","0","9420","4","0","0","0","0","","0","0","0","0"
"","13","42","908","0","9319","5","0","0","0","0","","0","0","0","0"
"","14","43","908","0","9319","5","0","0","0","0","","0","0","0","0"
"","15","44","908","0","9319","5","0","0","0","0","","0","0","0","0"
"","3","45","0","0","9421","4","0","0","0","0","","0","0","0","0"
"","4","46","0","0","9422","4","0","0","0","0","","0","0","0","0"
"","5","47","0","0","9423","4","0","0","0","0","","0","0","0","0"
"","6","48","0","0","9424","4","0","0","0","0","","0","0","0","0"
"","7","49","0","0","9425","4","0","0","0","0","","0","0","0","0"
"","8","50","0","0","9426","4","0","0","0","0","","0","0","0","0"
"","10","51","0","0","9427","4","0","0","0","0","","0","0","0","0"
"","11","52","0","0","9428","4","0","0","0","0","","0","0","0","0"
"","16","53","0","0","9429","4","0","0","0","0","","0","0","0","0"
"","17","54","0","0","9430","4","0","0","0","0","","0","0","0","0"
"","18","55","908","0","9319","5","0","0","0","0","","0","0","0","0"
"7日間スタミナ応援パック{1}日目のアイテムセット","2","56","103","1","9402","3","0","0","17001002","0","","405","3","0","7"
