3b7c36620f5571aba3750f62ef56f7dc28de9378d53805477682b3e0dd21f0f9,5ef70e2f41638b62e0460042f16988b68f018e45ec712c01097ac8483d5ff7c2,f1834c095ad0aaf5b81a0d5cdc4ae349317f75657849b4af2537dd1e079f8482,29f6a222ebef2e57512ae35edde185dea5fb26c32a33f946ea0727740dfbfa89,70b58dcd805a48c06b4e7f8ca2ae259fd80e4ad9ae767a3586fe68e418644dae,fe0efd859828790f703f94dc004afc726cd3932009695d5d0a2b299ecc9b0a86,0cfa6206f7938dfd04e1f375374f625f2735f0ff3d4b0e2e024357a0f1612871,625e962453b8bc06e1a8906bd9b4d9b4a9a5639df8c789db8a1ede8e927d3efc,40d6ba1df48f5f3ca9416e89ee58bda2ecd64b00d54d34af36fadf2be0561c16,85b13aae720bea7b49b9e5416d40b04b076abb2acd0b27e678612b8c6733c28b,8bef525d48b9eb41fd593ba22d4bc86d2b804edfa63fb622c2aabbf5e7d72f00,8af943178fa908b821e740b09e50050506c26bdc86c17c15972dec00e723ab9a,9d34c314c817c8f686a5bb290d21344e00be1cd1b15194e1de23e294f176044f,4ee36f14019c5ca65d3ede9f10f1c27958ab556129022239e81595e3fb1300d0,aac5a47ff96ad0877b45f9d22e3790ed012a38af66852eb173f50ddd3a8488d2,4ba1cadc1e2c644442da6b78a7330a40ffa0a572a2bdfbbf1b535f9aa813adb2,1e66d4cc61069c549a9b8f3cf684f41b0dde5532af31a07014a5a048a8697a00,a5843449058cf8d78d3ea3d693ea4c4182c0bf581acc7ea9f3ccf858449b5366,6be36cd9aea5b0cd2f4613fe1018e65b919f60794ba71d6d257d2ae4e3f7226a,0ad31ea12bb15a18a777691fec434dbbb8492059d053867578f2603423e4d789
"1","0","2","90006","5","0","0","1","0","3100104","20003","0","0","2","1","1001201","20","0","0","0"
"2","0","2","90006","4","0","0","3","0","3100103","20003","0","0","2","2","1001201","15","0","0","0"
"4","0","2","90006","3","0","0","10","0","3100102","20003","0","0","2","3","1001201","10","0","0","0"
"11","0","2","90006","1","0","0","30","0","3100101","20003","0","0","2","4","1001201","5","0","0","0"
"1","0","2","90006","5","0","0","1","0","3100104","20003","0","0","2","5","1001202","20","0","0","0"
"2","0","2","90006","4","0","0","3","0","3100103","20003","0","0","2","6","1001202","15","0","0","0"
"4","0","2","90006","3","0","0","10","0","3100102","20003","0","0","2","7","1001202","10","0","0","0"
"11","0","2","90006","1","0","0","30","0","3100101","20003","0","0","2","8","1001202","5","0","0","0"
"1","0","2","90006","5","0","0","1","0","3100104","20003","0","0","2","9","1001203","20","0","0","0"
"2","0","2","90006","4","0","0","3","0","3100103","20003","0","0","2","10","1001203","15","0","0","0"
"4","0","2","90006","3","0","0","10","0","3100102","20003","0","0","2","11","1001203","10","0","0","0"
"11","0","2","90006","1","0","0","30","0","3100101","20003","0","0","2","12","1001203","5","0","0","0"
"1","0","2","90006","5","0","0","1","0","3100104","20003","0","0","2","13","1001204","20","0","0","0"
"2","0","2","90006","4","0","0","3","0","3100103","20003","0","0","2","14","1001204","15","0","0","0"
"4","0","2","90006","3","0","0","10","0","3100102","20003","0","0","2","15","1001204","10","0","0","0"
"11","0","2","90006","1","0","0","30","0","3100101","20003","0","0","2","16","1001204","5","0","0","0"
"1","0","2","90006","10","0","0","1","0","3100104","20003","0","0","2","17","1001205","40","0","0","0"
"2","0","2","90006","8","0","0","3","0","3100103","20003","0","0","2","18","1001205","30","0","0","0"
