edf192183914170df2e2b763535c9085969de2a214ccd7a8df1c42454722a68f,4353f2c027b7ac83f9a712c4a43d398d2d5d5ac9d5be33b135a576252e5b648f,c70c4dca6a511e2d179584e105c81cfd0ec4591dfaeafab136f28b947092d227,f54ff44b8fd304e033a47fc980d0521b8d1c38209cb3d3a0727d347da4064196,f70d93801599a7780a09d52279cf8cf6260a8ec323ff80043b0b31d348af0f8f,d9c78bf48b61ff8256d40b20e75c835f2c3c9a3c5f0783042565d73743181fea,8342f226874b3c70063ee0b24b6d67e181ec168f21bf3899f9489afce6cf9c22,abbb4cbc9704ce2bf252593401b670b8beab4b4d045fa8667e7163045a730bdd,be056b785f0ebb779bd2be526c2d8aabdac0b54c976f545610e6d8c5315084c1,0bdaf47df63c8cdfd7758c390c26892a09cea3734abd34b6ab8ed9a7652d4cd2,37ca2bcb6f620860053ba69588a5792267c54c75372111568bdc889682a4a4e8
"イベント「ミサトサマーエール！　夢追う真夏のナイン」の\nスペシャルエピソードが解放されました。","2020/07/31 12:00:00","2020/08/31 11:59:59","5046601","イベントスペシャルエピソード","10046","ストーリーへ","1","エクストラストーリーからも\n特別なストーリーをご覧いただけます。","5046601","1004601"
"イベント「ハッピー・チェンジ・エンジェルズ」の\nエンディングを読むと、特別なエピソードが解放されます。","2020/09/14 21:00:00","2020/09/30 11:59:59","5048","イベントスペシャルエピソード","10048","ストーリーへ","2","エクストラストーリーからも\n特別なストーリーをご覧いただけます。","0","1004801"
"イベント「ハッピー・チェンジ・エンジェルズ」で\nラフィからお手紙が届きました！","2020/09/14 21:00:00","2020/09/30 11:59:59","5048","イベントスペシャルエピソード","10048","ストーリーへ","3","エクストラストーリーからも\n特別なストーリーをご覧いただけます。","0","1004802"
"イベント「新春グルメプリンセス！　一投にかけた乙女たち」\nのスペシャルエピソードが解放されました。","2021/01/14 21:00:00","2021/01/31 11:59:59","5056","イベントスペシャルエピソード","10056","ストーリーへ","4","エクストラストーリーからも\n特別なストーリーをご覧いただけます。","5056601","1005601"
"イベント「シンデレラレッスン　華やかなる日々はリンゴ\nの味」のスペシャルエピソードが解放されました。","2021/02/28 12:00:00","2021/03/18 14:59:59","5061","イベントスペシャルエピソード","10061","ストーリーへ","3","エクストラストーリーから\n特別なストーリーをご覧いただけます。","5061601","1006101"
"イベント「シンデレラレッスン　華やかなる日々はリンゴ\nの味」のスペシャルエピソードが解放されました。","2021/03/14 21:00:00","2021/03/18 14:59:59","10061","イベントスペシャルエピソード","10061","ストーリーへ","5","","5061602","1006102"
"イベント「シンデレラレッスン　華やかなる日々はリンゴ\nの味」のスペシャルエピソードが解放されました。","2021/03/18 15:00:00","2021/03/31 11:59:59","5061","イベントスペシャルエピソード","10061","ストーリーへ","3","エクストラストーリーから\n特別なストーリーをご覧いただけます。","5061601","1006103"
"ミニゲーム「大激戦！しりとりドラゴンズ」\nで新しいストーリーが解放されました","2021/04/30 12:00:00","2021/05/31 11:59:59","1004","ミニゲーム ストーリー解放","10066","ストーリーへ","6","閲覧には「みんなのゲームテーブル」で\n「大激戦！しりとりドラゴンズ」を購入し\nEXTRAをプレイする必要があります","5027704","1006601"
"「夏休みの絵日記」に\nイオ先生からの添削コメントが追加されました。","2021/07/14 21:00:00","2021/07/18 14:59:59","10070","イオからのコメント追加","10070","イベントへ","5","「夏休みの絵日記」表紙からの切り替えで\n添削コメントをご覧いただけます。","5070601","1007001"
"イベント「ミサトサマーエール！　夢追う真夏のナイン」の\nスペシャルエピソードが解放されました。","2021/08/18 12:00:00","2021/08/31 11:59:59","5046601","イベントスペシャルエピソード","10073","ストーリーへ","1","エクストラストーリーからも\n特別なストーリーをご覧いただけます。","5046601","1007301"
