98874f5a4786b65adc8443e757333abea25783aa4e270d621f91ccc195d45bf3,0009604ddd5996bb642dafadddd3908a93e7eebffd025870433c5e5faaaeee34,7b25e201965743b6748d861f0e2431495bcf59f3a34dfafe49746b1bbc73ce03,9aebd77fa98cef1831e2f6303956158c8cb8b7345450b45c58bcd1153fd16b2c,63cc17f9d3b8b986e44db29af855b2ed04d4cbf864f25d1bcd345fc0979cd231,cbe8238ec7d0a0b954614aa0534ed7e44fabc7f807b77f9af748aaf149ca7f2a,b5a3b8872c9306c119d5c17e32b673484f761257739de19bce4ddcd8ef5bc221,79c8fd5504328a825b092ca376d49f89d42c0b2785d53b799d81a9fb6d245785,abcf65af7b2f4b30bd0f57df3d2a07b224d8e4f116a22515965683ed94372a31,88cd428d8cd37eb56212bf7b1f402ffe1ed63ddecb9f1ae5c601a5af938b8d95,c11c5171aeb92d9b913e73867fd1ecb30be037506dc95748e8de65fcb875a76c,86dca7a0586fc8bf371b45c162c05aa9b066fbab560f0e57aee5e4b6f5a1894d
"5201322","610201102","0","0","1","5","1","10201201","5.5","0","5201321","70"
"5201323","610201103","15","600","2","5","3","10201201","1.5","3","0","0"
"0","610201104","0","0","3","5","1","10201201","1.5","0","0","0"
"0","610201105","0","0","1","5","1","10201501","5.5","0","0","70"
"0","610201106","15","600","2","5","3","10201501","1.5","3","0","0"
"0","610201107","0","0","3","5","1","10201501","1.5","0","0","0"
"5201332","610201152","0","600","1","5","2","10201251","5.5","3","5201331","0"
"5201333","610201153","0","0","2","5","1","10201251","1.5","0","0","65"
"0","610201154","0","0","3","5","1","10201251","1.5","0","0","0"
"0","610201155","0","600","1","5","2","10201551","5.5","3","0","0"
"0","610201156","0","0","2","5","1","10201551","1.5","0","0","65"
"0","610201157","0","0","3","5","1","10201551","1.5","0","0","0"
"5202322","610202102","0","600","1","5","2","10202201","5.5","3","5202321","0"
"5202323","610202103","0","0","2","5","1","10202201","1.5","0","0","70"
"0","610202104","0","0","3","5","1","10202201","1.5","0","0","0"
"0","610202105","0","600","1","5","2","10202501","5.5","3","0","0"
"0","610202106","0","0","2","5","1","10202501","1.5","0","0","70"
"0","610202107","0","0","3","5","1","10202501","1.5","0","0","0"
"5203322","610203102","0","600","1","5","2","10203201","5.5","3","5203321","0"
"5203323","610203103","0","0","2","5","1","10203201","1.5","0","0","66"
"0","610203104","0","0","3","5","1","10203201","1.5","0","0","0"
"0","610203105","0","600","1","5","2","10203501","5.5","3","0","0"
"0","610203106","0","0","2","5","1","10203501","1.5","0","0","66"
"0","610203107","0","0","3","5","1","10203501","1.5","0","0","0"
"5204322","610204102","0","600","1","5","2","10204201","5.5","3","5204321","0"
"5204323","610204103","0","0","2","5","1","10204201","1.5","0","0","60"
"0","610204104","0","0","3","5","1","10204201","1.5","0","0","0"
"0","610204105","0","600","1","5","2","10204501","5.5","3","0","0"
"0","610204106","0","0","2","5","1","10204501","1.5","0","0","80"
"0","610204107","0","0","3","5","1","10204501","1.5","0","0","0"
"5205322","610205102","0","600","1","5","2","10205201","5.5","3","5205321","0"
"5205323","610205103","0","0","2","5","1","10205201","1.5","0","0","65"
"0","610205104","0","0","3","5","1","10205201","1.5","0","0","0"
"0","610205105","0","600","1","5","2","10205501","5.5","3","0","0"
"0","610205106","0","0","2","5","1","10205501","1.5","0","0","66"
"0","610205107","0","0","3","5","1","10205501","1.5","0","0","0"
"5206322","610206102","0","600","1","5","2","10206201","5.5","3","5206321","0"
"5206323","610206103","0","600","2","5","2","10206201","1.5","3","0","0"
"0","610206104","0","0","3","5","1","10206201","1.5","0","0","0"
"0","610206105","0","600","1","5","2","10206501","5.5","3","0","0"
"0","610206106","0","600","2","5","2","10206501","1.5","3","0","0"
"0","610206107","0","0","3","5","1","10206501","1.5","0","0","0"
"5207322","610207102","0","600","1","5","2","10207201","5.5","3","5207321","0"
"5207323","610207103","0","0","2","5","1","10207201","1.5","0","0","66"
"0","610207104","0","0","3","5","1","10207201","1.5","0","0","0"
"0","610207105","0","600","1","5","2","10207501","5.5","3","0","0"
"0","610207106","0","0","2","5","1","10207501","1.5","0","0","66"
"0","610207107","0","0","3","5","1","10207501","1.5","0","0","0"
"5208322","610208102","0","600","1","5","2","10208201","5.5","3","5208321","0"
"5208323","610208103","0","0","2","5","1","10208201","1.5","0","0","70"
"0","610208104","0","0","3","5","1","10208201","1.5","0","0","0"
"0","610208105","0","600","1","5","2","10208501","5.5","3","0","0"
"0","610208106","0","0","2","5","1","10208501","1.5","0","0","70"
"0","610208107","0","0","3","5","1","10208501","1.5","0","0","0"
