fbabf66a38bba27283ba5bab31df191b25505039b1801804feedafda0b09da35,b5ef9377d9e0c2538903c4257ac233e95236416fe912a2c017870a27391afdca,1d20bcf5a7ff3261242ac997e1dd79f087c15fb41f411fa96c3a47051fc31bee,d44085fded7e37d638974e67d4607d17fe7c7f7634e81cb473fa3ba0362b0ce3,1e9cef8a1283946c350c0b07d1cfc295b1ea87821e1b7cfe34ae2bd05ed32073,2a2e1dd2f92140ff5306bcd413c39a103cc0ea540fb46bbbddd616f2f3f991e5,4eedb6198f8ff760efb62866273c74fd56501a39f533565c96d56b847d16bb4b,76dc32904c7a75a9ad45f312995c7e7c2150343502991660562f71d42568f6a9,41c344c0bbf21045458b3f4621983a1cc5c34abd5c69dcf44c9d8b0dc69821b1,f089cbec40ce3e909e568bf8b86e188dd97afcb89e6e600860c806b62e110988
"バク","0","0","2110001","0","0","1","パグ","ハグ","バグ"
"テクニック","0","0","2110003","0","0","1","手首","テイク","テクノロジー"
"ふぶき","0","0","2110005","0","0","1","ゆきやけ","じひびき","なだれ"
"化石","0","0","2110006","0","0","1","大理石","黒曜石","磁石"
"リバー","0","0","2110007","0","0","1","ミスト","ガルフ","オーシャン"
"ラットマーク","0","0","2110008","0","0","1","カットマーク","バットマーク","アットマーク"
"太陽があたらない場所","0","0","2110010","0","0","1","建物の中の場所","いつもすずしい場所","太陽の日があたる場所"
"ダブルデート","0","0","2110011","0","0","1","バレンタインデート","ハッピーデート","アップデート"
"ブルドーザー","0","0","2110012","0","0","1","バリケード","オブリガード","ブリザード"
"月","0","0","2110014","0","0","1","火星","地球","太陽"
"放物線","0","0","2110016","0","0","1","新幹線","電話線","地平線"
"白歴史","0","0","2110018","0","0","1","青歴史","赤歴史","黒歴史"
"みりん","0","0","2110019","0","0","1","みそ","お酢","しょうゆ"
"お腹","0","0","2110021","0","0","1","顔","手のひら","背中"
"ガラス板","0","0","2110022","0","0","1","看板","ベニヤ板","鉄板"
"プレスコード","0","0","2110023","0","0","1","エンコード","バーコード","ドレスコード"
"だるまおとし","0","0","2110024","0","0","1","まくおとし","やくおとし","こけらおとし"
"コイル","0","0","2110025","0","0","1","ライン","ライス","コイン"
"パラレル","0","0","2110026","0","0","1","パラソル","ナチュラル","アパレル"
"ぼかし","0","0","2110028","0","0","1","薄塗り","上塗り","透かし"
"風邪薬","0","0","2110031","0","0","1","胃薬","塗り薬","目薬"
"のれん","0","0","2110032","0","0","1","石の上","馬の耳","ぬか"
"なみだ","0","0","2110034","0","0","1","豆腐","カナブン","金棒"
"レモネード","0","0","2110035","0","0","1","サイダー","コーラ","水"
"一度","0","0","2110036","0","0","1","四度","二度","三度"
"髪の毛","0","0","2110037","0","0","1","メガネ","手ぬぐい","たんこぶ"
"光","0","0","2110038","0","0","1","天国","極楽","闇"
"団子","0","0","2110039","0","0","1","あんみつ","ようかん","ぼた餅"
"はえ","0","0","2110040","0","0","1","あぶ","か","はち"
"猿","0","0","2110041","0","0","1","猫","羊","馬"
"風","0","0","2110042","0","0","1","土","火","水"
"寒","0","0","2110043","0","0","1","水","氷","冷"
"韓","0","0","2110044","0","0","1","脇","散","朝"
"生麦","0","0","2110045","0","0","1","生卵","生米","生姜"
"先生","0","0","2110046","0","0","1","占星","先制","宣誓"
"気象","0","0","2110047","0","0","1","気性","希少","起床"
"非","0","0","2110049","0","0","1","未","無","不"
"不","0","0","2110050","0","0","1","未","無","非"
"不","0","0","2110051","0","0","1","未","非","無"
"不","0","0","2110052","0","0","1","無","非","未"
"馬耳東風","0","0","2110053","0","0","1","有名無実","一日千秋","三日坊主"
"ねこ","0","0","2110054","0","0","1","きつね","いぬ","たぬき"
"くつひも","0","0","2110056","0","0","1","あしのうら","てぶくろ","たび"
"十","0","0","2110058","0","0","1","万 ","千","百"
"九","0","0","2110060","0","0","1","七","八","十"
"ジャッジメント","0","0","2111001","0","0","1","ハイテンション","アジテーション","ハッピーエンド"
"ちぇる～ん☆","0","0","2111002","0","0","1","夢はスーパースター☆☆★","やばいですね★","どるるるる～ん★"
"獣の耳と尻尾がある","0","0","2111003","0","0","1","二つの角を頭部に持つ","最も人口が多い","尖った長い耳"
"クォン","0","0","2111004","0","0","1","キャォン","パォン","カォン"
"輝く","0","0","2111005","0","0","1","教育","高価","成長"
"銅","0","0","2120002","0","0","1","金","鉄","銀"
"ラバー","0","0","2120004","0","0","1","モツ","ハツ","レバー"
"タケウマ","0","0","2120005","0","0","1","ストレス","バシャウマ","トラウマ"
"秒雨","0","0","2120006","0","0","1","雷雨","分雨","時雨"
"銀","0","0","2120009","0","0","1","金","銅","鉄"
"大赤柱","0","0","2120011","0","0","1","大白柱","大青柱","大黒柱"
"電車","0","0","2120012","0","0","1","電灯","電源","電報"
"しょうゆ","0","0","2120013","0","0","1","みそ","お酢","みりん"
"ですぎ","0","0","2120014","0","0","1","こいめ","しぶみ","でがらし"
"うわて","0","0","2120016","0","0","1","じょうず","じょうしゅ","かみて"
"よりせき","0","0","2120017","0","0","1","よるせき","よせき","よせ"
