e727fc76548e08afad6cb50b2aa55d3ecd61d0a84644b5552939e4446f7fa587,c35fef858d6a51471c7a0ba867ecd9d3948d638f1613813747e358c641c4940c,e7968e858c1382c8a22d47809f07a4a5e2f884934b0cf58690a42cb170383cba,252a0c06c38b0aaedc7fbe67c43919df9cb1f812960b3293d86fa278833d2720,fd30aeabe52662930e9866865c2b1e8590ad7527ff8375c7cc3523c287bed449,aab73c6a59b9900a2211f1f90f1690498292d5a04c05154769659e10fcfa8064,3fe049057d7c6fb559059e2ea953e39f9b73760f5d49022f74d64ed289440ea3,33b6a247011858fe146c0bd3389c2a3c3468651ed398616e347f49030149d829,ee5cb4935c690f08b9f38d8bedc57b95a61c788b47e6bb5f59d606a81f95043f,76fd718779d45e1498f0d518ab4896eaa6b91aafdbc2f2536f46294bba7eb6d2,6761aecbf610d55bd837347e3d9f0a668ca53178540d400cb23e2f272c9a38dd,ee2e6efed1bdde1f5e496bd39f5a31695a359e1ee6c332fb0c930b6220ae4395,c15155653ce9181d8654359ad58f044d692a67d49096dc8604c96e917c0c3b38,e0c93acd65200054559bdb0b51cee1ca553c789a2eb7c10e18761b718abfc129,d24b5486d85d229f155fdf8194554492735936a82ed5bdb3a09c81549a7555a5,8bc79425322cea63ec67912bce1eb65767868bc788ef7e3e3ad6374800367308
"40","40","0","0","8","25202","0","91002","2","50","2","78100101","25201","0","0","0"
"40","25","0","0","8","25204","0","91002","2","50","2","78100102","25203","0","0","0"
"40","5","0","0","8","25206","0","91002","2","50","2","78100103","25205","0","0","0"
"40","40","0","0","8","25203","25202","91002","2","50","2","78100104","25201","2","0","40"
"40","25","0","0","8","25204","25206","91002","2","50","2","78100105","25205","2","0","5"
"2","3","0","0","2","25202","0","25201","2","2","2","78100111","25203","0","0","0"
"2","2","0","0","2","25204","0","25203","2","2","2","78100112","25205","0","0","0"
"2","1","0","0","2","25206","0","25203","2","2","2","78100113","25205","0","0","0"
"2","3","0","0","2","25202","25204","25201","2","2","2","78100114","25205","2","0","2"
"1","0","0","0","2","0","0","25201","0","2","2","78100115","25206","0","0","0"
"4","4","0","0","2","25202","0","25201","2","4","2","78100121","25203","0","0","0"
"4","3","0","0","2","25204","0","25203","2","4","2","78100122","25205","0","0","0"
"4","1","0","0","2","25206","0","25203","2","4","2","78100123","25205","0","0","0"
"4","4","0","0","2","25202","25204","25201","2","4","2","78100124","25205","2","0","3"
"1","0","0","0","2","0","0","25201","0","4","2","78100125","25206","0","0","0"
"6","6","0","0","2","25202","0","25201","2","6","2","78100131","25203","0","0","0"
"6","3","0","0","2","25204","0","25203","2","6","2","78100132","25205","0","0","0"
"6","1","0","0","2","25206","0","25203","2","6","2","78100133","25205","0","0","0"
"6","6","0","0","2","25202","25204","25201","2","6","2","78100134","25205","2","0","3"
"1","0","0","0","2","0","0","25201","0","6","2","78100135","25206","0","0","0"
"40","40","0","0","8","25202","0","91002","2","50","2","78100201","25201","0","0","0"
"40","25","0","0","8","25204","0","91002","2","50","2","78100202","25203","0","0","0"
"40","5","0","0","8","25206","0","91002","2","50","2","78100203","25205","0","0","0"
"40","40","0","0","8","25203","25202","91002","2","50","2","78100204","25201","2","0","40"
"40","25","0","0","8","25204","25206","91002","2","50","2","78100205","25205","2","0","5"
"2","3","0","0","2","25202","0","25201","2","2","2","78100211","25203","0","0","0"
"2","2","0","0","2","25204","0","25203","2","2","2","78100212","25205","0","0","0"
"2","1","0","0","2","25206","0","25203","2","2","2","78100213","25205","0","0","0"
"2","3","0","0","2","25202","25204","25201","2","2","2","78100214","25205","2","0","2"
"1","0","0","0","2","0","0","25201","0","2","2","78100215","25206","0","0","0"
"4","4","0","0","2","25202","0","25201","2","4","2","78100221","25203","0","0","0"
"4","3","0","0","2","25204","0","25203","2","4","2","78100222","25205","0","0","0"
"4","1","0","0","2","25206","0","25203","2","4","2","78100223","25205","0","0","0"
"4","4","0","0","2","25202","25204","25201","2","4","2","78100224","25205","2","0","3"
"1","0","0","0","2","0","0","25201","0","4","2","78100225","25206","0","0","0"
"6","6","0","0","2","25202","0","25201","2","6","2","78100231","25203","0","0","0"
"6","3","0","0","2","25204","0","25203","2","6","2","78100232","25205","0","0","0"
"6","1","0","0","2","25206","0","25203","2","6","2","78100233","25205","0","0","0"
"6","6","0","0","2","25202","25204","25201","2","6","2","78100234","25205","2","0","3"
"1","0","0","0","2","0","0","25201","0","6","2","78100235","25206","0","0","0"
"40","40","0","0","8","25202","0","91002","2","50","2","78100301","25201","0","0","0"
"40","25","0","0","8","25204","0","91002","2","50","2","78100302","25203","0","0","0"
"40","5","0","0","8","25206","0","91002","2","50","2","78100303","25205","0","0","0"
"40","40","0","0","8","25203","25202","91002","2","50","2","78100304","25201","2","0","40"
"40","25","0","0","8","25204","25206","91002","2","50","2","78100305","25205","2","0","5"
"2","3","0","0","2","25202","0","25201","2","2","2","78100311","25203","0","0","0"
"2","2","0","0","2","25204","0","25203","2","2","2","78100312","25205","0","0","0"
"2","1","0","0","2","25206","0","25203","2","2","2","78100313","25205","0","0","0"
"2","3","0","0","2","25202","25204","25201","2","2","2","78100314","25205","2","0","2"
"1","0","0","0","2","0","0","25201","0","2","2","78100315","25206","0","0","0"
"4","4","0","0","2","25202","0","25201","2","4","2","78100321","25203","0","0","0"
"4","3","0","0","2","25204","0","25203","2","4","2","78100322","25205","0","0","0"
"4","1","0","0","2","25206","0","25203","2","4","2","78100323","25205","0","0","0"
"4","4","0","0","2","25202","25204","25201","2","4","2","78100324","25205","2","0","3"
"1","0","0","0","2","0","0","25201","0","4","2","78100325","25206","0","0","0"
"6","6","0","0","2","25202","0","25201","2","6","2","78100331","25203","0","0","0"
"6","3","0","0","2","25204","0","25203","2","6","2","78100332","25205","0","0","0"
"6","1","0","0","2","25206","0","25203","2","6","2","78100333","25205","0","0","0"
"6","6","0","0","2","25202","25204","25201","2","6","2","78100334","25205","2","0","3"
"1","0","0","0","2","0","0","25201","0","6","2","78100335","25206","0","0","0"
"40","40","0","0","8","25202","0","91002","2","50","2","78100401","25201","0","0","0"
"40","25","0","0","8","25204","0","91002","2","50","2","78100402","25203","0","0","0"
"40","5","0","0","8","25206","0","91002","2","50","2","78100403","25205","0","0","0"
"40","40","0","0","8","25203","25202","91002","2","50","2","78100404","25201","2","0","40"
"40","25","0","0","8","25204","25206","91002","2","50","2","78100405","25205","2","0","5"
"2","3","0","0","2","25202","0","25201","2","2","2","78100411","25203","0","0","0"
"2","2","0","0","2","25204","0","25203","2","2","2","78100412","25205","0","0","0"
"2","1","0","0","2","25206","0","25203","2","2","2","78100413","25205","0","0","0"
"2","3","0","0","2","25202","25204","25201","2","2","2","78100414","25205","2","0","2"
"1","0","0","0","2","0","0","25201","0","2","2","78100415","25206","0","0","0"
"4","4","0","0","2","25202","0","25201","2","4","2","78100421","25203","0","0","0"
"4","3","0","0","2","25204","0","25203","2","4","2","78100422","25205","0","0","0"
"4","1","0","0","2","25206","0","25203","2","4","2","78100423","25205","0","0","0"
"4","4","0","0","2","25202","25204","25201","2","4","2","78100424","25205","2","0","3"
"1","0","0","0","2","0","0","25201","0","4","2","78100425","25206","0","0","0"
"6","6","0","0","2","25202","0","25201","2","6","2","78100431","25203","0","0","0"
"6","3","0","0","2","25204","0","25203","2","6","2","78100432","25205","0","0","0"
"6","1","0","0","2","25206","0","25203","2","6","2","78100433","25205","0","0","0"
"6","6","0","0","2","25202","25204","25201","2","6","2","78100434","25205","2","0","3"
"1","0","0","0","2","0","0","25201","0","6","2","78100435","25206","0","0","0"
"8","8","0","0","2","25202","0","25201","2","8","2","78100441","25203","0","0","0"
"8","4","0","0","2","25204","0","25203","2","8","2","78100442","25205","0","0","0"
"8","1","0","0","2","25206","0","25203","2","8","2","78100443","25205","0","0","0"
"8","8","0","0","2","25202","25204","25201","2","8","2","78100444","25205","2","0","4"
"1","0","0","0","2","0","0","25201","0","8","2","78100445","25206","0","0","0"
"40","40","0","0","8","25202","0","91002","2","50","2","78100501","25201","0","0","0"
"40","25","0","0","8","25204","0","91002","2","50","2","78100502","25203","0","0","0"
"40","5","0","0","8","25206","0","91002","2","50","2","78100503","25205","0","0","0"
"40","40","0","0","8","25203","25202","91002","2","50","2","78100504","25201","2","0","40"
"40","25","0","0","8","25204","25206","91002","2","50","2","78100505","25205","2","0","5"
"2","3","0","0","2","25202","0","25201","2","2","2","78100511","25203","0","0","0"
"2","2","0","0","2","25204","0","25203","2","2","2","78100512","25205","0","0","0"
"2","1","0","0","2","25206","0","25203","2","2","2","78100513","25205","0","0","0"
"2","3","0","0","2","25202","25204","25201","2","2","2","78100514","25205","2","0","2"
"1","0","0","0","2","0","0","25201","0","2","2","78100515","25206","0","0","0"
"4","4","0","0","2","25202","0","25201","2","4","2","78100521","25203","0","0","0"
"4","3","0","0","2","25204","0","25203","2","4","2","78100522","25205","0","0","0"
"4","1","0","0","2","25206","0","25203","2","4","2","78100523","25205","0","0","0"
"4","4","0","0","2","25202","25204","25201","2","4","2","78100524","25205","2","0","3"
"1","0","0","0","2","0","0","25201","0","4","2","78100525","25206","0","0","0"
"6","6","0","0","2","25202","0","25201","2","6","2","78100531","25203","0","0","0"
