3aee4b55b6c42ac3bd42313e17c2b817a2a30d49df037a3d60c423def2c3778a,cd5717a6c043df1efe9a5f198b747e1a64aee0065cc499a2f45de85334989f45,9a67099df4240289d06bf4bde7f1c2a88ee369d1a0964f137142f6ca1499d128,45132753d33105a6a89605d649615ca9ecdd29c5fda1cee75e2f243c820e2dec,f6fbac2ce4dd6372404d58f0bc186fef698edf42ab147cc9823e02478adb5644,52440ca0d1b9f299ba923e2716fd8a72f8400fb979871bc6c936681072e30525
"vo_caravan","vo_caravan_105801_start_001","1","1","1","11101"
"vo_caravan","vo_caravan_105801_start_002","1","1","1","11102"
"vo_caravan","vo_caravan_105901_start_001","2","1","1","12101"
"vo_caravan","vo_caravan_105901_start_002","2","1","1","12102"
"vo_caravan","vo_caravan_106001_start_001","3","1","1","13101"
"vo_caravan","vo_caravan_106001_start_002","3","1","1","13102"
"vo_caravan","vo_caravan_106401_start_001","4","1","1","14101"
"vo_caravan","vo_caravan_106401_start_002","4","1","1","14102"
"vo_caravan","vo_caravan_105801_dice_001","1","2","1","21101"
"vo_caravan","vo_caravan_105801_dice_002","1","2","1","21102"
"vo_caravan","vo_caravan_105901_dice_001","2","2","1","22101"
"vo_caravan","vo_caravan_105901_dice_002","2","2","1","22102"
"vo_caravan","vo_caravan_106001_dice_001","3","2","1","23101"
"vo_caravan","vo_caravan_106001_dice_002","3","2","1","23102"
"vo_caravan","vo_caravan_106401_dice_001","4","2","1","24101"
"vo_caravan","vo_caravan_106401_dice_002","4","2","1","24102"
"vo_caravan","vo_caravan_105801_slot_001","1","3","1","31101"
"vo_caravan","vo_caravan_105901_slot_001","2","3","1","32101"
"vo_caravan","vo_caravan_106001_slot_001","3","3","1","33101"
"vo_caravan","vo_caravan_106401_slot_001","4","3","1","34101"
"vo_caravan","vo_caravan_105801_dish_001","1","4","1","41101"
"vo_caravan","vo_caravan_105801_dish_002","1","4","1","41102"
"vo_caravan","vo_caravan_105901_dish_001","2","4","1","42101"
"vo_caravan","vo_caravan_105901_dish_002","2","4","1","42102"
"se_caravan","se_caravan_food_peko","1","4","2","42201"
"se_caravan","se_caravan_food_coccoro","2","4","2","42202"
"se_caravan","se_caravan_food_kyaru","3","4","2","42203"
"se_caravan","se_caravan_food_coccoro","4","4","2","42204"
"se_caravan","se_caravan_food_onigiri","100","4","2","42205"
"vo_caravan","vo_caravan_106001_dish_001","3","4","1","43101"
"vo_caravan","vo_caravan_106001_dish_002","3","4","1","43102"
"vo_caravan","vo_caravan_106401_dish_001","4","4","1","44101"
"vo_caravan","vo_caravan_106401_dish_002","4","4","1","44102"
"vo_caravan","vo_caravan_onigiri_dish_001","100","4","1","45101"
"vo_caravan","vo_caravan_105801_goal_001","0","6","1","61101"
"vo_caravan","vo_caravan_105801_win_001","0","61","1","61201"
"vo_caravan","vo_caravan_105801_lose_001","0","62","1","61301"
"vo_caravan","vo_caravan_105901_goal_001","0","6","1","62101"
"vo_caravan","vo_caravan_105901_win_001","0","61","1","62201"
"vo_caravan","vo_caravan_105901_lose_001","0","62","1","62301"
"vo_caravan","vo_caravan_106001_goal_001","0","6","1","63101"
"vo_caravan","vo_caravan_106001_win_001","0","61","1","63201"
"vo_caravan","vo_caravan_106001_lose_001","0","62","1","63301"
"vo_caravan","vo_caravan_118501_goal_001","0","6","1","64101"
"vo_caravan","vo_caravan_106401_goal_001","0","6","1","65101"
"vo_caravan","vo_caravan_106401_win_001","0","61","1","65201"
"vo_caravan","vo_caravan_106401_lose_001","0","62","1","65301"
"vo_caravan","vo_caravan_105801_appraise_001","0","7","1","71101"
"vo_caravan","vo_caravan_105901_appraise_001","0","7","1","72101"
"vo_caravan","vo_caravan_106001_appraise_001","0","7","1","73101"
"vo_caravan","vo_caravan_106401_appraise_001","0","7","1","74101"
"vo_caravan","vo_caravan_105801_result_001","0","8","1","81101"
"vo_caravan","vo_caravan_105901_result_001","0","8","1","82101"
"vo_caravan","vo_caravan_106001_result_001","0","8","1","83101"
"vo_caravan","vo_caravan_106401_result_001","0","8","1","84101"
"vo_caravan","vo_caravan_319700_dice_001","11","2","1","211101"
"vo_caravan","vo_caravan_319700_dice_002","11","2","1","211102"
"vo_caravan","vo_caravan_319800_dice_001","12","2","1","212101"
"vo_caravan","vo_caravan_319800_dice_002","12","2","1","212102"
"vo_caravan","vo_caravan_319900_dice_001","13","2","1","213101"
"vo_caravan","vo_caravan_319900_dice_002","13","2","1","213102"
