b4fa550b0b6045114e92eee76b6a41c6b3ebabb496c81810cf027744de83bc0b,563c579ba9d1b23643cfb9236b44b1da6c48cbc920421fa3033566137a221918,99f47af46457139d130fdd3e0b65dca3d1eb39b3ff808168c534e1e12727b0f2,75f0b59ef7bb7ffe9330e09fc7b838e102c7f15fa0e7beda455a93bbe58ebe5e,06a64050f13cfd9d9c3da69c90a79819e36b280b9cabdc57bed6c152ab489631,21783c7ca8448c6c99343906418f59e480ab3f0a9f4472b0f5c9e8b8764a66fd,c2d26c35f853eceefcfd860643921ffb8a43399f99b7dad186029a2160e4efa6,8fda9b6190c1cac7c94a9552a5a88beac7a964f83792fbef5ee66047469c54b9,448a48f993a80aa1a2b52712da9d04e59dbc9d9f99989989cd2ce19a09933bc0,c625e7b29ee60ec54fca93d78f5139821a44c72d1d4af52ac1a4fc0c32a7d9f4,1d65522501f7055f4545a7e774bcea9411ad31b8ae03575fd9c3b17489e26f6f
"1001","167","drama_idle","1.65","1","100","1","1","-224","129811","1"
"1002","-49","drama_idle","1.65","0","100","1","1","-224","129911","1"
"1003","","","0.2","","1","1","129811","","drama_idle","3"
"1004","drama_talk_arm_crossed_loop","","0.2","0","0","1","129911","1","drama_talk_arm_crossed_in","3"
"1005","0","","","","0","1","vo_minigame_1013","","vo_minigame_1013_top_talk_1_000","21"
"1006","1","0","0","0","6","1","129911","0","魔物がいくらでも\n湧いてくるのなら、\n戦う相手に困りません\nむしろ好都合ですわね","11"
"1007","","","","","","1","0","","","91"
"1008","","","0.2","","1","1","129911","","drama_idle_arm_crossed","3"
"1009","drama_talk_doya_loop_smile","","0.2","0","0","1","129811","1","drama_talk_doya_in_smile","3"
"1010","0","","","","0","1","vo_minigame_1013","","vo_minigame_1013_top_talk_1_001","21"
"1011","1","0.3","0","0","6","1","129811","0","ははっ…\nそんな扱いになると\n魔物も少し気の毒に\n思えちまうな～","11"
"1012","","","","","","1","0","","","91"
"1013","","","0.2","","1","1","129811","","drama_idle_arm_crossed","3"
"1014","drama_talk_smile_loop","","0.2","0","0","1","129911","1","drama_talk_smile_in","3"
"1015","0","","","","0","1","vo_minigame_1013","","vo_minigame_1013_top_talk_1_002","21"
"1016","1","0.5","0","0","5","1","129911","0","訓練の糧になれるなら\n彼らも光栄でしょう\nクスクス…喜びの声が\n聞こえてくるようです","11"
"1017","","","","","","1","0","","","91"
"1018","","","0.2","","1","1","129911","","drama_idle","3"
"1019","","","0.2","","1","1","129811","","drama_idle","3"
"2001","167","drama_idle","1.65","1","100","2","1","-224","129811","1"
"2002","-49","drama_idle","1.65","0","100","2","1","-224","129911","1"
"2003","","","0.2","","1","2","129911","","drama_idle","3"
"2004","drama_talk_admire_loop","","0.2","","0","2","129811","1","drama_talk_admire_in","3"
"2005","0","","","","0","2","vo_minigame_1013","","vo_minigame_1013_top_talk_2_000","21"
"2006","1","0.5","0","0","7","2","129811","0","こうして兵士が大勢\n集まると、壮観だな\n訓練兵とは思えない\n迫力ってやつがあるよ","11"
"2007","","","","","","2","0","","","91"
"2008","","","0.2","","1","2","129811","","drama_idle_admire","3"
"2009","drama_talk_arm_crossed_loop","","0.2","","0","2","129911","1","drama_talk_arm_crossed_in","3"
"2010","0","","","","0","2","vo_minigame_1013","","vo_minigame_1013_top_talk_2_001","21"
"2011","1","0.3","0","0","5","2","129911","0","そんな彼らを従えて\n教育するのが私たち…\n期待に応え、全力で\nしつけてあげましょう","11"
"2012","","","","","","2","0","","","91"
"2013","","","0.2","","1","2","129911","","drama_idle_arm_crossed","3"
"2014","drama_talk_guts2_loop","","0.2","","0","2","129811","1","drama_talk_guts2_in","3"
"2015","0","","","","0","2","vo_minigame_1013","","vo_minigame_1013_top_talk_2_002","21"
"2016","1","0.3","0","0","8","2","129811","0","エリコの教官姿も、\nしっかり決まってるし\nよ～しっ、あたしも\n負けてられねえぜ！","11"
"2017","","","","","","2","0","","","91"
"2018","","","0.2","","1","2","129811","","drama_idle","3"
"2019","","","0.2","","1","2","129911","","drama_idle","3"
"3001","167","drama_idle","1.65","1","100","3","1","-224","129811","1"
"3002","-49","drama_idle","1.65","0","100","3","1","-224","129911","1"
"3003","","","0.2","","1","3","129811","","drama_idle","3"
"3004","","","0.2","","1","3","129911","","drama_talk_thinking","3"
"3005","0","","","","0","3","vo_minigame_1013","","vo_minigame_1013_top_talk_3_000","21"
"3006","1","0.8","0","0","5","3","129911","0","実際に魔物と対峙し、\nその体に刃を打ち込む\n訓練もこの感触が\nあってこそですわね","11"
"3007","","","","","","3","0","","","91"
"3008","","","0.2","","1","3","129911","","drama_idle_thinking","3"
"3009","drama_talk_sad_loop","","0.2","","0","3","129811","1","drama_talk_sad_in","3"
"3010","0","","","","0","3","vo_minigame_1013","","vo_minigame_1013_top_talk_3_001","21"
"3011","1","0.5","0","0","7","3","129811","0","相変わらず物騒な\n物言いしてるけど…\nま、理屈よりまず実践\nって教え方もありか","11"
"3012","","","","","","3","0","","","91"
