5dacf3380988785a4f30fbca1a31d3e24f4ca9d450622854b3b60ef1fe2dc085,c9140e8d71987cd5c31b16f59e36a6887723a9901e91d4d379ac36548497d12c,3d3ff84025d4cd1ee14fc9cdc71b549d01ee2d190c77429d87a89fec3fe5e7a0,bf153be973d73d23811250a85d46c6a8de57f90fee71de4ae0a3445fddd6d026,ad550fd3355843b0884dd5e0f3bfbdaf1e295a512d31dac8440a6acb77e9e7fb,bc83ba97d919a79b977b2c7a5004b556ba2fafa2deb9d1d5ee94c61a25612b61,4ba96dd5a9f8a8dd2cbcb4cc4127226ab71c1eef26123b274b1acb7b9bfb5bfe,4df7081f089e932a0e52fff4da2468005bbad9eb815bbca008c74c06ad4b0694,4195652828942ca5e78610dcd456327f0c5fe6bc44bff6b43acdbba2f9ef0aab
"2","3","3","2","1","1","6","2","100101"
"1","2","3","1","2","3","5","1","100201"
"2","3","2","1","3","1","7","3","100301"
"2","3","2","2","3","1","13","2","100401"
"3","1","3","2","2","2","18","2","100501"
"3","2","3","1","2","1","25","2","100601"
"1","2","3","2","2","3","26","3","100701"
"1","1","2","2","3","3","40","3","100801"
"3","3","2","1","2","1","34","3","100901"
"1","2","3","1","2","3","8","1","101001"
"1","2","3","3","2","2","56","2","101101"
"2","3","1","3","2","1","43","2","101201"
"3","1","3","1","3","1","33","2","101301"
"2","1","2","1","2","3","11","1","101401"
"1","2","2","1","3","3","42","1","101501"
"1","1","3","3","3","2","46","2","101601"
"2","1","3","3","2","1","10","2","101701"
"2","1","2","1","3","3","45","1","101801"
"2","3","3","2","1","2","12","1","102001"
"2","2","3","1","3","1","30","1","102101"
"2","2","1","3","3","1","24","1","102201"
"3","3","3","2","1","1","31","2","102301"
"1","1","2","3","2","3","29","1","102501"
"1","2","3","2","1","3","51","1","102601"
"1","3","1","2","3","2","36","3","102701"
"1","1","2","2","3","2","28","1","102801"
"1","2","3","2","2","2","52","1","102901"
"2","1","3","1","3","2","39","2","103001"
"1","3","2","2","1","3","27","3","103101"
"1","3","1","2","2","3","19","2","103201"
"2","3","3","1","1","2","48","2","103301"
"3","2","1","2","2","2","20","1","103401"
"3","1","1","2","2","3","14","3","103601"
"3","1","2","2","3","1","17","3","103701"
"3","2","2","1","1","3","49","3","103801"
"3","2","1","3","1","2","44","1","104001"
"2","1","2","2","2","3","53","3","104201"
"1","3","2","3","2","1","9","3","104301"
"2","3","2","1","1","3","23","3","104401"
"3","2","2","1","2","2","38","1","104501"
"1","2","2","3","1","3","21","2","104601"
"3","1","2","3","2","1","15","3","104701"
"2","2","1","3","3","1","22","3","104801"
"1","3","2","2","2","2","55","1","104901"
"2","1","3","3","2","2","47","1","105001"
"2","1","1","3","1","3","35","3","105101"
"1","2","3","2","2","2","50","2","105201"
"1","3","2","2","3","1","37","3","105301"
"1","2","3","3","1","2","54","2","105401"
"3","3","2","1","1","2","41","1","105501"
"1","2","3","3","2","1","32","3","105601"
"2","2","3","2","2","1","67","1","105701"
"1","2","3","2","2","2","1","2","105801"
"2","2","2","1","2","3","2","1","105901"
"3","1","2","3","1","2","3","3","106001"
"2","3","3","2","2","1","58","2","106101"
"2","3","3","2","1","1","68","1","106301"
"3","2","3","2","2","1","4","1","106401"
"3","1","3","2","2","1","61","3","106501"
"3","1","3","2","1","3","62","2","106601"
"2","1","2","1","2","2","60","3","106701"
"3","1","1","2","2","1","57","1","106801"
"2","2","1","1","1","3","59","3","107001"
"2","2","1","2","3","1","16","3","107101"
"2","2","2","1","2","2","70","1","109201"
"1","2","3","3","2","2","72","2","109301"
"2","1","2","3","3","1","71","3","109401"
"2","2","2","3","2","1","64","1","110801"
"1","1","2","2","3","2","65","2","110901"
"2","1","3","1","1","3","63","3","111001"
"3","2","2","3","1","2","69","2","111401"
"2","1","1","3","2","3","66","2","118001"
