f9dbf4c22ab148a3a8bd469c65079e069856a77a1d5b060a2a5b019e7bce7075,e53d12329c2ecd5e05f3f36dba7a9a4d8cfcf3991906f91616c4aef3b16eda29,c12d4fa265772481519a1d7e01f94887540ae92e35a51b152a9c29a1eb9e65c1,6e8bb44450c52e3c7c571bb57561d3ea974c4f5657ded9717e020db9c0b066ca,daae4f18ab3a7fd61185b45db5eed55e1303712a9f53f0a904554d2c4079cb5a,8d5ab75983013d8e7f5cc04ed181a5ff46c2fd82ac85de462ded99392abeb7b2,ab47662e2f3b97d722b6a183f25e8d3f4969db9e363389bd188fdd9d26ba8cb2,630248edef50f673309857d54a5677732cfd184dd582be83cb7cb339ff9a9288,024ff818350bc9957a5e899eccf81d023ac13cf873b11fd0e0dd23b8d11d04b7,9b5408af607d4dece291944add074d65120c711822f78adde70341e27e71936f
"10001","-1","3","53003","8","2","2","22","","15"
"10002","14","3","53003","5","1","1","22","","1"
"10003","0","3","52019","2","0","0","23","ワカナの施し","0"
"10004","-1","4","53003","8","2","2","22","","15"
"10005","14","4","53003","5","1","1","22","","1"
"10006","0","4","52019","2","0","0","23","ワカナの施し","0"
"10007","-1","5","53003","8","2","2","22","","15"
"10008","14","5","53003","5","1","1","22","","1"
"10009","0","5","52019","2","0","0","23","ワカナの施し","0"
"10010","-1","6","53003","8","2","2","22","","15"
"10011","14","6","53003","5","1","1","22","","1"
"10012","0","6","52019","2","0","0","23","ワカナの施し","0"
"10013","-1","7","53003","8","2","2","22","","15"
"10014","14","7","53003","5","1","1","22","","1"
"10015","0","7","52019","2","0","0","23","ワカナの施し","0"
"10016","-1","8","53003","8","2","2","22","","15"
"10017","14","8","53003","5","1","1","22","","1"
"10018","0","8","52019","2","0","0","23","ワカナの施し","0"
