a0102622c90425eb72865b3fcd95edb0ea7e0571a8fbeb4b5308e5ceee8648e4,2d65789341bdd0d0e22c1aa8d9c8e05f84d48cec3539cff7fc2c582a15bfaf3a,efa9a7dd98e613752ed241bc0227490957ea22a5a13123ee11c4945ea0766418,f6032ffc9c219a5ba5d9e437b2afaece0912cfda4fc2c77141066642a8e3e6be,0a2b8e08fdc671dca64796fb29639e55f6355054e7512416a5d7fcb567367fc2,6cb305d90e5a85758e7195fb309b317a1c2e60f316163e6680c8e981087dcd98,1c047cf354d743538ac7fffc0bc74cd62dfe9f8946f1ed184830f958ae1a8a2d,15afea4ecb60287b93527e0e5cebf5ea996f22f211ee46764deed11b52183a44,5ade7a8ad2945257f26649e5d4abc9e67efbf460af534e7178bdca49140f1cf0,4d6a68862e1ce02f02b725652c9bbe6d39c9c858994d2599fddefaceb083a365,e9c1621b7bfc226c569b4a3654ecb4812e17671732380843f1f324aee8fc75b0
"1001","1","1","drama_idle","1","129811","1","-224","167","1.65","100"
"1002","0","1","drama_idle","1","129911","1","-224","-49","1.65","100"
"1003","","3","","129811","drama_idle","1","","","0.2","1"
"1004","0","3","","129911","drama_talk_arm_crossed_in","1","1","drama_talk_arm_crossed_loop","0.2","0"
"1005","","21","","vo_minigame_1013","vo_minigame_1013_top_talk_1_000","1","","0","","0"
"1006","0","11","0","129911","魔物がいくらでも\n湧いてくるのなら、\n戦う相手に困りません\nむしろ好都合ですわね","1","0","1","0","6"
"1007","","91","","0","","1","","","",""
"1008","","3","","129911","drama_idle_arm_crossed","1","","","0.2","1"
"1009","0","3","","129811","drama_talk_doya_in_smile","1","1","drama_talk_doya_loop_smile","0.2","0"
"1010","","21","","vo_minigame_1013","vo_minigame_1013_top_talk_1_001","1","","0","","0"
"1011","0","11","0.3","129811","ははっ…\nそんな扱いになると\n魔物も少し気の毒に\n思えちまうな～","1","0","1","0","6"
"1012","","91","","0","","1","","","",""
"1013","","3","","129811","drama_idle_arm_crossed","1","","","0.2","1"
"1014","0","3","","129911","drama_talk_smile_in","1","1","drama_talk_smile_loop","0.2","0"
"1015","","21","","vo_minigame_1013","vo_minigame_1013_top_talk_1_002","1","","0","","0"
"1016","0","11","0.5","129911","訓練の糧になれるなら\n彼らも光栄でしょう\nクスクス…喜びの声が\n聞こえてくるようです","1","0","1","0","5"
"1017","","91","","0","","1","","","",""
"1018","","3","","129911","drama_idle","1","","","0.2","1"
"1019","","3","","129811","drama_idle","1","","","0.2","1"
"2001","1","1","drama_idle","1","129811","2","-224","167","1.65","100"
"2002","0","1","drama_idle","1","129911","2","-224","-49","1.65","100"
"2003","","3","","129911","drama_idle","2","","","0.2","1"
"2004","","3","","129811","drama_talk_admire_in","2","1","drama_talk_admire_loop","0.2","0"
"2005","","21","","vo_minigame_1013","vo_minigame_1013_top_talk_2_000","2","","0","","0"
"2006","0","11","0.5","129811","こうして兵士が大勢\n集まると、壮観だな\n訓練兵とは思えない\n迫力ってやつがあるよ","2","0","1","0","7"
"2007","","91","","0","","2","","","",""
"2008","","3","","129811","drama_idle_admire","2","","","0.2","1"
"2009","","3","","129911","drama_talk_arm_crossed_in","2","1","drama_talk_arm_crossed_loop","0.2","0"
"2010","","21","","vo_minigame_1013","vo_minigame_1013_top_talk_2_001","2","","0","","0"
"2011","0","11","0.3","129911","そんな彼らを従えて\n教育するのが私たち…\n期待に応え、全力で\nしつけてあげましょう","2","0","1","0","5"
"2012","","91","","0","","2","","","",""
"2013","","3","","129911","drama_idle_arm_crossed","2","","","0.2","1"
"2014","","3","","129811","drama_talk_guts2_in","2","1","drama_talk_guts2_loop","0.2","0"
"2015","","21","","vo_minigame_1013","vo_minigame_1013_top_talk_2_002","2","","0","","0"
"2016","0","11","0.3","129811","エリコの教官姿も、\nしっかり決まってるし\nよ～しっ、あたしも\n負けてられねえぜ！","2","0","1","0","8"
"2017","","91","","0","","2","","","",""
"2018","","3","","129811","drama_idle","2","","","0.2","1"
"2019","","3","","129911","drama_idle","2","","","0.2","1"
"3001","1","1","drama_idle","1","129811","3","-224","167","1.65","100"
"3002","0","1","drama_idle","1","129911","3","-224","-49","1.65","100"
"3003","","3","","129811","drama_idle","3","","","0.2","1"
"3004","","3","","129911","drama_talk_thinking","3","","","0.2","1"
"3005","","21","","vo_minigame_1013","vo_minigame_1013_top_talk_3_000","3","","0","","0"
"3006","0","11","0.8","129911","実際に魔物と対峙し、\nその体に刃を打ち込む\n訓練もこの感触が\nあってこそですわね","3","0","1","0","5"
"3007","","91","","0","","3","","","",""
"3008","","3","","129911","drama_idle_thinking","3","","","0.2","1"
"3009","","3","","129811","drama_talk_sad_in","3","1","drama_talk_sad_loop","0.2","0"
"3010","","21","","vo_minigame_1013","vo_minigame_1013_top_talk_3_001","3","","0","","0"
