415c78397f0f4e8157e746d6c2aef5a7c2e49cfb2cab23399f279314aec900af,354f77cda341112e79cfd4441ef905c2073c4f1afd3b3b9ca6492b1e146af274,60a9f58ef7d7ebdb61b0082d5e01d4e4ecaf3e7493e44ed9dfb36f1e4b0eb248,0fe367fd2614ad1853b8512021d42b65319c31cb0423c4fd5410440049bc174b,e996f5d6e42d157b1be9a0b05694c58e719fd39babc722ecb9028052e0369f22,9bbb0f32ed8d38b089ff9227732ea6660008c5f3004efb049ac1864b00d872cb,9979d5bad1b2d7324912cbcc4acf49955aed98fa22c22fb9d34c79d1424410cb,c8c35a4fb18b77e2a5134101d075a4038cd30858a097218a9fb21ebfc788934c,603e9376070be55ec189ff5c8cfd7f2489b6ddc051310c61f877ad058c1be754,1d03f47e7992b6ad5611e933fc1c623266ae9a5a3d9d3a17a466f6c1e0d224b9,bb92d0abb35b4f71a73e578d692a7c99d0b1a38e3b986eec47586028f7b4ca22,acdd58f4d505b3222c0c0c78a09cf427e247695bf96e4e0803ef5b56423db3fd,a3c14a69c469f0bca5142538797bcd0250716c3a472f1e2c35788c50e2e9b29e,9aeb09d2f8ea27377ffea70f5273ccde68e6256604803e692fd5a977b6b12ecb,eca5572dab0445710ffda6fb4dc65bbcf970dee41afef263900f66e6ba9f2ab4
"0","2022/02/15 5:00:00","0","100","0","111","2816","112","113","0","1","540","0","11","1"
"0","2022/02/16 5:00:00","0","100","0","211","2816","212","213","0","1","493","0","21","2"
"0","2022/02/17 5:00:00","0","100","0","311","2816","312","313","0","1","458","0","31","3"
"0","2022/02/18 5:00:00","0","100","0","411","2816","412","413","0","1","420","0","41","4"
"0","2022/02/19 5:00:00","0","100","0","511","2816","512","513","0","1","380","0","51","5"
"0","2022/02/20 5:00:00","0","100","0","611","2816","612","613","0","1","340","0","61","6"
"1","2022/02/21 5:00:00","0","100","0","711","2816","712","713","0","1","430","0","71","7"
"1","2022/02/22 5:00:00","0","100","0","811","2816","812","813","0","1","402","0","81","8"
"1","2022/02/23 5:00:00","0","100","0","911","2816","912","913","0","1","302","0","91","9"
"1","2022/02/24 5:00:00","0","100","0","1011","2816","1012","1013","0","1","264","0","101","10"
"1","2022/02/25 5:00:00","0","100","0","1111","2816","1112","1113","0","1","225","0","111","11"
"1","2022/02/26 5:00:00","0","100","0","1211","2816","1212","1213","0","1","328","0","121","12"
"1","2022/02/27 5:00:00","0","100","0","1311","2816","1312","1313","0","1","280","0","131","13"
"1","2022/02/28 5:00:00","0","100","0","1411","2816","1412","1413","0","1","269","0","141","14"
"1","2022/03/01 5:00:00","0","100","0","1511","2816","1512","1513","0","1","180","0","151","15"
"1","2022/03/02 5:00:00","0","100","0","1611","2816","1612","1613","0","1","138","0","161","16"
"1","2022/03/03 5:00:00","0","100","0","1711","2816","1712","1713","0","1","97","0","171","17"
"1","2022/03/04 5:00:00","0","100","0","1811","2816","1812","1813","0","1","56","0","181","18"
"1","2022/03/05 5:00:00","0","100","0","1911","2816","1912","1913","0","1","150","0","191","19"
"1","2022/03/06 5:00:00","0","100","0","2011","2816","2012","2013","0","1","100","0","201","20"
"1","2022/03/07 5:00:00","0","100","0","2111","2816","2112","2113","0","1","15","0","211","21"
"1","2022/03/08 5:00:00","0","100","0","2211","2816","2212","2213","0","1","-25","0","221","22"
"1","2022/03/09 5:00:00","0","100","0","2311","2816","2312","2313","0","1","-66","0","231","23"
"1","2022/03/10 5:00:00","0","100","0","2411","2816","2412","2413","0","1","-107","0","241","24"
"1","2022/03/11 5:00:00","0","100","0","2511","2816","2512","2513","0","1","-149","0","251","25"
"1","2022/03/12 5:00:00","0","100","0","2611","2816","2612","2613","0","1","-188","0","261","26"
"1","2022/03/13 5:00:00","0","100","0","2711","2816","2712","2713","0","1","-96","0","271","27"
"1","2022/03/14 5:00:00","0","100","0","2811","2816","2812","2813","0","1","-133","0","281","28"
"1","2022/03/15 5:00:00","0","100","0","2911","2816","2912","2913","0","1","-174","0","291","29"
"1","2022/03/16 5:00:00","0","100","0","3011","2816","3012","3013","0","1","-230","0","301","30"
"1","2022/03/17 5:00:00","0","100","0","3111","2816","3112","3113","0","1","-272","0","311","31"
"1","2022/03/18 5:00:00","0","100","0","3211","2816","3212","3213","0","1","-313","0","321","32"
"1","2022/03/19 5:00:00","0","100","0","3311","2816","3312","3313","0","1","-240","0","331","33"
"1","2022/03/20 5:00:00","0","100","0","3411","2816","3412","3413","0","1","-260","0","341","34"
"1","2022/03/21 5:00:00","0","100","0","3511","2816","3512","3513","0","1","-280","0","351","35"
"1","2022/03/22 5:00:00","0","100","0","3611","2816","3612","3613","0","1","-354","0","361","36"
"1","2022/03/23 5:00:00","0","100","0","3711","2816","3712","3713","0","1","-395","0","371","37"
"1","2022/03/24 5:00:00","0","100","0","3811","2816","3812","3813","0","1","-436","0","381","38"
"1","2022/03/25 5:00:00","0","100","0","3911","2816","3912","3913","0","1","-477","0","391","39"
"1","2022/03/26 5:00:00","0","100","0","4011","2816","4012","4013","0","1","-400","0","401","40"
"1","2022/03/27 5:00:00","0","100","0","4111","2816","4112","4113","0","1","-438","0","411","41"
"1","2022/03/28 5:00:00","0","100","0","4211","2816","4212","4213","0","1","0","0","421","42"
"2","2022/03/29 5:00:00","0","200","0","4311","2816","4312","4313","0","2","371","0","431","43"
"2","2022/03/30 5:00:00","0","200","0","4411","2816","4412","4413","0","2","343","0","441","44"
"2","2022/03/31 5:00:00","0","200","0","4511","2816","4512","4513","9105803","2","260","105801","451","45"
"2","2022/04/01 5:00:00","0","200","0","4611","2816","4612","4613","0","2","313","0","461","46"
"2","2022/04/02 5:00:00","0","200","0","4711","2816","4712","4713","0","2","285","0","471","47"
"2","2022/04/03 5:00:00","0","200","0","4811","2816","4812","4813","9102003","2","260","102001","481","48"
"2","2022/04/04 5:00:00","0","200","0","4911","2816","4912","4913","0","2","257","0","491","49"
"2","2022/04/05 5:00:00","0","200","0","5011","2816","5012","5013","9100203","2","173","100201","501","50"
"2","2022/04/06 5:00:00","0","200","0","5111","2816","5112","5113","0","2","227","0","511","51"
"2","2022/04/07 5:00:00","0","200","0","5211","2816","5212","5213","9105503","2","57","105501","521","52"
"2","2022/04/08 5:00:00","0","200","0","5311","2816","5312","5313","0","2","197","0","531","53"
