4f3fad4c059edfbc29880dca793a38d9dd716c78684306f6712910c9228df37a,828f7fc00e2df47568cbcc8d553a1c67075508bc80cbdeba494cbb3d6a82d382,cff07760c90314fa9b96429abcdf1959865ee1a27814c47d13537624988e2cf8,2f1db3572fbce6737b5b2071f0019ca1780935acdd87ee3916bc45f828e2c396,f92781e1724ed6e5c17104a9d067bf4dc16f2da92c7b2724aa7521ac19516dc6,6fadb1852809946b509a34c961683fc9bb8d682335ced7187c05a67acc2cebba,41fd185e3ff76d75f55b1ebe60b78ab2cd26ffc723d92ae1959fc28fb4b8bf0e,6da8900371f3f8f44c36665a454e934bb5e4ebfcdc7a271dad0c39a4abb05706,708fb3bb9a61080c0bfedca66accbe8c3cc7b961a795e49a1078d6f6512e8d07,87fd9ea74d5576c27b891895d90af69e472ebb6cf513d47951ca8ac0a82636bf
"1","1","0","2","vo_10011600","vo_10011600_0101","0","0","","1010001"
"2","1","0","1","0","0","0","8","　明日から","1010002"
"3","1","1.625","4","0","0","1","0","","1010003"
"4","1","0","1","0","0","0","10","聖テレサ女学院に通うことになっちゃった！","1010004"
"5","1","4","4","0","0","1","0","","1010005"
"6","1","0","2","vo_10011600","vo_10011600_0102","0","0","","1010006"
"7","1","0","1","0","0","0","8","　なんで、","1010007"
"8","1","1.375","4","0","0","1","0","","1010008"
"9","1","0","1","0","0","0","9","どうしてこんなことになっちゃったんだろう。\n","1010009"
"10","1","3.33333333333333","4","0","0","1","0","","1010010"
"11","1","0","2","vo_10011600","vo_10011600_0103","0","0","","1010011"
"12","1","0","1","0","0","0","8","ミサト先生は","1010012"
"13","1","1.75","4","0","0","1","0","","1010013"
"14","1","0","1","0","0","0","10","私ならきっとやれると言ってくれたけど……","1010014"
"15","1","3","4","0","0","1","0","","1010015"
"16","1","0","1","0","0","0","8","絶対ムリだー！\n","1010016"
"17","1","3.875","4","0","0","1","0","","1010017"
"18","1","0","2","vo_10011600","vo_10011600_0104","0","0","","1010018"
"19","1","0","1","0","0","0","8","でも。","1010019"
"20","1","2.375","4","0","0","1","0","","1010020"
"21","1","0","1","0","0","0","8","でも……","1010021"
"22","1","2.5","4","0","0","1","0","","1010022"
"23","1","0","2","vo_10011600","vo_10011600_0105","0","0","","1010023"
"24","1","0","1","0","0","0","8","でも、","1010024"
"25","1","1.375","4","0","0","1","0","","1010025"
"26","1","0","1","0","0","0","8","もしも、","1010026"
"27","1","1.5","4","0","0","1","0","","1010027"
"28","1","0","1","0","0","0","8","私が聖テレサ女学院で頑張ることが出来たら。\n\n","1010028"
"29","1","4.875","4","0","0","1","0","","1010029"
"30","1","0","2","vo_10011600","vo_10011600_0106","0","0","","1010030"
"31","1","0","1","0","0","0","6","……友達、","1010031"
"32","1","1.58333333333333","4","0","0","1","0","","1010032"
"33","1","0","1","0","0","0","8","できるかな？","1010033"
"34","1","1.75","4","0","0","1","0","","1010034"
"1","2","0","2","vo_10011600","vo_10011600_0201","0","0","","1020001"
"2","2","0","1","0","0","0","8","　ごきげんようという挨拶で","1020002"
"3","2","2.375","4","0","0","1","0","","1020003"
"4","2","0","1","0","0","0","8","私のぼっち心は最初から爆発寸前。\n","1020004"
"5","2","4","4","0","0","1","0","","1020005"
"6","2","0","2","vo_10011600","vo_10011600_0202","0","0","","1020006"
"7","2","0","1","0","0","0","8","ところが、","1020007"
"8","2","1.125","4","0","0","1","0","","1020008"
"9","2","0","1","0","0","0","8","なんとそこにBB団の団長さんが登場！","1020009"
"10","2","3.75","4","0","0","1","0","","1020010"
"11","2","0","2","vo_10011600","vo_10011600_0203","0","0","","1020011"
"12","2","0","1","0","0","0","8","　BB団の絆は","1020012"
"13","2","1.875","4","0","0","1","0","","1020013"
"14","2","0","1","0","0","0","8","どんな場所だろうと離れることはないんですね！\n","1020014"
"15","2","3.75","4","0","0","1","0","","1020015"
"16","2","0","2","vo_10011600","vo_10011600_0204","0","0","","1020016"
"17","2","0","1","0","0","0","8","そして、","1020017"
"18","2","1","4","0","0","1","0","","1020018"
"19","2","0","1","0","0","0","8","あの人と一緒にやってきた","1020019"
"20","2","2","4","0","0","1","0","","1020020"
"21","2","0","1","0","0","0","8","聖テレサ女学院","1020021"
"22","2","1.125","4","0","0","1","0","","1020022"
"23","2","0","1","0","0","0","8","（なかよし部）のみなさんとお知り合いに。","1020023"
"24","2","3.5","4","0","0","1","0","","1020024"
"25","2","0","2","vo_10011600","vo_10011600_0205","0","0","","1020025"
"26","2","0","1","0","0","0","8","　なんだかとても個性的な方々で、","1020026"
"27","2","3","4","0","0","1","0","","1020027"
"28","2","0","1","0","0","0","6","仲良くなれるか心配……","1020028"
"29","2","2.83333333333333","4","0","0","1","0","","1020029"
"1","3","0","2","vo_10011600","vo_10011600_0301","0","0","","1030001"
"2","3","0","1","0","0","0","8","　やっちゃった。","1030002"
"3","3","3","4","0","0","1","0","","1030003"
"4","3","0","2","vo_10011600","vo_10011600_0302","0","0","","1030004"
"5","3","0","1","0","0","0","8","　自己紹介というぼっちの前に立ちふさがる巨大な壁。","1030005"
"6","3","5.125","4","0","0","1","0","","1030006"
"7","3","0","2","vo_10011600","vo_10011600_0303","0","0","","1030007"
"8","3","0","1","0","0","0","8","　何度もイメージトレーニングしたのに、","1030008"
"9","3","2.625","4","0","0","1","0","","1030009"
