c2d6d457216042105cda0b337014fc1b49058412c53e1138ff86f2f9b6737e9f,56e83d7cc51dfcb26ff1ef5e8b7f915f54a42bda6c4594339bce34c533e18a4b,1dab03593664219a65f27f46ebf2b4672f3ae028d3f037813652e2303885f24b,71e1161cd4b8bb2f65f107b5a4bdd13b27a8fd29bf06a78f0ec5329dd01118bb,191ea56ef78d3a0c4ead88a759250666165bda2055d5362bccbb3e25b6633e1f,24d38475efbd5df6b98c0c08c8ceb85902d665296c48458ca39d3fb45f493e46,5a8e4ad2ad40d1756c28a7aa7983d7115898feb79fc948836f70ed018212de99,dcd5a4956e07b51e4b282d79e6715c4accc6a416aee9834830f6b2d3210ddcfb,11ee577293d0466273db3ec87672b22a3e231739f82fb97c024ca4e57fcc755b,993965ac6ed13f28f2d37bca63bf310cdef1ecfa9add7361aaa07f0df4b5adfd,ac5aa0e404b82001a139ebedecc12f55b3cc79a987e4f70a35ab6e5a0df2cf50,44a382350d9b8390851dddfe1f0baf2d59cfb66ab1a197c2da73999d723806e1
"0","1009801","1","0","4","0.8","0","0","1","0","0","100980101"
"0","1009801","0","vo_lsv","2","0","0","0","2","vo_lsv_0101","0","100980102"
"1","1009801","0","0","1","0","2","300","3","0","0","100980103"
"0","1009801","1","0","4","2.3","0","0","4","0","0","100980104"
"2","1009801","0","0","1","0","2","280","5","0","0","100980105"
"0","1009801","1","0","4","3","0","0","6","0","0","100980106"
"0","1009801","0","vo_lsv","2","0","0","0","7","vo_lsv_0102","0","100980107"
"3","1009801","0","0","1","0","2.05","300","8","0","0","100980108"
"0","1009801","1","0","4","2.05","0","0","9","0","0","100980109"
"4","1009801","0","0","1","0","1.8","327","10","0","0","100980110"
"0","1009801","1","0","4","2.8","0","0","11","0","0","100980111"
"0","1009801","0","vo_lsv","2","0","0","0","12","vo_lsv_0103","0","100980112"
"5","1009801","0","0","1","0","2.3","300","13","0","0","100980113"
"0","1009801","1","0","4","2.5","0","0","14","0","0","100980114"
"6","1009801","0","0","1","0","1.9","275","15","0","0","100980115"
"0","1009801","1","0","4","2.9","0","0","16","0","0","100980116"
"0","1009801","0","vo_lsv","2","0","0","0","17","vo_lsv_0104","0","100980117"
"7","1009801","0","0","1","0","2.7","300","18","0","0","100980118"
"0","1009801","1","0","4","2.9","0","0","19","0","0","100980119"
"8","1009801","0","0","1","0","2.3","310","20","0","0","100980120"
"0","1009801","1","0","4","2.3","0","0","21","0","0","100980121"
"9","1009801","0","0","1","0","1.8","250","22","0","0","100980122"
"0","1009801","1","0","4","2.8","0","0","23","0","0","100980123"
"0","1009801","0","vo_lsv","2","0","0","0","24","vo_lsv_0105","0","100980124"
"10","1009801","0","0","1","0","2.5","320","25","0","0","100980125"
"0","1009801","1","0","4","2.5","0","0","26","0","0","100980126"
"11","1009801","0","0","1","0","0.7","165","27","0","15","100980127"
"0","1009802","1","0","4","0.8","0","0","1","0","0","100980201"
"0","1009802","0","vo_lsv","2","0","0","0","2","vo_lsv_0201","0","100980202"
"1","1009802","0","0","1","0","1.51","300","3","0","0","100980203"
"0","1009802","1","0","4","1.51","0","0","4","0","0","100980204"
"2","1009802","0","0","1","0","1.5","300","5","0","0","100980205"
"0","1009802","1","0","4","2.5","0","0","6","0","0","100980206"
"0","1009802","0","vo_lsv","2","0","0","0","7","vo_lsv_0202","0","100980207"
"3","1009802","0","0","1","0","1.8","300","8","0","0","100980208"
"0","1009802","1","0","4","1.8","0","0","9","0","0","100980209"
"4","1009802","0","0","1","0","1.1","300","10","0","0","100980210"
"0","1009802","1","0","4","2.1","0","0","11","0","0","100980211"
"0","1009802","0","vo_lsv","2","0","0","0","12","vo_lsv_0203","0","100980212"
"5","1009802","0","0","1","0","1.95","300","13","0","0","100980213"
"0","1009802","1","0","4","1.95","0","0","14","0","0","100980214"
"6","1009802","0","0","1","0","2.05","310","15","0","0","100980215"
"0","1009802","1","0","4","2.05","0","0","16","0","0","100980216"
"7","1009802","0","0","1","0","0.8","150","17","0","0","100980217"
"0","1009802","1","0","4","1.8","0","0","18","0","0","100980218"
"0","1009802","0","vo_lsv","2","0","0","0","19","vo_lsv_0204","0","100980219"
"8","1009802","0","0","1","0","1.7","300","20","0","0","100980220"
"0","1009802","1","0","4","2.1","0","0","21","0","0","100980221"
"9","1009802","0","0","1","0","2.3","327","22","0","0","100980222"
"0","1009802","1","0","4","3.3","0","0","23","0","0","100980223"
"0","1009802","0","vo_lsv","2","0","0","0","24","vo_lsv_0205","0","100980224"
"10","1009802","0","0","1","0","1.83","300","25","0","0","100980225"
"0","1009802","1","0","4","2.4","0","0","26","0","0","100980226"
"11","1009802","0","0","1","0","1.7","300","27","0","0","100980227"
"0","1009802","1","0","4","2.1","0","0","28","0","0","100980228"
"12","1009802","0","0","1","0","1.1","210","29","0","0","100980229"
"0","1009802","1","0","4","0.5","0","0","30","0","0","100980230"
"0","1009803","1","0","4","0.8","0","0","1","0","0","100980301"
"0","1009803","0","vo_lsv","2","0","0","0","2","vo_lsv_0301","0","100980302"
"1","1009803","0","0","1","0","1.87","300","3","0","0","100980303"
"0","1009803","1","0","4","2","0","0","4","0","0","100980304"
"2","1009803","0","0","1","0","0.561","110","5","0","0","100980305"
"0","1009803","1","0","4","1.561","0","0","6","0","0","100980306"
"0","1009803","0","vo_lsv","2","0","0","0","7","vo_lsv_0302","0","100980307"
"2","1009803","0","0","1","0","1.3","320","8","0","110","100980308"
"0","1009803","1","0","4","1.3","0","0","9","0","0","100980309"
"3","1009803","0","0","1","0","1.2","227","10","0","0","100980310"
"0","1009803","1","0","4","2.2","0","0","11","0","0","100980311"
"0","1009803","0","vo_lsv","2","0","0","0","12","vo_lsv_0303","0","100980312"
"4","1009803","0","0","1","0","2.1","280","13","0","0","100980313"
"0","1009803","1","0","4","2.1","0","0","14","0","0","100980314"
"5","1009803","0","0","1","0","1.2","195","15","0","0","100980315"
"0","1009803","1","0","4","2.2","0","0","16","0","0","100980316"
"0","1009803","0","vo_lsv","2","0","0","0","17","vo_lsv_0304","0","100980317"
"6","1009803","0","0","1","0","1.305","300","18","0","0","100980318"
"0","1009803","1","0","4","1.305","0","0","19","0","0","100980319"
"7","1009803","0","0","1","0","2.181","325","20","0","0","100980320"
"0","1009803","1","0","4","2.781","0","0","21","0","0","100980321"
"8","1009803","0","0","1","0","1.32","250","22","0","0","100980322"
"0","1009803","1","0","4","2.32","0","0","23","0","0","100980323"
"0","1009803","0","vo_lsv","2","0","0","0","24","vo_lsv_0305","0","100980324"
"9","1009803","0","0","1","0","2.453","300","25","0","0","100980325"
"0","1009803","1","0","4","2.453","0","0","26","0","0","100980326"
"10","1009803","0","0","1","0","1.547","215","27","0","0","100980327"
"0","1009803","1","0","4","2.547","0","0","28","0","0","100980328"
"0","1009803","0","vo_lsv","2","0","0","0","29","vo_lsv_0306","0","100980329"
"11","1009803","0","0","1","0","1.95","300","30","0","0","100980330"
"0","1009803","1","0","4","2.95","0","0","31","0","0","100980331"
"0","1009803","0","vo_lsv","2","0","0","0","32","vo_lsv_0307","0","100980332"
"12","1009803","0","0","1","0","1.39","240","33","0","0","100980333"
"0","1009804","1","0","4","0.8","0","0","1","0","0","100980401"
"0","1009804","0","vo_lsv","2","0","0","0","2","vo_lsv_0401","0","100980402"
"1","1009804","0","0","1","0","2.4","300","3","0","0","100980403"
"0","1009804","1","0","4","2.4","0","0","4","0","0","100980404"
"2","1009804","0","0","1","0","0.6","150","5","0","0","100980405"
"0","1009804","1","0","4","1.6","0","0","6","0","0","100980406"
"0","1009804","0","vo_lsv","2","0","0","0","7","vo_lsv_0402","0","100980407"
"3","1009804","0","0","1","0","2.35","355","8","0","0","100980408"
"0","1009804","1","0","4","3.35","0","0","9","0","0","100980409"
"0","1009804","0","vo_lsv","2","0","0","0","10","vo_lsv_0403","0","100980410"
"4","1009804","0","0","1","0","1.669","300","11","0","0","100980411"
"0","1009804","1","0","4","2.1","0","0","12","0","0","100980412"
"5","1009804","0","0","1","0","1.7","230","13","0","0","100980413"
"0","1009804","1","0","4","2","0","0","14","0","0","100980414"
"6","1009804","0","0","1","0","1.35","230","15","0","0","100980415"
"0","1009804","1","0","4","2.85","0","0","16","0","0","100980416"
"0","1009804","0","vo_lsv","2","0","0","0","17","vo_lsv_0404","0","100980417"
"7","1009804","0","0","1","0","1.51","327","18","0","0","100980418"
"0","1009804","1","0","4","1.61","0","0","19","0","0","100980419"
"8","1009804","0","0","1","0","1.29","300","20","0","0","100980420"
"0","1009804","1","0","4","1.949","0","0","21","0","0","100980421"
"9","1009804","0","0","1","0","1.925","300","22","0","0","100980422"
"0","1009805","1","0","4","0.8","0","0","1","0","0","100980501"
"0","1009805","0","vo_lsv","2","0","0","0","2","vo_lsv_0501","0","100980502"
"1","1009805","0","0","1","0","2.115","300","3","0","0","100980503"
"0","1009805","1","0","4","3.115","0","0","4","0","0","100980504"
"0","1009805","0","vo_lsv","2","0","0","0","5","vo_lsv_0502","0","100980505"
"2","1009805","0","0","1","0","1.743","310","6","0","0","100980506"
"0","1009805","1","0","4","2.743","0","0","7","0","0","100980507"
"0","1009805","0","vo_lsv","2","0","0","0","8","vo_lsv_0503","0","100980508"
"3","1009805","0","0","1","0","1.86","300","9","0","0","100980509"
