2c6d5cd96c828549caa9af9e7ff3b222e3d1bdca4136325171eccfc0e7032f0a,740c8472ca1fbff9ce1d940ee3e778b6133a403df13905672b3863f437d0ab16,f41dfe22c8e9af97c90df6b03aa309166ef67f1d9bbbc62fbc327cbb8a2a34a9,a3458b2d7ce55a0007ca5f83f59f227444a536d980fbb31e70f3de1ac0a32f1e,4518de0c3a4544cd61feb8ee3495726c2d8b7c34ee945822d3089ad479a08de6
"1","0","26999","1","ひよっこ"
"2","0","26999","1","未熟者"
"3","0","26999","1","稚魚"
"4","0","26999","3","ビギナーランナー"
"5","0","26999","1","赤ちゃん"
"6","0","26999","1","ベイビー"
"7","0","26999","1","小物"
"8","0","26999","1","へっぽこ"
"9","0","26999","1","素人"
"10","27000","33999","1","小魚"
"11","27000","33999","1","初心者"
"12","27000","33999","3","エンジョイランナー"
"13","27000","33999","1","若輩者"
"14","27000","33999","1","ルーキー"
"15","27000","33999","1","ガール"
"16","27000","33999","1","注目株"
"17","27000","33999","1","原石"
"18","27000","33999","2","ニューホープ"
"19","34000","50399","1","探究者"
"20","34000","50399","1","暴れん坊"
"21","34000","50399","1","申し子"
"22","34000","50399","1","奇才"
"23","34000","50399","1","大物"
"24","34000","50399","1","麒麟児"
"25","34000","50399","1","ホープ"
"26","34000","50399","1","新星"
"27","34000","50399","1","逸材"
"28","50400","59999","1","マーメイド"
"29","50400","59999","1","先輩"
"30","50400","59999","1","中級者"
"31","50400","59999","3","ビーチフラッガー"
"32","50400","59999","1","魚"
"33","50400","59999","1","チーフ"
"34","50400","59999","1","キャプテン"
"35","50400","59999","1","一人前"
"36","50400","59999","1","セミプロ"
"37","50400","59999","1","大型新人"
"38","60000","69999","1","流れ星"
"39","60000","69999","1","先生"
"40","60000","69999","1","ドルフィン"
"41","60000","69999","1","職人"
"42","60000","69999","1","レーサー"
"43","60000","69999","1","トゥンヌス"
"44","60000","69999","1","中の中"
"45","60000","69999","2","ビッグネーム"
"46","60000","69999","1","異才"
"47","60000","69999","1","エリート"
"48","60000","69999","1","仕事人"
"49","60000","69999","1","玄人"
"50","70000","83999","1","オルカ"
"51","70000","83999","1","名人"
"52","70000","83999","1","魔術師"
"53","70000","83999","1","師匠"
"54","70000","83999","1","サブマリン"
"55","70000","83999","2","スプリンター"
"56","70000","83999","1","名手"
"57","70000","83999","2","エースランナー"
"58","70000","83999","1","プロ"
"59","70000","83999","1","看板選手"
"60","70000","83999","1","第一人者"
"61","70000","83999","1","ドン"
"62","84000","99999","2","スピードスター"
"63","84000","99999","1","豪傑"
"64","84000","99999","1","プリンセス"
"65","84000","99999","1","女神"
"66","84000","99999","1","マスター"
"67","84000","99999","2","ナンバーワン"
"68","84000","99999","1","寵児"
"69","84000","99999","3","ワイルドグリフォン"
"70","84000","99999","1","ワイバーン"
"71","84000","99999","2","エキスパート"
"72","84000","99999","2","トップランナー"
"73","100000","119999","1","韋駄天"
"74","100000","119999","1","クイーン"
"75","100000","119999","2","チャンピオン"
"76","100000","119999","2","天才ランナー"
"77","100000","119999","3","レコードホルダー"
"78","100000","119999","1","極致"
"79","100000","119999","2","ネプテリオン"
"80","100000","119999","2","シードレイク"
"81","100000","119999","1","女傑"
"82","100000","119999","1","革命家"
"83","100000","119999","2","ビッグスター"
"84","120000","999999","2","ファンタジスタ"
"85","120000","999999","2","スーパースター"
"86","120000","999999","3","ワールドチャンプ"
"87","120000","999999","1","レジェンド"
"88","120000","999999","1","超人"
"89","120000","999999","1","トルペドン"
"90","120000","999999","1","カルキノス"
"91","120000","999999","2","アクアリオス"
"92","120000","999999","1","至宝"
"93","120000","999999","3","グランドマスター"
"94","120000","999999","1","英雄"
"95","120000","999999","1","天下取り"
