8fd30c3a32f5661c3d5093d4b9bc494ae2ca3f2c4c728e9134517f573af7ce89,e1c4450a69229507a0ef866f508e0400328edb6a4c69f3fe83ae713dcc56dc96,6d358a4f5224a827831dac7e4214197a2e55eb2450a6f227563e627cde8af1a9,9cbf96b29d9421bcfe5a4b4b18e427446252100d457b93651eaf07adb7957c8d,0c498e90b0d5c4d13f0621b4cc71e0e7e5b9e63d396ed4ad73506d35ea46e6ca,91ac056b8d1af82333ee0c17e45f1ad5407bb85e7e444b7e436499b5b35eacce,44f8c6d0f6ae8d2b7fc0643db5c4ff56b9c8dc2723e3206994879148ca73ed61,5715b300989ad23dbbd77af7ec710eedaa133cd98c1b74173d45c83851e6c579,6fa5880f6a0e3d9d83d55638a620b0bdf45df23b35c5121cb001b6bb323434ed
"1","320010106","0","1","43.5","1","11","502001102","0.7"
"3","320010106","0","2","13","2","67","502001103","0.65"
"2","320010106","0","3","-74","3","49","0","0.65"
"1","320010107","0","1","-49","4","13","502001108","0.7"
"3","320010107","0","2","-4","5","62","502001109","0.85"
"2","320010107","0","3","59","6","50","0","0.65"
"1","320010108","0","1","0","7","-10","0","1.05"
"1","320010109","0","1","-15","8","-10","0","1.05"
"1","320010110","0","1","-85","9","-45","0","0.43"
"2","320010110","0","2","85","10","-45","0","0.43"
"1","320010206","0","1","43.5","11","11","502001202","0.7"
"3","320010206","0","2","13","12","67","502001203","0.65"
"2","320010206","0","3","-74","13","49","0","0.65"
"1","320010207","0","1","-49","14","13","502001208","0.7"
"3","320010207","0","2","-4","15","62","502001209","0.85"
"2","320010207","0","3","59","16","50","0","0.65"
"1","320010208","0","1","0","17","-10","0","1.05"
"1","320010209","0","1","-15","18","-10","0","1.05"
"1","320010210","0","1","-85","19","-45","0","0.43"
"2","320010210","0","2","85","20","-45","0","0.43"
"1","320010306","0","1","43.5","21","11","502001302","0.7"
"3","320010306","0","2","13","22","67","502001303","0.65"
"2","320010306","0","3","-74","23","49","0","0.65"
"1","320010307","0","1","-49","24","13","502001308","0.7"
"3","320010307","0","2","-4","25","62","502001309","0.85"
"2","320010307","0","3","59","26","50","0","0.65"
"1","320010308","0","1","0","27","-10","0","1.05"
"1","320010309","0","1","-15","28","-10","0","1.05"
"1","320010310","0","1","-85","29","-45","0","0.43"
"2","320010310","0","2","85","30","-45","0","0.43"
"1","320010406","0","1","43.5","31","11","502001402","0.7"
"3","320010406","0","2","13","32","67","502001403","0.65"
"2","320010406","0","3","-74","33","49","0","0.65"
"1","320010407","0","1","-49","34","13","502001408","0.7"
"3","320010407","0","2","-4","35","62","502001409","0.85"
"2","320010407","0","3","59","36","50","0","0.65"
"1","320010408","0","1","0","37","-10","0","1.05"
"1","320010409","0","1","-15","38","-10","0","1.05"
"1","320010410","0","1","-85","39","-45","0","0.43"
"2","320010410","0","2","85","40","-45","0","0.43"
"1","320010506","0","1","43.5","41","11","502001502","0.7"
"3","320010506","0","2","13","42","67","502001503","0.65"
"2","320010506","0","3","-74","43","49","0","0.65"
"1","320010507","0","1","-49","44","13","502001508","0.7"
"3","320010507","0","2","-4","45","62","502001509","0.85"
"2","320010507","0","3","59","46","50","0","0.65"
"1","320010508","0","1","0","47","-10","0","1.05"
"1","320010509","0","1","-15","48","-10","0","1.05"
"1","320010510","0","1","-85","49","-45","0","0.43"
"2","320010510","0","2","85","50","-45","0","0.43"
"1","320020106","0","1","43.5","51","11","502002102","0.7"
"3","320020106","0","2","13","52","67","502002103","0.65"
"2","320020106","0","3","-74","53","49","0","0.65"
"1","320020107","0","1","-49","54","13","502002108","0.7"
"3","320020107","0","2","-4","55","62","502002109","0.85"
"2","320020107","0","3","59","56","50","0","0.65"
"1","320020108","0","1","0","57","-10","0","1.05"
"1","320020109","0","1","-15","58","-10","0","1.05"
"1","320020110","0","1","-85","59","-45","0","0.43"
"2","320020110","0","2","85","60","-45","0","0.43"
"1","320020206","0","1","43.5","61","11","502002202","0.7"
"3","320020206","0","2","13","62","67","502002203","0.65"
"2","320020206","0","3","-74","63","49","0","0.65"
"1","320020207","0","1","-49","64","13","502002208","0.7"
"3","320020207","0","2","-4","65","62","502002209","0.85"
"2","320020207","0","3","59","66","50","0","0.65"
"1","320020208","0","1","0","67","-10","0","1.05"
"1","320020209","0","1","-15","68","-10","0","1.05"
"1","320020210","0","1","-85","69","-45","0","0.43"
"2","320020210","0","2","85","70","-45","0","0.43"
"1","320020306","0","1","43.5","71","11","502002302","0.7"
"3","320020306","0","2","13","72","67","502002303","0.65"
"2","320020306","0","3","-74","73","49","0","0.65"
"1","320020307","0","1","-49","74","13","502002308","0.7"
"3","320020307","0","2","-4","75","62","502002309","0.85"
"2","320020307","0","3","59","76","50","0","0.65"
"1","320020308","0","1","0","77","-10","0","1.05"
"1","320020309","0","1","-15","78","-10","0","1.05"
"1","320020310","0","1","-85","79","-45","0","0.43"
"2","320020310","0","2","85","80","-45","0","0.43"
"1","320020406","0","1","43.5","81","11","502002402","0.7"
"3","320020406","0","2","13","82","67","502002403","0.65"
"2","320020406","0","3","-74","83","49","0","0.65"
"1","320020407","0","1","-49","84","13","502002408","0.7"
"3","320020407","0","2","-4","85","62","502002409","0.85"
"2","320020407","0","3","59","86","50","0","0.65"
"1","320020408","0","1","0","87","-10","0","1.05"
"1","320020409","0","1","-15","88","-10","0","1.05"
"1","320020410","0","1","-85","89","-45","0","0.43"
"2","320020410","0","2","85","90","-45","0","0.43"
"1","320020506","0","1","43.5","91","11","502002502","0.7"
"3","320020506","0","2","13","92","67","502002503","0.65"
"2","320020506","0","3","-74","93","49","0","0.65"
"1","320020507","0","1","-49","94","13","502002508","0.7"
"3","320020507","0","2","-4","95","62","502002509","0.85"
"2","320020507","0","3","59","96","50","0","0.65"
"1","320020508","0","1","0","97","-10","0","1.05"
"1","320020509","0","1","-15","98","-10","0","1.05"
"1","320020510","0","1","-85","99","-45","0","0.43"
"2","320020510","0","2","85","100","-45","0","0.43"
"1","320030106","0","1","43.5","101","11","502003102","0.7"
"2","320030106","0","2","13","102","67","502003103","0.65"
"3","320030106","0","3","-74","103","49","0","0.65"
"1","320030107","0","1","-49","104","13","502003108","0.7"
"3","320030107","0","2","-4","105","62","502003109","0.85"
"2","320030107","0","3","59","106","50","0","0.65"
"1","320030108","0","1","0","107","-10","0","1.05"
"1","320030109","0","1","-15","108","-10","0","1.05"
"1","320030110","0","1","-85","109","-45","0","0.43"
"2","320030110","0","2","85","110","-45","0","0.43"
"1","320030206","0","1","43.5","111","11","502003202","0.7"
"2","320030206","0","2","13","112","67","502003203","0.65"
"3","320030206","0","3","-74","113","49","0","0.65"
"1","320030207","0","1","-49","114","13","502003208","0.7"
"3","320030207","0","2","-4","115","62","502003209","0.85"
"2","320030207","0","3","59","116","50","0","0.65"
"1","320030208","0","1","0","117","-10","0","1.05"
"1","320030209","0","1","-15","118","-10","0","1.05"
"1","320030210","0","1","-85","119","-45","0","0.43"
"2","320030210","0","2","85","120","-45","0","0.43"
"1","320030306","0","1","43.5","121","11","502003302","0.7"
"2","320030306","0","2","13","122","67","502003303","0.65"
"3","320030306","0","3","-74","123","49","0","0.65"
"1","320030307","0","1","-49","124","13","502003308","0.7"
"3","320030307","0","2","-4","125","62","502003309","0.85"
"2","320030307","0","3","59","126","50","0","0.65"
"1","320030308","0","1","0","127","-10","0","1.05"
"1","320030309","0","1","-15","128","-10","0","1.05"
"1","320030310","0","1","-85","129","-45","0","0.43"
"2","320030310","0","2","85","130","-45","0","0.43"
"1","320030406","0","1","43.5","131","11","502003402","0.7"
"2","320030406","0","2","13","132","67","502003403","0.65"
"3","320030406","0","3","-74","133","49","0","0.65"
"1","320030407","0","1","-49","134","13","502003408","0.7"
"3","320030407","0","2","-4","135","62","502003409","0.85"
"2","320030407","0","3","59","136","50","0","0.65"
"1","320030408","0","1","0","137","-10","0","1.05"
"1","320030409","0","1","-15","138","-10","0","1.05"
"1","320030410","0","1","-85","139","-45","0","0.43"
"2","320030410","0","2","85","140","-45","0","0.43"
"1","320030506","0","1","43.5","141","11","502003502","0.7"
"2","320030506","0","2","13","142","67","502003503","0.65"
"3","320030506","0","3","-74","143","49","0","0.65"
"1","320030507","0","1","-49","144","13","502003508","0.7"
"3","320030507","0","2","-4","145","62","502003509","0.85"
"2","320030507","0","3","59","146","50","0","0.65"
"1","320030508","0","1","0","147","-10","0","1.05"
"1","320030509","0","1","-15","148","-10","0","1.05"
"1","320030510","0","1","-85","149","-45","0","0.43"
"2","320030510","0","2","85","150","-45","0","0.43"
"1","320040106","0","1","-74","151","49","502004103","0.7"
"3","320040106","0","2","13","152","67","502004104","0.85"
"2","320040106","0","3","43.5","153","11","0","0.65"
"1","320040107","0","1","59","154","50","502004107","0.7"
"3","320040107","0","2","-4","155","62","502004109","0.85"
"2","320040107","0","3","-49","156","13","0","0.65"
"1","320040108","0","1","0","157","-10","0","0.8"
"1","320040109","0","1","30","158","20","0","0.9"
"1","320040110","0","1","20","159","-25","0","1"
"1","320040206","0","1","-74","160","49","502004203","0.7"
"3","320040206","0","2","13","161","67","502004204","0.85"
"2","320040206","0","3","43.5","162","11","0","0.65"
"1","320040207","0","1","59","163","50","502004207","0.7"
"3","320040207","0","2","-4","164","62","502004209","0.85"
"2","320040207","0","3","-49","165","13","0","0.65"
"1","320040208","0","1","0","166","-10","0","0.8"
"1","320040209","0","1","30","167","20","0","0.9"
"1","320040210","0","1","20","168","-25","0","1"
"1","320040306","0","1","-74","169","49","502004303","0.7"
"3","320040306","0","2","13","170","67","502004304","0.85"
"2","320040306","0","3","43.5","171","11","0","0.65"
"1","320040307","0","1","59","172","50","502004307","0.7"
"3","320040307","0","2","-4","173","62","502004309","0.85"
"2","320040307","0","3","-49","174","13","0","0.65"
"1","320040308","0","1","0","175","-10","0","0.8"
"1","320040309","0","1","30","176","20","0","0.9"
"1","320040310","0","1","20","177","-25","0","1"
"1","320040406","0","1","-74","178","49","502004403","0.7"
"3","320040406","0","2","13","179","67","502004404","0.85"
"2","320040406","0","3","43.5","180","11","0","0.65"
"1","320040407","0","1","59","181","50","502004407","0.7"
"3","320040407","0","2","-4","182","62","502004409","0.85"
"2","320040407","0","3","-49","183","13","0","0.65"
"1","320040408","0","1","0","184","-10","0","0.8"
"1","320040409","0","1","30","185","20","0","0.9"
"1","320040410","0","1","20","186","-25","0","1"
"1","320040506","0","1","-74","187","49","502004503","0.7"
"3","320040506","0","2","13","188","67","502004504","0.85"
"2","320040506","0","3","43.5","189","11","0","0.65"
"1","320040507","0","1","59","190","50","502004507","0.7"
"3","320040507","0","2","-4","191","62","502004509","0.85"
"2","320040507","0","3","-49","192","13","0","0.65"
"1","320040508","0","1","0","193","-10","0","0.8"
"1","320040509","0","1","30","194","20","0","0.9"
"1","320040510","0","1","20","195","-25","0","1"
"2","320050106","0","1","-74","196","40","502005101","0.7"
"3","320050106","0","2","13","197","67","502005103","1"
"1","320050106","0","3","43.5","198","11","0","0.65"
"2","320050107","0","1","59","199","50","502005106","0.7"
"3","320050107","0","2","30","200","62","502005108","0.9"
"1","320050107","0","3","-49","201","13","0","0.65"
"1","320050108","0","1","5","202","10","0","0.75"
"1","320050109","0","1","-10","203","10","0","0.75"
"1","320050110","0","1","20","204","-25","0","1"
"2","320050206","0","1","-74","205","40","502005201","0.7"
"3","320050206","0","2","13","206","67","502005203","1"
"1","320050206","0","3","43.5","207","11","0","0.65"
"2","320050207","0","1","59","208","50","502005206","0.7"
"3","320050207","0","2","30","209","62","502005208","0.9"
"1","320050207","0","3","-49","210","13","0","0.65"
"1","320050208","0","1","5","211","10","0","0.75"
"1","320050209","0","1","-10","212","10","0","0.75"
"1","320050210","0","1","20","213","-25","0","1"
"2","320050306","0","1","-74","214","40","502005301","0.7"
"3","320050306","0","2","13","215","67","502005303","1"
"1","320050306","0","3","43.5","216","11","0","0.65"
"2","320050307","0","1","59","217","50","502005306","0.7"
"3","320050307","0","2","30","218","62","502005308","0.9"
"1","320050307","0","3","-49","219","13","0","0.65"
"1","320050308","0","1","5","220","10","0","0.75"
