4b98ca8ccb16a9b1ec95093541e8b37db74cb1bc8a8b6b4415b4d088d709bf4d,615a03e16d38f9947d0c008b2cf60c744836307e14ec9d96580306d311b146aa,05732990bd38a08f1703728e3b96a5aa45af26629804eff727ad53c4ca0f4d59,366f17c5cbd4f60d9c20294ffc289a3dea8acc03ae04cfcb878c729061b7e0ac,28dddd32dfef2d2fa64bcc80ebe93eba225723e09ce854ccaa6b16d8ebc8e2eb,31e42ffa98ceba2536748c2dcb058511ace7d568abb743a3f3da6b482c5542e6,0234858eb1819b239837db3d364f7fe77abb3ce88bdaaef620507f0929cf1fdf,68be1e91f2d4492c21dba8406843c345df7612c9c1e8b144c16010a7bb46ceb6,55546d35a340d5790ef7910e23a457ffc6ed99feb2ab0890a29eb6996ac34c97,1037452de90632ffdda0220c3d8776ed4454c1e101917b5bb0f230c24cfd21af,a8f63d4fd5212cec2ff97f6b31123e766b699587480e5a31e54add26d11e9a56,c395e84ad206afc9a757dab1e43a7e305de7248016570f62185953d120576955,a1db599b033e264b2e2f0c7915092bf37eb88ee62e753ffa944a5d17f0c4fef4
"60001","0","0","0","60002","0","31012","0","0","0","10001","0","31038"
"60011","0","0","0","60012","0","31020","0","0","0","10002","0","31004"
"60021","0","0","0","60022","0","31010","0","0","0","10003","0","31017"
"60031","0","0","0","60032","0","31076","0","0","0","10004","0","31028"
"60041","0","0","0","60042","0","31080","0","0","0","10005","0","31032"
"60051","0","0","0","60052","0","31047","0","0","0","10006","0","31034"
"60061","0","0","0","60062","0","31082","0","0","0","10007","0","31022"
"60071","0","0","0","60072","0","31009","0","0","0","10008","0","31051"
"60081","0","0","0","60082","0","31085","0","0","0","10009","0","31029"
"60091","0","0","0","60092","0","31089","0","0","0","10010","0","31002"
"60101","0","0","0","60102","0","31090","0","0","0","10011","0","31011"
"60111","0","0","0","60112","0","31043","0","0","0","10012","0","31008"
"60121","0","0","0","60122","0","31093","0","0","0","10013","0","31018"
"60131","0","0","0","60132","0","31012","0","0","0","10014","0","31038"
"60141","0","0","0","60142","0","31053","0","0","0","10015","0","31045"
"60151","0","0","0","60152","0","31020","0","0","0","10016","0","31004"
"60161","0","0","0","60162","0","31098","0","0","0","10017","0","31025"
"60171","0","0","0","60172","0","31010","0","0","0","10018","0","31017"
"60181","0","0","0","60182","0","31101","0","0","0","10019","0","31050"
"60191","0","0","0","60192","0","31076","0","0","0","10020","0","31028"
"60201","0","0","0","60202","0","31105","0","0","0","10021","0","31014"
"60211","0","0","0","60212","0","31080","0","0","0","10022","0","31032"
"60221","0","0","0","60222","0","31056","0","0","0","10023","0","31040"
"60231","0","0","0","60232","0","31047","0","0","0","10024","0","31034"
"60241","0","0","0","60242","0","31112","0","0","0","10025","0","31036"
"60251","0","0","0","60252","0","31082","0","0","0","10026","0","31022"
