7f1e6b88702774ed55e9d5723e7e6b7fe41cbb8c53b182d7ae7308f52b06a571,3019e140ed73accd62fef733199e49e350cf1846a30e2e148e7844a398616ec4,c3c47647f1cf531f2b7b19cc0bebeeb32a7f78dc86a615d1316daf8a8248921e,e70bede6e9993c6445cfc3ce330affc102f09c6e769a43d3dfc92b632fa422ee,461614d9e3c64d3b38506db660a62b09fde8012f4d5ad28bef54d0e7c2b225b0,37cb4dbe095f2347679df1140b963cc51a23eb76e151ca38713eb8be87b97c64
"5201009","2","2","0","10201","102010201"
"5201010","2","3","0","10201","102010202"
"0","3","502510","0","10201","102010301"
"0","2","501220","0","10202","102020201"
"0","3","501201","0","10202","102020301"
"0","2","500801","0","10203","102030201"
"0","3","500031","0","10203","102030301"
"0","2","502360","0","10204","102040201"
"0","3","500030","0","10204","102040301"
"0","2","502170","0","10205","102050201"
"0","3","502080","0","10205","102050301"
"0","2","501030","0","10206","102060201"
"0","3","500160","0","10206","102060301"
"0","2","500690","0","10207","102070201"
"0","3","500163","0","10207","102070301"
"0","3","532300","0","10208","102080201"
"0","2","502460","0","10209","102090201"
"0","3","502290","0","10209","102090301"
"0","3","502080","0","10210","102100201"
"0","2","501460","0","10211","102110201"
"0","3","500037","0","10211","102110301"
"0","2","500341","0","10212","102120201"
"0","3","501470","0","10212","102120301"
"5213006","1","2","0","10213","102130102"
"5213010","1","3","0","10213","102130103"
"5213013","1","4","0","10213","102130104"
"0","3","502790","0","10213","102130301"
