2ff92bbe8757649f1a2c61478fc2f0621f8b7695fad4a720aaf50224b2b11955,41068b543b6bb41d1995e20cf6157081c80195845746aaba8acd90e958e1a3ac,8aa2c5ca3460a24e8ce2a441ff2bf5b2e7b053acfa547198925c7c4e5174f51a,aa7c335a0511b731a072cb6764dda79fea6ab4452b671eea0609b0e49c40d8b8,71c627686205b4518a479d41411b4567b67ff1c1ab2767dbdb1094d1e83ca27e,d74d701a590ecc9564bf6caf51e4d65e76e9bcc1f911e7052f443e6631d3ccf7,ded4656c73d046638cdf4ada5441c99fd274412dd2a6f3ba7698af85e473b21a,35b15270793165c4be9b05df469ee4ab53511a9303c6752651e09375ab4996a0,e2115d6550ac50d9d35df90f30487c6bfa848125e9862611ef66fd9307833131
"1","1","10","12000","90001","0","90043","10000","30000"
"2","2","20","24000","90002","0","90047","10000","30000"
"3","3","20","24000","90002","0","90047","10000","30000"
"4","4","20","24000","90002","0","90047","10000","30000"
"5","5","20","24000","90002","0","90047","10000","30000"
"6","6","20","24000","90002","0","90047","10000","30000"
"7","7","20","24000","90002","0","90047","10000","30000"
"8","8","20","24000","90002","0","90047","10000","30000"
"9","9","20","24000","90002","0","90047","10000","30000"
"10","10","20","24000","90002","0","90047","10000","30000"
"11","11","40","48000","90003","90011","90051","10000","30000"
"12","12","40","48000","90003","90011","90051","10000","30000"
"13","13","40","48000","90003","90011","90051","10000","30000"
"14","14","40","48000","90003","90011","90051","10000","30000"
"15","15","40","48000","90003","90011","90051","10000","30000"
"16","16","40","48000","90003","90011","90051","10000","30000"
"17","17","40","48000","90003","90011","90051","10000","30000"
"18","18","40","48000","90003","90011","90051","10000","30000"
"19","19","40","48000","90003","90011","90051","10000","30000"
"20","20","40","48000","90003","90011","90051","10000","30000"
"21","21","60","72000","90004","90015","90055","10000","30000"
"22","22","60","72000","90004","90015","90055","10000","30000"
"23","23","60","72000","90004","90015","90055","10000","30000"
"24","24","60","72000","90004","90015","90055","10000","30000"
"25","25","60","72000","90004","90015","90055","10000","30000"
"26","26","60","72000","90004","90015","90055","10000","30000"
"27","27","60","72000","90004","90015","90055","10000","30000"
"28","28","60","72000","90004","90015","90055","10000","30000"
"29","29","60","72000","90004","90015","90055","10000","30000"
"30","30","60","72000","90004","90015","90055","10000","30000"
"31","31","80","96000","90005","90015","90059","10000","30000"
"32","32","80","96000","90005","90015","90059","10000","30000"
"33","33","80","96000","90005","90015","90059","10000","30000"
"34","34","80","96000","90005","90015","90059","10000","30000"
"35","35","80","96000","90005","90015","90059","10000","30000"
"36","36","80","96000","90005","90015","90059","10000","30000"
"37","37","80","96000","90005","90015","90059","10000","30000"
"38","38","80","96000","90005","90015","90059","10000","30000"
"39","39","80","96000","90005","90015","90059","10000","30000"
"40","40","80","96000","90005","90015","90059","10000","30000"
"41","41","120","144000","90005","90017","90063","10000","30000"
"42","42","120","144000","90005","90017","90063","10000","30000"
"43","43","120","144000","90005","90017","90063","10000","30000"
"44","44","120","144000","90005","90017","90063","10000","30000"
"45","45","120","144000","90005","90017","90063","10000","30000"
"46","46","120","144000","90005","90017","90063","10000","30000"
"47","47","120","144000","90005","90017","90063","10000","30000"
"48","48","120","144000","90005","90017","90063","10000","30000"
"49","49","120","144000","90005","90017","90063","10000","30000"
"50","50","120","144000","90005","90017","90063","10000","30000"
"51","51","150","180000","90006","90019","90067","10000","30000"
"52","52","150","180000","90006","90019","90067","10000","30000"
"53","53","150","180000","90006","90019","90067","10000","30000"
"54","54","150","180000","90006","90019","90067","10000","30000"
"55","55","150","180000","90006","90019","90067","10000","30000"
"56","56","150","180000","90006","90019","90067","10000","30000"
"57","57","150","180000","90006","90019","90067","10000","30000"
"58","58","150","180000","90006","90019","90067","10000","30000"
"59","59","150","180000","90006","90019","90067","10000","30000"
"60","60","150","180000","90006","90019","90067","10000","30000"
"61","61","180","216000","90007","90021","90071","10000","30000"
"62","62","180","216000","90007","90021","90071","10000","30000"
"63","63","180","216000","90007","90021","90071","10000","30000"
"64","64","180","216000","90007","90021","90071","10000","30000"
"65","65","180","216000","90007","90021","90071","10000","30000"
"66","66","180","216000","90007","90021","90071","10000","30000"
"67","67","180","216000","90007","90021","90071","10000","30000"
"68","68","180","216000","90007","90021","90071","10000","30000"
"69","69","180","216000","90007","90021","90071","10000","30000"
"70","70","180","216000","90007","90021","90071","10000","30000"
