89cd2426adf68bb77517f43f8c36e77aa47add7e1c5e4c64869f41d0edbd2aa2,45b5d835d4ecaeca39786fa0a57a038e36575dfbfa7dc3ea046d291877860821,6c9ed6650bbf7bee36ba4c755625e097936a61229291b6e74aadb26c65066ef7
"1","118501","1"
"2","105801","1"
"3","105901","1"
"4","106001","1"
"5","106401","1"
"6","105801","2"
"7","105901","3"
"8","106001","4"
"9","106401","5"
"10","104401","6"
"11","102201","7"
"12","100601","8"
"13","103101","9"
"14","100701","10"
"15","105301","11"
"16","100801","12"
"17","104501","13"
"18","103001","14"
"19","102901","15"
"20","104201","16"
"21","105401","17"
"22","107101","18"
"23","104701","19"
"24","103701","20"
"25","100501","21"
"26","103201","22"
"27","104801","23"
"28","103401","24"
"29","104601","25"
"30","104001","26"
"31","101201","27"
"32","101501","28"
"33","102801","29"
"34","102501","30"
"35","102301","31"
"36","102101","32"
"37","101001","33"
"38","104301","34"
"39","101701","35"
"40","101401","36"
"41","106101","37"
"42","107001","38"
"43","106501","39"
"44","106601","40"
"45","103301","41"
"46","105201","42"
"47","103801","43"
"48","102601","44"
"49","105801","45"
"50","105901","45"
"51","106001","45"
"52","106401","45"
"53","100401","46"
"54","103601","47"
"55","102001","48"
"56","100401","48"
"57","103601","48"
"58","100101","49"
"59","100101","50"
"60","100201","50"
"61","100301","50"
"62","100301","51"
"63","105501","52"
"64","105301","52"
"65","104501","52"
"66","100801","52"
"67","103001","52"
"68","105001","53"
"69","101801","54"
"70","101601","55"
"71","105001","55"
"72","101801","55"
"73","105301","56"
"74","100801","57"
"75","104501","58"
"76","103001","59"
"77","106501","60"
"78","106601","61"
"79","106701","62"
"80","106501","62"
"81","106601","62"
"82","106001","63"
"83","105901","64"
"84","106401","65"
"85","100401","66"
"86","103601","67"
"87","101801","68"
"88","105001","69"
"89","105301","70"
"90","100801","71"
"91","104501","72"
"92","103001","73"
"93","100101","74"
"94","100301","75"
"95","105801","76"
"96","106001","77"
"97","106401","78"
"98","100701","79"
"99","104401","80"
"100","103101","80"
"101","100701","80"
"102","102201","80"
"103","100601","80"
"104","103101","81"
"105","102801","82"
"106","102501","83"
"107","102101","84"
"108","102301","85"
"109","102101","85"
"110","102801","85"
"111","102501","85"
"112","105901","86"
"113","106401","86"
"114","106001","86"
"115","105801","86"
"116","106401","87"
"117","106001","88"
"118","105801","89"
"119","103101","90"
"120","100701","91"
"121","104401","92"
"122","102801","93"
"123","102501","94"
"124","102101","95"
"125","102301","96"
"126","106401","97"
"127","106001","98"
"128","105901","99"
"129","105801","100"
"130","104401","101"
"131","103101","102"
"132","100701","103"
"133","102801","104"
"134","102101","105"
"135","102301","106"
"136","105401","107"
"137","102901","108"
"138","104201","109"
"139","105401","109"
"140","102901","109"
"141","101201","110"
"142","101501","111"
"143","104001","112"
"144","101201","112"
"145","101501","112"
"146","102501","113"
"147","102301","114"
"148","102101","115"
"149","102301","115"
"150","102501","115"
"151","102801","115"
"152","102801","116"
"153","105801","117"
"154","105901","118"
"155","106001","119"
"156","106401","120"
"157","106601","121"
"158","106701","122"
"159","106301","123"
"160","118501","123"
"161","102901","124"
"162","104201","125"
"163","105401","126"
"164","102801","127"
"165","102501","128"
"166","102301","129"
"167","102101","130"
"168","106501","131"
"169","106601","131"
"170","106701","131"
"171","106601","132"
"172","106701","133"
"173","101501","134"
"174","101201","135"
"175","104001","136"
"176","105601","137"
"177","105101","138"
"178","102701","139"
"179","101301","140"
"180","100901","141"
"181","105601","141"
"182","105101","141"
"183","102701","141"
"184","101301","141"
"185","101001","142"
"186","101701","143"
"187","101001","143"
"188","104301","143"
"189","101401","143"
"190","104301","144"
"191","101401","145"
"192","100901","146"
"193","105601","147"
"194","100901","147"
"195","105101","147"
"196","102701","147"
"197","101301","147"
"198","101301","148"
"199","102701","149"
"200","104901","150"
"201","103001","151"
"202","106801","152"
"203","104501","153"
"204","105301","154"
"205","101001","155"
"206","104301","156"
"207","101701","157"
"208","101401","158"
"209","104901","159"
"210","101101","160"
"211","106801","161"
"212","104901","161"
"213","101101","161"
"214","103001","162"
