bc1062cdea1e4a44df620093d2827f941c8354a9b013d4108b1e53906c934913,938f146b2a01e2b426e4445f0885f6ba26496d9f65571c6cb27c42bdb353bbb6,a14d36e984df0dade688e72f68f67f680a990156cc976e3e5c153f3bae411d6b
"6","エレクトロ・ギガス","32001"
"7","壊乱の黒鎧騎士","32001"
"8","ライライ","32001"
"9","ニードルクリーパー","32001"
"10","白陽・黒月の守護像","32001"
"6","エレクトロ・ギガス","32002"
"7","壊乱の黒鎧騎士","32002"
"8","ライライ","32002"
"9","ニードルクリーパー","32002"
"10","白陽・黒月の守護像","32002"
"6","ハイ・ガルグ","32003"
"7","カース・オラム","32003"
"8","ワイルドグリフォン","32003"
"9","ジャッカルシーフ","32003"
"10","黒月・白陽の守護像","32003"
"6","マスター・ウキキー","32004"
"7","キリングオルカ","32004"
"8","ランドスロース","32004"
"9","マッドベア","32004"
"10","ラースドラゴン","32004"
"6","イワノヅチ","32005"
"7","水瑚麟","32005"
"8","ワイバーン","32005"
"9","マダムプリズム","32005"
"10","ラースドラゴン","32005"
"6","ロード・イビリィ","32006"
"7","紅極鳥","32006"
"8","ライライ","32006"
"9","オークチーフ","32006"
"10","ラースドラゴン","32006"
"6","エレクトロ・ギガス","32007"
"7","クリスタルゴーレム","32007"
"8","ランドスロース","32007"
"9","ソードコブラ","32007"
"10","アルティマガーディアン","32007"
"6","マスター・ウキキー","32008"
"7","カース・オラム","32008"
"8","ゴブリンライダー","32008"
"9","ライデン","32008"
"10","アルティマガーディアン","32008"
"6","イワノヅチ","32009"
"7","紅極鳥","32009"
"8","ワイバーン","32009"
"9","トライロッカー","32009"
"10","アルティマガーディアン","32009"
"6","マスター・ウキキー","32010"
"7","ゴブリンメイスター","32010"
"8","フロストハウンド","32010"
"9","スカイワルキューレ","32010"
"10","ゴブリンロード","32010"
"6","壊乱の黒鎧騎士","32011"
"7","オクタスキッド","32011"
"8","ゴブリングレート","32011"
"9","ティタノタートル","32011"
"10","ゴブリンロード","32011"
"6","ハイ・ガルグ","32012"
"7","カース・オラム","32012"
"8","ワイルドグリフォン","32012"
"9","オブシダンワイバーン","32012"
"10","ゴブリンロード","32012"
"6","エレクトロ・ギガス","32013"
"7","クリスタルゴーレム","32013"
"8","タフガイスト","32013"
"9","フラワーシュバリエ","32013"
"10","ゴブリンロード","32013"
"6","マスター・ウキキー","32014"
"7","紅極鳥","32014"
"8","ライライ","32014"
"9","ソードコブラ","32014"
"10","ゴブリンロード","32014"
"6","ハイ・ガルグ","32015"
"7","オクタスキッド","32015"
"8","フロストハウンド","32015"
"9","オブシダンワイバーン","32015"
"10","黒月・白陽の守護像","32015"
"6","エレクトロ・ギガス","32016"
"7","カース・オラム","32016"
"8","グレーターゴーレム","32016"
"9","レインスピリット","32016"
"10","黒月・白陽の守護像","32016"
"6","ロード・イビリィ","32017"
"7","クリスタルゴーレム","32017"
"8","ゴブリンライダー","32017"
"9","バジリスク・アロス","32017"
"10","黒月・白陽の守護像","32017"
