2fea794c07fbc38d483c595dc5114b1716d544dcef1c9fd0a9f02f389c8d7558,fc02d1e79740c4f6b52e35ac1b6df6efe90d0fdf4e5e453418a12c8d9ff342e6,68921f52cad70d1c9214a0fe596b7d7cfb2e0125b4c9ed861c81be04ab2bccf9,84d50e2944e64b09594484a49c17cf4fc437906554b1ef72a263a8195a14aac0,5c3f52a567a68a508511bf29820ee2f62543980711170b88f84eefb26e97e385,da0aa97d5c1631af6858cf7d4cdc95208487bb5d824b55ef95f57c4e961cafb8,6b0f8c1c7fb1dc68e132a904239e9dee6142c15e426649f751f5bc811dec7672,55a42944972569c0e1ec243d7c82562e1250897d2395e7459f88a806f8582cc1,7875f604955f619e819e218b0a4f382533ff6b03f70953d5d3529063b779af18,605f15dbbc5e6896bf8ca50e7262cafdf362af5976a4aa786082523aca24ecf5
"10000","1","1","3","20","100","0","1","1","パーツを20個獲得しよう"
"10001","2","1","3","25","100","0","1","2","パーツを25個獲得しよう"
"10002","3","1","3","30","100","0","1","2","パーツを30個獲得しよう"
"10003","4","1","3","35","100","0","1","3","パーツを35個獲得しよう"
"10004","5","1","3","40","100","0","1","3","パーツを40個獲得しよう"
"10005","6","1","3","45","100","0","1","4","パーツを45個獲得しよう"
"10006","7","1","3","50","100","0","1","4","パーツを50個獲得しよう"
"20000","101","1","2","1500","101","0","2","3","総戦力を1500以上にしよう"
"20001","102","1","2","2000","101","0","2","3","総戦力を2000以上にしよう"
"20002","103","1","2","2500","101","0","2","3","総戦力を2500以上にしよう"
"20003","104","1","2","3000","101","0","2","3","総戦力を3000以上にしよう"
"20004","105","1","2","3500","101","0","2","3","総戦力を3500以上にしよう"
"20005","106","1","2","4000","101","0","2","4","総戦力を4000以上にしよう"
"20006","107","1","2","4500","101","0","2","4","総戦力を4500以上にしよう"
"20007","108","1","2","5000","101","0","2","4","総戦力を5000以上にしよう"
"20008","109","1","2","6000","101","0","2","4","総戦力を6000以上にしよう"
"20009","110","1","2","7000","101","0","2","4","総戦力を7000以上にしよう"
"20010","111","1","2","8000","101","0","2","5","総戦力を8000以上にしよう"
"20011","112","1","2","9000","101","0","2","5","総戦力を9000以上にしよう"
"20012","600","1","2","10000","101","0","2","5","総戦力を10000以上にしよう"
"30000","201","2","4","100","200","0","3","2","バトルポイントを累計100pt獲得しよう"
"30001","202","2","4","200","200","0","3","2","バトルポイントを累計200pt獲得しよう"
"30002","203","2","4","300","200","0","3","2","バトルポイントを累計300pt獲得しよう"
"30003","204","2","4","400","200","0","3","2","バトルポイントを累計400pt獲得しよう"
"30004","205","2","4","500","200","0","3","2","バトルポイントを累計500pt獲得しよう"
"30005","206","2","4","600","200","0","3","3","バトルポイントを累計600pt獲得しよう"
"30006","207","2","4","700","200","0","3","3","バトルポイントを累計700pt獲得しよう"
"30007","208","2","4","800","200","0","3","3","バトルポイントを累計800pt獲得しよう"
"30008","209","2","4","900","200","0","3","3","バトルポイントを累計900pt獲得しよう"
"30009","210","2","4","1000","200","0","3","3","バトルポイントを累計1000pt獲得しよう"
"50000","401","4","1","5","400","0","5","7","フブキから5個パーツを獲得しよう"
"50001","402","4","1","10","400","0","5","7","フブキから10個パーツを獲得しよう"
"50002","403","4","1","15","400","0","5","7","フブキから15個パーツを獲得しよう"
"50003","404","4","1","20","400","0","5","7","フブキから20個パーツを獲得しよう"
"50004","405","4","1","25","400","0","5","7","フブキから25個パーツを獲得しよう"
"50005","406","4","1","30","400","0","5","7","フブキから30個パーツを獲得しよう"
"50006","407","4","1","35","400","0","5","7","フブキから35個パーツを獲得しよう"
"50007","408","4","1","40","400","0","5","7","フブキから40個パーツを獲得しよう"
"50008","409","4","1","45","400","0","5","7","フブキから45個パーツを獲得しよう"
"50009","700","4","1","50","400","0","5","6","フブキから50個パーツを獲得しよう"
"60000","999","2","4","800","209","30009","6","7","バトルポイントを800pt獲得しよう（何度でも）"
"70000","799","3","3","14","300","0","7","6","ステージ14をクリアしよう"
"70001","800","3","3","50","301","0","7","8","ステージ50をクリアしよう"
