06f16b85ebd2fe46de8115f9f6f61e67b9549a8fc89ba1fb5688247793d56c15,9558e3162e6d92681bd5cf5f1a3d4cae42806ea9cf572f942fb1566162415d2c,a47cb456f094a3a7a2ccdd0c7376e65b8024542824b5acfe06dbd064fa2405fc,db93374253269c723a572bc8a8c223a3539dd0fef41d751994676fb779c79822,e0bb8af6771c4764d420e2a9634a3a08e5addb92b5c07d92d8f108a0ba622a17,dafce49a94bd9f2eacaf0991743111558b8a30f13528b946db2418689052aa56,ce780fe590018990df47532e94a15e33fd2f2627aeda1caf12198d5211a6831e,dc16da7176a76bf3ecbdeb8b838dfae0de129af5a9b9ea051b80b1f69c875e14,011ae8b1f08b524e74c644d12148eab53e837718629c878d6dd44e187321a8d0
"53002","1","15","20","15","7","22","10701","1"
"53002","1","14","22","14","7","22","10702","2"
"53002","2","13","24","13","7","22","10703","3"
"53002","2","12","26","12","7","22","10704","4"
"53002","3","11","28","11","7","22","10705","5"
"53002","3","10","30","10","7","22","10706","6"
"53002","4","9","32","9","7","22","10707","7"
"53002","4","8","34","8","7","22","10708","8"
"53002","5","7","36","0","7","22","10709","9"
"53002","1","15","20","15","8","22","10801","1"
"53002","1","14","22","14","8","22","10802","2"
"53002","2","13","24","13","8","22","10803","3"
"53002","2","12","26","12","8","22","10804","4"
"53002","3","11","28","11","8","22","10805","5"
"53002","3","10","30","10","8","22","10806","6"
"53002","4","9","32","9","8","22","10807","7"
"53002","4","8","34","8","8","22","10808","8"
"53002","5","7","36","0","8","22","10809","9"
"53002","1","15","20","15","9","22","10901","1"
"53002","1","14","22","14","9","22","10902","2"
"53002","2","13","24","13","9","22","10903","3"
"53002","2","12","26","12","9","22","10904","4"
"53002","3","11","28","11","9","22","10905","5"
"53002","3","10","30","10","9","22","10906","6"
"53002","4","9","32","9","9","22","10907","7"
"53002","4","8","34","8","9","22","10908","8"
"53002","5","7","36","0","9","22","10909","9"
"53002","1","15","20","15","10","22","11001","1"
"53002","1","14","22","14","10","22","11002","2"
"53002","2","13","24","13","10","22","11003","3"
"53002","2","12","26","12","10","22","11004","4"
"53002","3","11","28","11","10","22","11005","5"
"53002","3","10","30","10","10","22","11006","6"
"53002","4","9","32","9","10","22","11007","7"
"53002","4","8","34","8","10","22","11008","8"
"53002","5","7","36","0","10","22","11009","9"
"53002","1","15","20","15","11","22","11101","1"
"53002","1","14","22","14","11","22","11102","2"
"53002","2","13","24","13","11","22","11103","3"
"53002","2","12","26","12","11","22","11104","4"
"53002","3","11","28","11","11","22","11105","5"
"53002","3","10","30","10","11","22","11106","6"
"53002","4","9","32","9","11","22","11107","7"
"53002","4","8","34","8","11","22","11108","8"
"53002","5","7","36","0","11","22","11109","9"
"53002","1","15","20","15","12","22","11201","1"
"53002","1","14","22","14","12","22","11202","2"
"53002","2","13","24","13","12","22","11203","3"
"53002","2","12","26","12","12","22","11204","4"
"53002","3","11","28","11","12","22","11205","5"
"53002","3","10","30","10","12","22","11206","6"
"53002","4","9","32","9","12","22","11207","7"
"53002","4","8","34","8","12","22","11208","8"
"53002","5","7","36","0","12","22","11209","9"
"53002","1","15","20","15","13","22","11301","1"
"53002","1","14","22","14","13","22","11302","2"
"53002","2","13","24","13","13","22","11303","3"
"53002","2","12","26","12","13","22","11304","4"
"53002","3","11","28","11","13","22","11305","5"
"53002","3","10","30","10","13","22","11306","6"
"53002","4","9","32","9","13","22","11307","7"
"53002","4","8","34","8","13","22","11308","8"
"53002","5","7","36","0","13","22","11309","9"
