a98824249b9ca893f7ae864310fe73aec0903de18125afa61efb22c78cd66697,49e3aa4676b59fb29a79065fc2797becbad56758b494a67cd89074ee93d87abe,ed4b2722d9a8950c81609c4cc723aeb3cfd28f40e5818802742a39ab1bb4b946,98b488d55235180cfcd85d834a211f3baf1d66691f155ed90361630c69f88461,d85d9ff42be71d0bd4efe0531a6c92ffb62aac79b15298793d49b22541d89957,7e07cf072bfe7f558aaf773c1ffa96de5a369a4194b40f81c302cda57b9ae41b,88d433671b5169be8805dc04507f6af843425d99a9a39ea39e6d0d33e4af147c
"1","","1","10008101","10008111","0","0"
"2","","1","10008112","10008115","0","0"
"3","","3","10008101","10008103","0","0"
"4","","3","10008105","10008115","0","0"
"5","","4","10008112","150","0","0"
"6","","1","10028101","10028111","0","0"
"7","","1","10028112","10028115","0","0"
"8","","3","10028101","10028103","0","0"
"9","","3","10028105","10028115","0","0"
"10","","4","10028112","150","0","0"
"11","","11","20012104","20012104","20012107","0"
"12","","11","20012108","20012108","20012109","0"
"13","","11","20012110","20012110","20012114","0"
"14","","11","20012115","20012115","20012115","0"
"15","","4","20012110","120","0","0"
"16","","1","20008101","20008111","0","0"
"17","","1","20008112","20008115","0","0"
"18","","3","20008101","20008103","0","0"
"19","","3","20008105","20008115","0","0"
"20","","4","20008112","150","0","0"
