fe2379a9bbccb481b697cdbb4ca7bab9962dead4c0f115268cec7118d504a216,dc1ba83bd6ee9509f03e1b01d258bea468295ffddefcc167ba8dbabb0db2ca3c,16b36ef7bde8e5b3c8f79e3e5c0bd2858d4d70a0b5f4770933b164515b5ca12d,f61fc9348e48a19504a2eed60251c301085bc6e34241cbfe726380ac7f990b6e,c28a12a35b691d9db2802be9138d75bfbc64b082291c4a13eb77b216633b0d52,bc2822bbe7ca14021134a2b6f890c3a67cdae2996f531667f70c4d7de92b7512,d708baaa74b8ff71ec93bb33c9a7f65591d1ca580ec421faa5c1def8fe2a1bbe,b5ed11b07b7784441cb6782f66bd23f2f9871a17d6f65dbfc2822caa68d65001,e2130a905543538cc2bcde31bf3e0cf59ac00b22b28b241109992c3a638452f1,a54ede96e22b15febe863e4c19b2144a496d0373f6c70ebf259bc6c20964a3b0
"90001","30000","12000","1","0","90043","10000","10","0","1"
"90002","30000","24000","2","0","90047","10000","20","0","2"
"90002","30000","24000","3","0","90047","10000","20","0","3"
"90002","30000","24000","4","0","90047","10000","20","0","4"
"90002","30000","24000","5","0","90047","10000","20","0","5"
"90002","30000","24000","6","0","90047","10000","20","0","6"
"90002","30000","24000","7","0","90047","10000","20","0","7"
"90002","30000","24000","8","0","90047","10000","20","0","8"
"90002","30000","24000","9","0","90047","10000","20","0","9"
"90002","30000","24000","10","1","90047","10000","20","0","10"
"90003","30000","48000","11","2","90051","10000","40","90011","11"
"90003","30000","48000","12","3","90051","10000","40","90011","12"
"90003","30000","48000","13","4","90051","10000","40","90011","13"
"90003","30000","48000","14","5","90051","10000","40","90011","14"
"90003","30000","48000","15","6","90051","10000","40","90011","15"
"90003","30000","48000","16","7","90051","10000","40","90011","16"
"90003","30000","48000","17","8","90051","10000","40","90011","17"
"90003","30000","48000","18","9","90051","10000","40","90011","18"
"90003","30000","48000","19","10","90051","10000","40","90011","19"
"90003","30000","48000","20","11","90051","10000","40","90011","20"
"90004","30000","72000","21","12","90055","10000","60","90015","21"
"90004","30000","72000","22","13","90055","10000","60","90015","22"
"90004","30000","72000","23","14","90055","10000","60","90015","23"
"90004","30000","72000","24","15","90055","10000","60","90015","24"
"90004","30000","72000","25","16","90055","10000","60","90015","25"
"90004","30000","72000","26","17","90055","10000","60","90015","26"
"90004","30000","72000","27","18","90055","10000","60","90015","27"
"90004","30000","72000","28","19","90055","10000","60","90015","28"
"90004","30000","72000","29","20","90055","10000","60","90015","29"
"90004","30000","72000","30","21","90055","10000","60","90015","30"
"90005","30000","96000","31","22","90059","10000","80","90015","31"
"90005","30000","96000","32","23","90059","10000","80","90015","32"
"90005","30000","96000","33","24","90059","10000","80","90015","33"
"90005","30000","96000","34","25","90059","10000","80","90015","34"
"90005","30000","96000","35","26","90059","10000","80","90015","35"
"90005","30000","96000","36","27","90059","10000","80","90015","36"
"90005","30000","96000","37","28","90059","10000","80","90015","37"
"90005","30000","96000","38","29","90059","10000","80","90015","38"
"90005","30000","96000","39","30","90059","10000","80","90015","39"
"90005","30000","96000","40","31","90059","10000","80","90015","40"
"90005","30000","144000","41","33","90063","10000","120","90017","41"
"90005","30000","144000","42","35","90063","10000","120","90017","42"
"90005","30000","144000","43","37","90063","10000","120","90017","43"
"90005","30000","144000","44","39","90063","10000","120","90017","44"
"90005","30000","144000","45","41","90063","10000","120","90017","45"
"90005","30000","144000","46","43","90063","10000","120","90017","46"
"90005","30000","144000","47","45","90063","10000","120","90017","47"
"90005","30000","144000","48","47","90063","10000","120","90017","48"
"90005","30000","144000","49","49","90063","10000","120","90017","49"
"90005","30000","144000","50","51","90063","10000","120","90017","50"
"90006","30000","180000","51","53","90067","10000","150","90019","51"
"90006","30000","180000","52","55","90067","10000","150","90019","52"
"90006","30000","180000","53","57","90067","10000","150","90019","53"
"90006","30000","180000","54","59","90067","10000","150","90019","54"
"90006","30000","180000","55","61","90067","10000","150","90019","55"
"90006","30000","180000","56","63","90067","10000","150","90019","56"
"90006","30000","180000","57","65","90067","10000","150","90019","57"
"90006","30000","180000","58","67","90067","10000","150","90019","58"
"90006","30000","180000","59","69","90067","10000","150","90019","59"
"90006","30000","180000","60","71","90067","10000","150","90019","60"
"90007","30000","216000","61","74","90071","10000","180","90021","61"
"90007","30000","216000","62","77","90071","10000","180","90021","62"
"90007","30000","216000","63","80","90071","10000","180","90021","63"
"90007","30000","216000","64","83","90071","10000","180","90021","64"
"90007","30000","216000","65","86","90071","10000","180","90021","65"
"90007","30000","216000","66","89","90071","10000","180","90021","66"
"90007","30000","216000","67","92","90071","10000","180","90021","67"
"90007","30000","216000","68","95","90071","10000","180","90021","68"
"90007","30000","216000","69","98","90071","10000","180","90021","69"
"90007","30000","216000","70","101","90071","10000","180","90021","70"
