ab352b04385772a26b55389bcb7031c3435f1b6a86d35e788c1cb65157f10596,79ab32f4cfc265705d2f69bd0f164f262166bcdf0d3974ad3ecea91392309272,5b637fc741531da79ebebd619d2b5ca1a2972a19f8ad64802b81a0ae3e3aec7b,fe330da940fd6061cf37d1e09640552e5cad7fb1a3b3aaaef2757184ab345a9b,d06147e5447ada9c603422a7a46312682c9ba44f80c6749c19adae22acdb9bfc
"すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","ダメージ減衰","damage_limit","10101","1"
"すべてのモンスターの物理/魔法防御力をアップさせる。この効果は物理/魔法防御力ダウンの影響を受けない。","防御力（ダウン不可）アップ","def_lower_limit","10102","1"
"すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","ダメージ減衰","damage_limit","10201","2"
"すべてのモンスターの物理/魔法防御力をアップさせる。この効果は物理/魔法防御力ダウンの影響を受けない。","防御力（ダウン不可）アップ","def_lower_limit","10202","2"
"すべてのモンスターが受けるダメージを一定値カットさせる。","全ダメージカット","damage_cut","10203","2"
"すべてのモンスターの与えるダメージをアップさせる。","与ダメージアップ","damage_up","10204","2"
"すべてのモンスターの物理/魔法防御力をアップさせる。","防御力アップ","def_up","10205","2"
"すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","ダメージ減衰","damage_limit","10301","3"
"すべてのモンスターの物理/魔法防御力をアップさせる。この効果は物理/魔法防御力ダウンの影響を受けない。","防御力（ダウン不可）アップ","def_lower_limit","10302","3"
"すべてのモンスターが受けるダメージを一定値カットさせる。","全ダメージカット","damage_cut","10303","3"
"すべてのモンスターの与えるダメージをアップさせる。","与ダメージアップ","damage_up","10304","3"
"すべてのモンスターの物理/魔法防御力をアップさせる。","防御力アップ","def_up","10305","3"
"すべてのキャラの物理/魔法クリティカルをダウンさせる。","クリティカルダウン","critical_down","10306","3"
"すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","ダメージ減衰","damage_limit","10401","4"
"すべてのモンスターの物理/魔法防御力をアップさせる。この効果は物理/魔法防御力ダウンの影響を受けない。","防御力（ダウン不可）アップ","def_lower_limit","10402","4"
"すべてのモンスターが受けるダメージを一定値カットさせる。","全ダメージカット","damage_cut","10403","4"
"すべてのモンスターの与えるダメージをアップさせる。","与ダメージアップ","damage_up","10404","4"
"すべてのモンスターの物理/魔法防御力をアップさせる。","防御力アップ","def_up","10405","4"
"すべてのキャラの物理/魔法クリティカルをダウンさせる。","クリティカルダウン","critical_down","10406","4"
"すべてのキャラのＨＰ吸収をダウンさせる。","ＨＰ吸収ダウン","life_steal_down","10407","4"
"EXTREMEバトル時に一定確率で強敵が出現する。","強敵出現","add_monster","10501","5"
"すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","ダメージ減衰","damage_limit","10502","5"
"すべてのモンスターの物理/魔法防御力をアップさせる。この効果は物理/魔法防御力ダウンの影響を受けない。","防御力（ダウン不可）アップ","def_lower_limit","10503","5"
"すべてのモンスターが受けるダメージを一定値カットさせる。","全ダメージカット","damage_cut","10504","5"
"すべてのモンスターの与えるダメージをアップさせる。","与ダメージアップ","damage_up","10505","5"
"すべてのモンスターの物理/魔法防御力をアップさせる。","防御力アップ","def_up","10506","5"
"すべてのキャラの物理/魔法クリティカルをダウンさせる。","クリティカルダウン","critical_down","10507","5"
"すべてのキャラのＨＰ吸収をダウンさせる。","ＨＰ吸収ダウン","life_steal_down","10508","5"
"すべてのモンスターがＴＰダウンカット状態になる。","ＴＰダウンカット","tp_down_cut","10509","5"
"すべてのキャラのＨＰ回復量をダウンさせる。","ＨＰ回復量ダウン","hp_recovery_down","10510","5"
