f71121e0c11c56fc28329700d3f70b151cecc1fb9ebcbc0ea55fb6085e605e44,08bd293b5f36c8aea60dcbdaf5b7fd03e08b3d552bb5a5ec8e26b795cb3a75c1,e8daf8fd1775c1ca67fa1992fbfe5cb5f595101b2879f9e6e944c93dd12f7a9e,dcb22857c857a41dc2ead8c2a91157747630644392ca55784af0a73dd77a7cb4,7f94ea6098f46ed5589d93e2b5582f9bb1b56e97d7b34acf27d3b256f4a73137,bb3392387a48e92b277a0eea9ea88356188377a6a307e49e6afb9408d7f5a8a2,c45a0ef8c0b450a57e0a25264bc844811a61e2e3c71dd272d4c2b1a9687ddf1e,cdf5a8f13e8b1613704b1cb5d9472c6f6421b0b45ad9d47fdb4a15c564c614a0,2b0d7ab6a83544eae1f8f4040fa7e4d2e144007000e218bce4e344b675d343d2,86751e4d569875ae80aacd6dbc1d5f00b62f74bfd7afd9dfced3788ba60058b6,1e05e5df3ffb8babd32a6afcaf16b1ca3e75f9aa68d6d657a2a370b8395e3e9a
"0","2","0","10011105","1001","0","1","pt","1","0","10011"
"0","2","0","10015103","1002","0","1","m","2","1","10015"
"0","2","0","10021108","1003","5021700","1","pt","3","0","10021"
"0","3","0","5027007","1004","5027700","1","pt","4","0","10027"
"0","2","0","10040105","1005","5040700","1","pt","5","0","10040"
"1","1","5046006","5046006","1006","0","1","pt","6","0","10046"
"3","3","5072006","5072006","1007","0","1","pt","7","0","10072"
"3","3","5080000","5080007","1008","5080700","0","pt","8","0","10080"
"0","0","0","0","1009","9004201","0","pt","9","0","0"
"3","1","5096007","5096007","1010","5096700","1","pt","10","0","10096"
"3","2","5126000","10126107","1012","0","1","pt","11","0","10126"
"1","3","5142000","5142007","1013","5142700","1","pt","12","0","10142"
"1","3","5156000","5156007","1014","5156700","1","pt","13","0","10156"
