5b470be1e88f725f97a5d6fd77cb38c3900c9c8dc77c8469cb04a3943e6d772d,c951c6bc08b75c3242db3e2620ff0805c9d5eeaf24cea4eeaf827c22e85a5925,317396ac8419b6d55645a07254cc1a4edb68d0549ffe327a6ccca75915586d47,8a73700deb95399f5798d2ed48142ffcca50ae62e1541c2efea5e6aef65b881d,86ac834fd5a51f079ada96872243b60b587de792a9a5380d75b84ce4107b72e3,a5917e260f7c9dc8fcf0f4782eeeab3122f8691943378409157afd977a4dd9d7
"1","50000","50000","26202","1","2"
"1","10","10","90013","2","2"
"1","0","1","26203","3","2"
"2","55000","55000","26202","4","2"
"2","10","10","90013","5","2"
"2","0","1","26203","6","2"
"3","60000","60000","26202","7","2"
"3","10","10","90013","8","2"
"3","0","1","26203","9","2"
"4","65000","65000","26202","10","2"
"4","10","10","90013","11","2"
"4","0","1","26203","12","2"
"5","70000","70000","26202","13","2"
"5","10","10","90013","14","2"
"5","0","1","26203","15","2"
"6","75000","75000","26202","16","2"
"6","10","10","90013","17","2"
"6","0","1","26203","18","2"
"7","80000","80000","26202","19","2"
"7","10","10","90013","20","2"
"7","0","1","26203","21","2"
"8","85000","85000","26202","22","2"
"8","10","10","90013","23","2"
"8","0","1","26203","24","2"
