37edfc575f4a246c4dbacc18dfafd723aa4e123c3aaccffb615cf24fa536715a,567c3386428ecf7b54a38fc592abaebec3b1fe28360873ac522d14bfebc36269
"1","0"
"2","0"
"3","0"
"4","0"
"5","0"
"6","0"
"7","0"
"11","0"
"12","0"
"15","0"
"16","0"
"17","0"
"18","0"
"19","0"
"101","4012023"
"102","4012024"
"103","4012025"
"104","4012026"
"105","4012027"
"106","4012028"
"107","4012029"
"108","4012030"
"109","4012031"
"110","4012032"
"111","4012001"
"112","4012002"
"113","4012003"
"114","4012004"
"115","4012005"
"116","4012006"
"117","4012007"
"118","4012008"
"119","4012009"
"120","4012010"
"121","4012011"
"122","4012012"
"123","4012013"
"125","4012015"
"126","4012016"
"127","4012017"
"128","4012018"
"129","4012019"
"130","4012020"
"131","4012021"
"132","4012022"
