cc897d56b3a400002ba2f9e6fc1013555e43f72b9079e9c3de75fa28ea821d0f,c5817723f5c8460977053fa8156fa03800efb730a3987b7fdbc9b71b21cd9bd7,07a68ae44b5b39511ac62f01d51d0ee30b707981c97a54d1d44e174de4ca7ebe,842be517c315d725748715179c39d059324ee8a25b080a831e6b0cde8353ab28,3326e908e8a3b7fc4e0e792f9a2eab5208e80c0b65a27e4c27da065ed396de15,ee4bb0c6107cb53992f9e93b12e6b3af653ac05d94d8521adc8fcfa0c1d29689,c7449be1b9065a88f695b7ec5431f20807242c9d60c89ed8667308cdbdc454b3,e6cb096f34b27c61d78883dc61739d0112019a6114c49d450f9d566cfe74546b,e27ca9999c91a1fa5baf2e74f8237deee4d513e73be0624b02eefcf1e25ac256,ea439876b00110eb5b3648c38a3f9459849c0194cc77adb385032a9cfc6131d0,03147c3ec524093ad9e111b8d356dfdab00b0f92a09355651a906a1c536bb5f2,7af84186fb634151e0b0ca0d1079ffaa4279cf1bb9bef75b8f8886d631829443,e00b91cc29bcfc101ce6fef6d6d303fe8515940cb3e0a538b91868b7442284bd,b44deaba4ad1d775ca010d5efdafa2d2bcd54de50c217e53dbfd434aece51a4b
"110501","10021","0","1","2019/07/31 12:00:00","2030/12/17 14:59:59","あうぅ～残念さ～\nマジムンに魂を\n奪われちゃったかな～？","4","24","24015","カオリ（サマー）","0","4","0"
"110501","10021","0","2","2019/07/31 12:00:00","2030/12/17 14:59:59","今日は踊りのキレも悪いよ～\nゴーヤーっぽいもの食べて、元気回復さ～！","4","24","24016","カオリ（サマー）","4","1","0"
"110501","10021","0","3","2019/07/31 12:00:00","2030/12/17 14:59:59","マジムンだらけで目が回るさ～！\nふらふらさ～！","4","24","24017","カオリ（サマー）","0","4","0"
"110501","10021","0","4","2019/07/31 12:00:00","2030/12/17 14:59:59","なんくるない、なんくるない\n次、頑張ればいいんだよ～！\n海で泳いで\nリフレッシュするさー！","1","24","24018","カオリ（サマー）","5.2","2","0"
"110501","10021","0","5","2019/07/31 12:00:00","2030/12/17 14:59:59","恥ずかしいところ\n見られちゃったね～\n水着？　水着のことじゃないよー？","5","24","24019","カオリ（サマー）","4.2","6","0"
"110501","10021","0","6","2019/07/31 12:00:00","2030/12/17 14:59:59","絶好調さ～！　この調子で\n海の平和を取り戻すよ～！\n楽しい夏が待ってるさ～！","2","24","24020","カオリ（サマー）","0","2","0"
"110501","10021","0","7","2019/07/31 12:00:00","2030/12/17 14:59:59","何匹で襲ってきたって\n私はマブイを落っことさないよ～！\nくしゅん！　あ……\n今のくしゃみで落っこちたかも～？","1","24","24021","カオリ（サマー）","6.4","6","0"
"110501","10021","0","8","2019/07/31 12:00:00","2030/12/17 14:59:59","ひーやーさーさー♪\n戦いの後は、踊りを踊って\n気分スッキリさ～！","2","24","24022","カオリ（サマー）","0","2","0"
"110501","10021","0","9","2019/07/31 12:00:00","2030/12/17 14:59:59","あれ～？　戦ってるうちに\n水着がどっか行っちゃった～？\nねぇキミ、どっかで見なかった～？\nなんで離れるさ～？","6","24","24023","カオリ（サマー）","10.08","3","0"
"110501","10021","0","10","2019/07/31 12:00:00","2030/12/17 14:59:59","まだまだ私は元気だよ～！\nマジムンでもなんでも、\nどんとこーいさー♪","1","24","24024","カオリ（サマー）","5","2","0"
"110501","10021","0","11","2019/07/31 12:00:00","2030/12/17 14:59:59","私の空手は世界最強さ～！\n夏の陽射しと青い海も合わされば、\n向かうところ敵なしだよー！","2","24","24025","カオリ（サマー）","0","2","0"
