7fd2768978879d7392504d32cc77ff2dc2536e0c890f8e231ca07d4233c4b778,39f3b0e46709f57aed572cba51bc19252d59cc65119bf6b97240893215bc4e48,32bb527a800c58c37a107b582c51135c8d6ae43bc8b75aba413ed0e085e182c6,e195f5c0f7d7a2e6385625df1d352fe6cc07e6d6f22fe39357084ae5cb4ab5fa
"1001","0","戦闘不能になったキャラが0人以下で勝利","100101"
"1001","1","戦闘不能になったキャラが1人以下で勝利","100102"
"1001","2","戦闘不能になったキャラが2人以下で勝利","100103"
"1002","74001","バトルの残り時間が1:15以上で勝利","100201"
"1002","69001","バトルの残り時間が1:10以上で勝利","100202"
"1002","59001","バトルの残り時間が1:00以上で勝利","100203"
"1002","49001","バトルの残り時間が0:50以上で勝利","100204"
"1002","44001","バトルの残り時間が0:45以上で勝利","100205"
"1002","39001","バトルの残り時間が0:40以上で勝利","100206"
"1002","29001","バトルの残り時間が0:30以上で勝利","100207"
"1003","1000","味方のTotal HPが100%以上で勝利","100301"
"1003","900","味方のTotal HPが90%以上で勝利","100302"
"1003","800","味方のTotal HPが80%以上で勝利","100303"
"1003","700","味方のTotal HPが70%以上で勝利","100304"
"1003","600","味方のTotal HPが60%以上で勝利","100305"
"1003","500","味方のTotal HPが50%以上で勝利","100306"
"1003","990","味方のTotal HPが99%以上で勝利","100307"
