f49049f1ea5ca1b1e4e99220ba2d19d65b2d3e37f6bcadb780c89bae47456f9a,e71de39e45d4bdd4d470fda41fb1ab68fa669e14353b5bb5e8fa392327e9c07c,07549777adfc714cd6136f4fe6af674bec15afc4f6197f07749c4eeb2a5e8e5c,47ce4e03d10b6031d9e26297236add6e68e1a0151a353116df152186f7ecd68d,b864b741708f2d136b0813fa94dfd834eaf60cc32eb3c365486ad7d040068097,c406adfdcafe66c759fe6033f79165caecc5a08f09fa7f358a1c8093593ba882,c1189e244cab7cc6572a0d0afe22a388947a898555ff93746963691e64eda3fa
"50000","12","2500","累計スコアを2500pt 獲得しよう","5126700","1","94002"
"50000","12","5000","累計スコアを5000pt 獲得しよう","0","1","94002"
"50000","12","7500","累計スコアを7500pt 獲得しよう","0","1","94002"
"1","7","10000","累計スコアを10000pt 獲得しよう","5126701","1","2839"
"80000","12","12500","累計スコアを12500pt 獲得しよう","0","1","94002"
"80000","12","15000","累計スコアを15000pt 獲得しよう","0","1","94002"
"80000","12","17500","累計スコアを17500pt 獲得しよう","0","1","94002"
"25","8","20000","累計スコアを20000pt 獲得しよう","5126702","1","91002"
"100000","12","22500","累計スコアを22500pt 獲得しよう","0","1","94002"
"100000","12","25000","累計スコアを25000pt 獲得しよう","0","1","94002"
"100","8","27500","累計スコアを27500pt 獲得しよう","0","1","91002"
"1","15","30000","累計スコアを30000pt 獲得しよう","5126703","1","11001262"
"50000","12","2500","累計スコアを2500pt 獲得しよう","5126710","2","94002"
"50000","12","5000","累計スコアを5000pt 獲得しよう","0","2","94002"
"50000","12","7500","累計スコアを7500pt 獲得しよう","0","2","94002"
"1","7","10000","累計スコアを10000pt 獲得しよう","5126711","2","2840"
"80000","12","12500","累計スコアを12500pt 獲得しよう","0","2","94002"
"80000","12","15000","累計スコアを15000pt 獲得しよう","0","2","94002"
"80000","12","17500","累計スコアを17500pt 獲得しよう","0","2","94002"
"25","8","20000","累計スコアを20000pt 獲得しよう","5126712","2","91002"
"100000","12","22500","累計スコアを22500pt 獲得しよう","0","2","94002"
"100000","12","25000","累計スコアを25000pt 獲得しよう","0","2","94002"
"100","8","27500","累計スコアを27500pt 獲得しよう","0","2","91002"
"1","15","30000","累計スコアを30000pt 獲得しよう","5126713","2","11001263"
