49c9a53aa25ff6a2fbf98603ec6264aff51abb25da31a0839497472f7e933867,05dc7f0ec1e5da7a123d56207108be6f003cfd82a2faba73b095965d4fa863d8,4dcf99e12a369e4438f140dbae59659bf7db8b42919bc6196ae20431eb170d8a,8c566f2d2df3d80adaa7cdf9fb017c9840c8e56b5135715974b5bb48bb627d85,89398cf4252abc19576bbca802b13601656299a15472223efcd6ab2a0520c69b,4dd2acd9fd11533df86823eebb2ee97b5a3d3701a4fd60d3e22a5903d516872e,6f2bea68e8afc8a068f242080e6db6fb07c4800bf1d2ca0f36e284f1c3c1cbab,27987b621da3e299e1c2768cfd2cbcf4f26a344105d8cabb0295bfa6a43902d6,2858622383b5c3f2e39992e877690ae6a1b32848245576cea7d2a8e26ac0fba1,f3b431a1e0c4799f0ae4aa4b234a511f32beaa06b9ad091dec291e2bc1a59135,19a41309821e357a5cdb49c2f1a72e3c32f87a75913449e980802b2e3e102b6e,02723f251841814d57653b73eadf782c7f9fb781a3064007a3bce15c4ae5e3b9,774edc412bc326f2e74d48e1f808c0af3570990fb55b277639c8ae38a73329dd,e95ac2c1d09e419e3396b91ab949b8e84053e7a686604ef42b244a794bbd3e54,f2be55d48d490aa2a52b6a0c52b0bedf9bcd8d364340a36d4df714a941b72168,9cc8dcd7681f02ec0758e2d20bfbe40c9791a3cfffdf363ae3bca935efec147f
"8","2","2","25021","1001001","25011","200","400","91002","2","94002","50","500000","90008","12","10"
"8","2","2","25021","1001002","25012","200","400","91002","2","94002","50","500000","90008","12","10"
"8","2","2","25021","1001003","25013","200","400","91002","2","94002","50","500000","90008","12","10"
"8","2","2","25021","1001004","25014","200","400","91002","2","94002","50","500000","90008","12","10"
"8","2","2","25021","1001005","25015","200","400","91002","2","94002","50","500000","90008","12","10"
"8","2","2","25021","1001006","25011","200","400","91002","2","94002","50","500000","90008","12","10"
"8","2","2","25021","1001007","25012","200","400","91002","2","94002","50","500000","90008","12","10"
"8","2","2","25021","1001008","25013","200","400","91002","2","94002","50","500000","90008","12","10"
"8","2","2","25021","1001009","25014","200","400","91002","2","94002","50","500000","90008","12","10"
"8","2","2","25001","1001010","25015","200","400","91002","2","94002","10","500000","90008","12","10"
"8","2","2","25021","1001011","25011","200","400","91002","2","94002","50","500000","90008","12","10"
"8","2","2","25021","1001012","25012","200","400","91002","2","94002","50","500000","90008","12","10"
"8","2","2","25021","1001013","25013","200","400","91002","2","94002","50","500000","90008","12","10"
"8","2","2","25021","1001014","25014","200","400","91002","2","94002","50","500000","90008","12","10"
"8","2","2","25021","1001015","25015","200","400","91002","2","94002","50","500000","90008","12","10"
"8","0","2","25021","1001016","0","200","0","91002","2","94002","50","500000","90008","12","10"
