33e48417c7ffea85e535f28ce03fa495d04b20ed87fb8104e81b9483a75db540,c88fa09f56d49a4ebb1a96cdd76cb2d18d4ad9a8b38d9ddaef19fcf3b8407962,9a849f1650e1793198234b266df8623bc5ef3061c72fdda6ab27e69fdd0a2b3d,765e0334e7811770c13ca7edf939d4f586df65b016d69cf027fcdca007c6c779,ee479fb7d273d545d5a5db236e1e60c3faddb48a87478b462c90deaddd9e2107,7aef675eaaf901fc1d2edbebe2f58a8a9139a18cf14327491261b406edabe06e,8659c1d9418b7a3cf364668084773a973dcfa5a277f7bd05544622d88411f602,f296daca9f9ee3a52f712cb9c11bd19eec81436b5636376cdc1e1a50ed46d4f2,390169fdf689f8fccf68b68ba820dd1980f777014d0e2a581fe23b7f684da12e,8de3b7a67dcabe21bac7c347bc035c5cde9e4e038189858bd67d4537cb9875e1,9e9fdaed5dc4e6b02e5e55a4f61ea93a618cabb5fee872092a935e77d0dfbb54
"-140","1010001","1500","112511","0","1","1","1","-190","1.8","omp_talk_worry"
"140","1010002","1500","112411","1","1","1","1","-190","1.8","omp_idle_normal"
"0","1010003","0","1","","31","1","1","1","1",""
"","1010004","","","","93","1","1","","",""
"0","1010005","0","vo_omp_7001_000","","21","vo_omp_7001","1","","",""
"1","1010006","10","ウヅキ、大丈夫？\n夜営続きで疲れてない？","","11","112511","1","1","",""
"","1010007","","","","91","0","1","","",""
"","1010008","1","omp_idle_worry","","3","112511","1","","0",""
"","1010009","1","omp_talk_joy1","","3","112411","1","","0",""
"0","1010010","0","vo_omp_7001_001","","21","vo_omp_7001","1","","",""
"1","1010011","10","はい、大丈夫です！\nみんなと一緒に旅をするの\nとっても楽しいですし","","11","112411","1","1","",""
"","1010012","","","","91","0","1","","",""
"","1010013","1","omp_psn_20","","3","112411","1","","0",""
"","1010014","1","omp_talk_normal","","3","112511","1","","0",""
"0","1010015","0","vo_omp_7001_002","","21","vo_omp_7001","1","","",""
"1","1010016","10","そっか\nウヅキはどんなときも楽しそうだよね","","11","112511","1","1","",""
"","1010017","","","","91","0","1","","",""
