fb13911442586f22bcc31e3d500dfff273446a203650613de250f93f82532f26,869a1c7ce0437f0f719979f9d6a08b779623503ec1dce02d2fac6412e2f4ec1f,1d1713b9090ae28a062c1a9b8b93806b2db914b63079a9eedc6247a5f59d65b1,a0c606ee96e6a8fafe6e1f95e6064979162cebc23585fb2dea30a386dc1203d8,ef0267c6016e168e2b5b7b38239c9b59661e1b64812cec31fa741e8af34a638f,8a024e5e3fe0c0ff7c7c6277e234747d245b7d8a015254474eb9a28d78032953,e435360eba062a1eace4d1617f3fa2c320b65e741bb71246cd66708e9dc6ea14,14ec22f1981da00288da7a9f1b6e6fed918131a5e3085ed31da82fa73f210b4d,7efea12383fd2af3c479aecf51cf2222f4e593db544c75dfc88efdf89a428938,b7ed0ffdbc435c699538775cb76e4a104e73e15f4c15ab3d4cea864435d39efe,4ae82ab3c70d06a2b5c4ef4ffa933ea3a8b23722d8d415716e2dbf636faaaa98
"1013","1","2","難易度1以上で1回クリアしよう","1","0","1","3","1","1","1"
"1013","2","2","難易度2以上で1回クリアしよう","1","0","2","5","1","2","2"
"1013","3","2","難易度3以上で1回クリアしよう","1","0","3","5","1","3","3"
"1013","4","2","難易度4以上で1回クリアしよう","1","0","4","5","1","4","4"
"1013","5","2","難易度5以上で1回クリアしよう","1","0","5","5","1","5","5"
"1013","6","3","迷宮遺物を累計10個集めよう","1","0","0","0","10","6","11"
"1013","7","3","迷宮遺物を累計50個集めよう","1","0","0","0","50","7","12"
"1013","8","3","迷宮遺物を累計100個集めよう","1","0","0","0","100","8","13"
"1013","9","4","キャラを累計で10人勧誘しよう","1","0","0","0","10","9","14"
"1013","10","4","キャラを累計で50人勧誘しよう","1","0","0","0","50","10","15"
"1013","11","4","キャラを累計で100人勧誘しよう","1","0","0","0","100","11","16"
"1013","12","4","キャラを累計で150人勧誘しよう","1","0","0","0","150","12","17"
"1013","13","5","アルファ強化でノードを1個解放しよう","1","0","0","0","1","13","18"
"1013","14","5","アルファ強化でノードを5個解放しよう","1","0","0","0","5","14","19"
"1013","15","5","アルファ強化でノードを10個解放しよう","1","0","0","0","10","15","20"
"1013","16","5","アルファ強化でノードを15個解放しよう","1","0","0","0","15","16","21"
"1013","17","5","アルファ強化でノードを20個解放しよう","1","0","0","0","20","17","22"
"1013","18","5","アルファ強化でノードを25個解放しよう","1","0","0","0","25","18","23"
"1013","19","5","アルファ強化でノードを30個解放しよう","1","0","0","0","30","19","24"
"1013","20","5","アルファ強化でノードを40個解放しよう","1","0","0","0","40","20","25"
"1013","21","2","難易度2以上で3回クリアしよう（スキップを除く）","1","0","2","5","3","21","30"
"1013","22","2","難易度2以上で5回クリアしよう（スキップを除く）","1","0","2","5","5","22","31"
