5004a9fa5e09cb83ca21df2236db9d81095c2fe3a0856f4cba82daec095c45e2,33abe0fca2fd0e68827549f0d04645176523473fac1d6534f3e0fd0a4ee4fd72
"1","0"
"2","0"
"3","0"
"4","0"
"5","0"
"6","0"
"7","0"
"8","0"
"9","0"
"10","0"
"11","0"
"12","0"
"13","0"
"14","0"
"15","0"
"16","0"
"17","0"
"18","0"
"19","0"
"20","0"
"101","4012023"
"102","4012024"
"103","4012025"
"104","4012026"
"105","4012027"
"106","4012028"
"107","4012029"
"108","4012030"
"109","4012031"
"110","4012032"
"111","4012001"
"112","4012002"
"113","4012003"
"114","4012004"
"115","4012005"
"116","4012006"
"117","4012007"
"118","4012008"
"119","4012009"
"120","4012010"
"121","4012011"
"122","4012012"
"123","4012013"
"124","4012014"
"125","4012015"
"126","4012016"
"127","4012017"
"128","4012018"
"129","4012019"
"130","4012020"
"131","4012021"
"132","4012022"
