73e94484f745af4ad1062de2e7084754ab23c915b96cf8e3e28e6780e92eb042,80ecadd67f90f25b803e6e333963d24cf7877236c604042206289e6a3a665be8,c6e03274a0f4e1aa85089542ac01420e2bb3922b7dad6df816d8b1f8e0cba9b5,f478cf3923533d9b1e5fe522c14c2a2f76de279b53efae6768ebf0ed00083cb0,f7c63c21219eb8e63625556fe21e2862de3358bf3d91234837cd2eef22d9eadc
"1","信頼度","10131114","6104101","10131"
"1","信頼度","10141107","6114101","10141"
"1","信頼度","10144102","6144101","10144"
"1","信頼度","10151110","6124101","10151"
"1","信頼度","10153102","6017101","10153"
"1","信頼度","0","0","20015"
"1","信頼度","0","0","20017"
"1","信頼度","0","0","20018"
"1","信頼度","0","0","20019"
"1","信頼度","0","0","20020"
"1","信頼度","0","0","20022"
"1","信頼度","0","0","20023"
"1","信頼度","0","0","20024"
"1","信頼度","0","0","20025"
"1","信頼度","0","0","20026"
"1","信頼度","0","0","20028"
"1","信頼度","0","0","20029"
"1","信頼度","0","0","20030"
"1","信頼度","0","0","20031"
"1","信頼度","0","0","20032"
"1","信頼度","0","0","20035"
"1","信頼度","0","0","20037"
"1","信頼度","0","0","20038"
"1","信頼度","0","0","20042"
"1","信頼度","0","0","20043"
"1","信頼度","0","0","20048"
"1","信頼度","0","0","20049"
"1","信頼度","0","0","20051"
"1","信頼度","0","0","20054"
"1","信頼度","0","0","20055"
