2fbcde09a47d35fb0a9dff100bb25823b091584f75cb076481b87a3e7d18c243,cc35381ee5899ebb1291b18a41dfa0271365f0d31c01bebf4db6a356dde8d5e6,130b8de03a8e61f3bb52cc45e98e668b1cbaac42912569f828af64df718c1b17,1895ebdcff9ce47673992bf8e27aac81b3f334c066efb50b4d7530541b8df1b6,80d24756d9e14ba66572c6f104bc14e5fd36c46e7e26455e375884921da9086b,676833df57943677bed1b02e16b5f37adec97d5cfd39ac40130fae89ecea94d3,fe07e288d54e555ce9422e258273962d09fae48da5053ba1e1af0dc2fe8ddfde,501a46d15588af5d71a28fbcf64877b062f8a95bf8e51c2e7fa307a7ba4a5b4c
"10001","10001101","10001","10001","bgm_M32","タルグム地方","bgm_M32","10001101"
"10002","10002101","10002","10002","bgm_M98","マシーナ地方","bgm_M98_2","10002101"
"10003","10003101","10003","10003","bgm_M106","ランドソル郊外","bgm_M106","10003101"
"10004","10004101","10004","10004","bgm_M112","タパスビーチ周辺","bgm_M112","10004101"
"10005","10005101","10005","10005","bgm_M121","イルシオンの孤島","bgm_M121","10005101"
"10006","10006101","10006","10006","bgm_M128","王都ランドソル","bgm_M128","10006101"
"10007","10007101","10007","10007","bgm_M135","ランドソル近郊","bgm_M135","10007101"
"10008","10008101","10008","10008","bgm_M121","ランドソル近郊","bgm_M121","10008101"
"10009","10009101","10009","10009","bgm_M171","クリスマス","bgm_M171","10009101"
"10010","10010101","10010","10010","bgm_M121","神殿への参道","bgm_M121","10010101"
"10011","10011101","10011","10011","bgm_M189","バレンタイン","bgm_M189","10011101"
"10012","10012101","10012","10012","bgm_M206","王都ランドソル","bgm_M206","10012101"
"10013","10013101","10013","10013","bgm_M215","マナリア","bgm_M215","10013101"
"10014","10014101","10014","10014","bgm_M32","タルグム地方","bgm_M32","10014101"
