92c1444139f2a6463442c4ddedc2ddccaaef2fb78e816d99d4c7c2d4ffec644c,d8fb8aa7b971d267c9360697c8a2887ae93d905046b0eeaba7936b44be5944ff,1538f81e6c4e7f0f92775db8f07fbc167a8c374d8b0376f53b7d19785149a76d,f7d7fb33a519525b07fd057f7fe2856a6559b7e523fab7b3357aaec02a54b343,f7475f5f386c2ec511ebd79b47b60562cbc0dbf3fe8a45700b92a9a12c903b6d,c1b3ee2454be85a9a8939278ecb5c83b70c815ab7440c08a184b2d4ee98bee40
"10","1","150","150","0","1"
"10","1","250","400","0","2"
"10","1","400","800","0","3"
"20","2","150","150","0","1"
"20","2","250","400","0","2"
"20","2","400","800","0","3"
"20","2","500","1300","1","4"
"30","3","800","800","0","1"
"30","3","1000","1800","0","2"
"30","3","1200","3000","0","3"
"30","3","1400","4400","1","4"
"30","3","1600","6000","2","5"
"40","4","800","800","0","1"
"40","4","1000","1800","0","2"
"40","4","1200","3000","0","3"
"40","4","1400","4400","1","4"
"40","4","1600","6000","2","5"
"0","5","0","0","0","0"
