951d542b1ef0fb5277da93d705c29a67ecbed07b27aa055603bd4cedb26f01c9,c2fd5b4da63cee8bfda7f55bb97c29583f5e897ca52630038a194b48b98d5a65,6604b6d18fb1666b38840b719c2ca12a31dbb137a00b8c092ac7fd50cc5f4bb6,8155e1f06ef66a742fe95cbb23da0f962575737c5c2cc0009112ef7cd64df9d9,215e0fd70b657459b7f84b3a46147b133f212546a3edc7ade8abf169ee5c9cd3,c2b0ad3187791cb915b6ab44b67bd6801744143165d3e50bdb4daa912426f22c,7266011dd9c6bfc83567aecdbdd126398bae181f69049d5fecd19b02fa972cc6
"2","1","1","105","105","3","105"
"2","2","1","120","120","3","105"
"2","3","1","100","120","3","100"
"2","4","1","120","120","3","105"
"2","5","1","105","120","3","105"
"2","6","1","100","105","3","100"
"2","7","1","100","105","3","120"
"2","8","1","100","105","3","100"
"2","9","1","120","120","3","105"
"2","10","1","100","105","3","120"
"2","11","1","105","100","3","100"
"2","12","1","120","120","3","105"
"2","13","1","105","105","3","105"
"2","14","1","120","105","3","105"
"2","15","1","120","120","3","120"
"2","16","1","100","100","3","100"
"2","17","1","105","120","3","120"
"2","18","1","120","105","3","120"
"2","19","1","105","100","3","105"
"2","20","1","105","105","3","100"
"2","21","1","105","100","3","100"
"2","22","1","120","120","3","120"
"2","23","1","100","100","3","105"
"2","24","1","120","120","3","120"
"2","25","1","105","120","3","105"
"2","26","1","100","100","3","100"
"2","27","1","100","100","3","100"
"2","28","1","100","100","3","100"
"2","29","1","120","120","3","120"
"2","30","1","120","105","3","105"
