b4aedced68dd7c24ff05145d3bdede99ee844466f309de980947fea443a6c13d,40463604423137b83e6b05b54a38ec00be8a964e1da2d8fc774915419e6af99a,a4ec9ebfbdc57821545ab3d860c301b0bc4b34d9fbfca19f967610a610033857,b1e56d3eb9150d153f275d9cadcabb925dd04644a9d07add7afe72badc1984a6,508eaf8cdcc82f7c86040025d835a55ac60c8196205f5dfc88a66c32aedba39e,e10383402e2c736423aa1ee2f15463cf5e874fc403b6f4ab7460503d45b043c5,3bde756f5f304b35cc2f8fe8ed0f4ef947cac4b359ea978a06886ea3ffd86402,338e98f261d7c0cf9d1f0372c331c7ece7ec3972ecb079f923ff6bcd29bbaa37,aa79ce30a13f1b14c14ca26bcaea517b5353732e3d597267d3a41647be559327,574ed92141ff44c245eeef6dc111a498b0102d0d46fa9d0136bdc46e67dcc3c6
"ハグ","0","0","0","バク","バグ","1","2110001","0","パグ"
"テイク","0","0","0","テクニック","テクノロジー","1","2110003","0","手首"
"じひびき","0","0","0","ふぶき","なだれ","1","2110005","0","ゆきやけ"
"黒曜石","0","0","0","化石","磁石","1","2110006","0","大理石"
"ガルフ","0","0","0","リバー","オーシャン","1","2110007","0","ミスト"
"バットマーク","0","0","0","ラットマーク","アットマーク","1","2110008","0","カットマーク"
"いつもすずしい場所","0","0","0","太陽があたらない場所","太陽の日があたる場所","1","2110010","0","建物の中の場所"
"ハッピーデート","0","0","0","ダブルデート","アップデート","1","2110011","0","バレンタインデート"
"オブリガード","0","0","0","ブルドーザー","ブリザード","1","2110012","0","バリケード"
"地球","0","0","0","月","太陽","1","2110014","0","火星"
"電話線","0","0","0","放物線","地平線","1","2110016","0","新幹線"
"赤歴史","0","0","0","白歴史","黒歴史","1","2110018","0","青歴史"
"お酢","0","0","0","みりん","しょうゆ","1","2110019","0","みそ"
"手のひら","0","0","0","お腹","背中","1","2110021","0","顔"
"ベニヤ板","0","0","0","ガラス板","鉄板","1","2110022","0","看板"
"バーコード","0","0","0","プレスコード","ドレスコード","1","2110023","0","エンコード"
"やくおとし","0","0","0","だるまおとし","こけらおとし","1","2110024","0","まくおとし"
"ライス","0","0","0","コイル","コイン","1","2110025","0","ライン"
"ナチュラル","0","0","0","パラレル","アパレル","1","2110026","0","パラソル"
"上塗り","0","0","0","ぼかし","透かし","1","2110028","0","薄塗り"
"塗り薬","0","0","0","風邪薬","目薬","1","2110031","0","胃薬"
"馬の耳","0","0","0","のれん","ぬか","1","2110032","0","石の上"
"カナブン","0","0","0","なみだ","金棒","1","2110034","0","豆腐"
"コーラ","0","0","0","レモネード","水","1","2110035","0","サイダー"
"二度","0","0","0","一度","三度","1","2110036","0","四度"
"手ぬぐい","0","0","0","髪の毛","たんこぶ","1","2110037","0","メガネ"
"極楽","0","0","0","光","闇","1","2110038","0","天国"
"ようかん","0","0","0","団子","ぼた餅","1","2110039","0","あんみつ"
"か","0","0","0","はえ","はち","1","2110040","0","あぶ"
"羊","0","0","0","猿","馬","1","2110041","0","猫"
"火","0","0","0","風","水","1","2110042","0","土"
"氷","0","0","0","寒","冷","1","2110043","0","水"
"散","0","0","0","韓","朝","1","2110044","0","脇"
"生米","0","0","0","生麦","生姜","1","2110045","0","生卵"
"先制","0","0","0","先生","宣誓","1","2110046","0","占星"
"希少","0","0","0","気象","起床","1","2110047","0","気性"
"無","0","0","0","非","不","1","2110049","0","未"
"無","0","0","0","不","非","1","2110050","0","未"
"非","0","0","0","不","無","1","2110051","0","未"
"非","0","0","0","不","未","1","2110052","0","無"
"一日千秋","0","0","0","馬耳東風","三日坊主","1","2110053","0","有名無実"
"いぬ","0","0","0","ねこ","たぬき","1","2110054","0","きつね"
"てぶくろ","0","0","0","くつひも","たび","1","2110056","0","あしのうら"
"千","0","0","0","十","百","1","2110058","0","万 "
"八","0","0","0","九","十","1","2110060","0","七"
"アジテーション","0","0","0","ジャッジメント","ハッピーエンド","1","2111001","0","ハイテンション"
"やばいですね★","0","0","0","ちぇる～ん☆","どるるるる～ん★","1","2111002","0","夢はスーパースター☆☆★"
"最も人口が多い","0","0","0","獣の耳と尻尾がある","尖った長い耳","1","2111003","0","二つの角を頭部に持つ"
"パォン","0","0","0","クォン","カォン","1","2111004","0","キャォン"
"高価","0","0","0","輝く","成長","1","2111005","0","教育"
"鉄","0","0","0","銅","銀","1","2120002","0","金"
"ハツ","0","0","0","ラバー","レバー","1","2120004","0","モツ"
"バシャウマ","0","0","0","タケウマ","トラウマ","1","2120005","0","ストレス"
"分雨","0","0","0","秒雨","時雨","1","2120006","0","雷雨"
"銅","0","0","0","銀","鉄","1","2120009","0","金"
"大青柱","0","0","0","大赤柱","大黒柱","1","2120011","0","大白柱"
"電源","0","0","0","電車","電報","1","2120012","0","電灯"
"お酢","0","0","0","しょうゆ","みりん","1","2120013","0","みそ"
"しぶみ","0","0","0","ですぎ","でがらし","1","2120014","0","こいめ"
"じょうしゅ","0","0","0","うわて","かみて","1","2120016","0","じょうず"
"よせき","0","0","0","よりせき","よせ","1","2120017","0","よるせき"
"フライアウェイ","0","0","0","ロングウェイ","フリーウェイ","1","2120018","0","レールウェイ"
"腕押し","0","0","0","釘","かすがい","1","2120021","0","念仏"
"鼻","0","0","0","眉","爪","1","2120022","0","尻"
"念仏","0","0","0","小判","論語","1","2120023","0","かすがい"
"花瓶","0","0","0","とっくり","ひょうたん","1","2120025","0","巾着"
"牛","0","0","0","馬","雀","1","2120026","0","虎"
"一長一短","0","0","0","一鳥一石","一朝一夕","1","2120027","0","一兆一億"
"6つ","0","0","0","2つ","4つ","1","2120028","0","8つ"
"herro","0","0","0","hallo","hello","1","2120029","0","harro"
"一進一退","0","0","0","不言実行","優柔不断","1","2120031","0","日進月歩"
"日曜日","0","0","0","木曜日","金曜日","1","2120033","0","月曜日"
"木曜日","0","0","0","金曜日","水曜日","1","2120034","0","火曜日"
"ダンシングメッセージ","0","0","0","ダビングメッセージ","ダイイングメッセージ","1","2120035","0","ダイビングメッセージ"
"犬","0","0","0","牛","馬","1","2120036","0","獅子"
"クローゼット","0","0","0","川","トイレ","1","2120037","0","キッチン"
"かいまみる","0","0","0","かんがえる","かんがみる","1","2120038","0","こころみる"
"五百万","0","0","0","三百万","八百万","1","2120039","0","二百万"
"猿","0","0","0","熊","蛇","1","2120042","0","猪"
"状態","0","0","0","瀕死","一死","1","2120045","0","すべて正しい"
