7ecf9320e83e1253fbf028cb970349aefeae0f8f1c814fb666d15e14dfca8e7f,84d84ae9f0ddeb6630a20882ee47f62001241b5ed277cfbc9bb41f55ac48a3c8,7b1b885a258132d26da428543dbe9143b5412fe424048de564d4f3323f33c5a8,e28edb6f579ef91ac8408e5095c027cecfd708d5634f6199080d715920d75f65,3e004b5680d81d3f3a9d8614bef9a9d5a884bb86826906621e6ea546d18dbbf9,3dc83b32446907eb82a0e16dffe8270ecc53e913e8550dd47ceede20040501e6,f771339ec723951839648d4009439d7727b350a3ca11cb74f5068b34335c0b50,7ab1b78463fe8f93c0b1ed50c4a5869beee378c0b7d3cf6d6b8c79b25538dd0a,aee784641e5c8277dc279131e696aca5f4899e1300fdc1a2959d0e8aef512957,747dd6dc9eb3ea4c659f6e423f6a1b6c87a84fe8a4dc1174ac72b60f10bbb70e,7b091bd93df3aa330d2840670390b682fb6464893d396764a3475281ec0743bc,43aabe3b2822fdb18709aaaa9714747bb436ec69f872ff745b97ac1528a7cf27,ca04b546ce63058a1379721a9cfa9c9db8bde0132bf09e10a7629a398138cff0,7740309b01619697b7b6383d719fa0a6432b199707a56419d7f6f7e65e9f8ae3
"1005001","10","0","0","30","2","100000","0","0","10050","0","-30","1.5","1.7"
"1005001","0","10050101","-40","-17","1","100000","1","0","10050","0.03","25","1.5","1.7"
"1005001","10","0","-23","-32","3","100000","0","0","10050","0","-47","1.5","1.7"
"1005002","10","0","0","30","2","100000","0","0","10050","0","-30","1.5","1.7"
"1005002","0","10050201","-40","-17","1","100000","1","0","10050","0.03","25","1.5","1.7"
"1005002","10","0","-23","-32","3","100000","0","0","10050","0","-47","1.5","1.7"
"1005003","10","0","0","30","2","100000","0","0","10050","0","-30","1.5","1.7"
"1005003","0","10050301","-40","-17","1","100000","1","0","10050","0.03","25","1.5","1.7"
"1005003","10","0","-23","-32","3","100000","0","0","10050","0","-47","1.5","1.7"
"1005004","10","0","0","30","2","100000","0","0","10050","0","-30","1.5","1.7"
"1005004","0","10050401","-40","-17","1","100000","1","0","10050","0.03","25","1.5","1.7"
"1005004","10","0","-23","-32","3","100000","0","0","10050","0","-47","1.5","1.7"
"1005005","10","0","0","30","2","100000","0","0","10050","0","-30","1.5","1.7"
"1005005","0","0","-40","-17","1","100000","1","0","10050","0.03","25","1.5","1.7"
"1005005","10","0","-23","-32","3","100000","0","0","10050","0","-47","1.5","1.7"
"1007701","10","0","0","30","2","100000","0","0","10077","0","-30","1.5","1.7"
"1007701","0","10077101","-40","-17","1","100000","1","0","10077","0.03","25","1.5","1.7"
"1007701","10","0","-23","-32","3","100000","0","0","10077","0","-47","1.5","1.7"
"1007702","10","0","0","30","2","100000","0","0","10077","0","-30","1.5","1.7"
"1007702","0","10077201","-40","-17","1","100000","1","0","10077","0.03","25","1.5","1.7"
"1007702","10","0","-23","-32","3","100000","0","0","10077","0","-47","1.5","1.7"
"1007703","10","0","0","30","2","100000","0","0","10077","0","-30","1.5","1.7"
"1007703","0","10077301","-40","-17","1","100000","1","0","10077","0.03","25","1.5","1.7"
"1007703","10","0","-23","-32","3","100000","0","0","10077","0","-47","1.5","1.7"
"1007704","10","0","0","30","2","100000","0","0","10077","0","-30","1.5","1.7"
"1007704","0","10077401","-40","-17","1","100000","1","0","10077","0.03","25","1.5","1.7"
"1007704","10","0","-23","-32","3","100000","0","0","10077","0","-47","1.5","1.7"
"1007705","10","0","0","30","2","100000","0","0","10077","0","-30","1.5","1.7"
"1007705","0","0","-40","-17","1","100000","1","0","10077","0.03","25","1.5","1.7"
"1007705","10","0","-23","-32","3","100000","0","0","10077","0","-47","1.5","1.7"
"1008801","10","10088101","-50","-13","1","100000","1","0","10088","0.03","-25","0.92","0.84"
"1008801","0","0","-50","13","2","100000","0","0","10088","0","-25","0.8","0.7"
"1008802","10","10088201","-50","-13","1","100000","1","0","10088","0.03","-25","0.92","0.84"
"1008802","0","0","-50","13","2","100000","0","0","10088","0","-25","0.8","0.7"
"1008803","10","10088301","-50","-13","1","100000","1","0","10088","0.03","-25","0.92","0.84"
"1008803","0","0","-50","13","2","100000","0","0","10088","0","-25","0.8","0.7"
"1008804","10","10088401","-50","-17","1","100000","1","0","10088","0.03","-30","0.92","0.7"
"1008804","0","0","-50","30","2","100000","0","0","10088","0","-30","0.8","0.6"
"1008805","10","0","-50","-17","1","100000","1","0","10088","0.03","-30","0.92","0.7"
"1008805","0","0","-50","30","2","100000","0","0","10088","0","-30","0.8","0.6"
"2002901","10","0","0","30","2","100000","0","0","20029","0","-30","1.5","1.7"
"2002901","0","20029101","-40","-17","1","100000","1","0","20029","0.03","25","1.5","1.7"
"2002901","10","0","-23","-32","3","100000","0","0","20029","0","-47","1.5","1.7"
"2002902","10","0","0","30","2","100000","0","0","20029","0","-30","1.5","1.7"
"2002902","0","0","-40","-17","1","100000","1","0","20029","0.03","25","1.5","1.7"
"2002902","10","0","-23","-32","3","100000","0","0","20029","0","-47","1.5","1.7"
"2002903","10","0","0","30","2","100000","0","0","20029","0","-30","1.5","1.7"
"2002903","0","0","-40","-17","1","100000","1","0","20029","0.03","25","1.5","1.7"
"2002903","10","0","-23","-32","3","100000","0","0","20029","0","-47","1.5","1.7"
