101838533199d75d9a913abe847d1a9b88d893b2227bbca4ccf41f556b5cd71e,df7db5cf001c82eeeaf3c4b84ff651c620e3e8573cf57645ae3bdeaad32c4023,c6bfdf543c1d1b0f7a311ad354bf08c4aa1ebfc9c8df3490fa54310a82804466,9303ce95892835191cba6e308cae9375e7b5e96279e022084c1e49b609240ece,222da14a8eeaa246a7d1c1a46e4e7982824a85cd907c8d4d5618da055ecbc75b,bdb87cbea84b21cb26906bdbbd0dc318c3011c21d98e513547e019d724653d19,041bf20d72d029d52175b8464bc097e9ca7e0a07ad8c26863cb9b1624356c577,499cc5e5473191def37b55b5a45fc36c2fc07d2dd1201dede37193dc1aa3456a,bccf691d71fa9fb94a9a99a91b9d96d144466fa3f8a890d38652c85a3a94a3b2,ac1007ba84f8531b46b1bd28e9e2da1d096a94a2a57e04e2fcd68bb74a32c1d6
"111","220","25021","101","0","0","2","500000","0","0"
"121","220","25021","102","0","0","2","500000","0","0"
"131","220","25021","103","0","0","2","500000","0","0"
"141","220","25021","104","0","0","2","500000","0","0"
"151","220","25021","105","0","0","2","500000","0","0"
"211","220","25021","201","0","0","2","500000","0","0"
"221","220","25021","202","0","0","2","500000","0","0"
"231","220","25021","203","0","0","2","500000","0","0"
"241","220","25021","204","0","0","2","500000","0","0"
"251","220","25021","205","0","0","2","500000","0","0"
"311","220","25021","301","0","0","2","500000","0","0"
"321","220","25021","302","0","0","2","500000","0","0"
"331","220","25021","303","0","0","2","500000","0","0"
"341","220","25021","304","0","0","2","500000","0","0"
"351","220","25021","305","0","0","2","500000","0","0"
"411","220","25021","401","0","0","2","500000","0","0"
"421","220","25021","402","0","0","2","500000","0","0"
"431","220","25021","403","0","0","2","500000","0","0"
"441","220","25021","404","0","0","2","500000","0","0"
"451","220","25021","405","0","0","2","500000","0","0"
"511","220","25021","501","0","0","2","500000","0","0"
"521","220","25021","502","0","0","2","500000","0","0"
"531","220","25021","503","0","0","2","500000","0","0"
"541","220","25021","504","0","0","2","500000","0","0"
"551","220","25021","505","0","0","2","500000","0","0"
"611","220","25021","601","0","0","2","500000","0","0"
"621","220","25021","602","0","0","2","500000","0","0"
"631","220","25021","603","0","0","2","500000","0","0"
"641","220","25021","604","0","0","2","500000","0","0"
"651","220","25021","605","0","0","2","500000","0","0"
"711","220","25021","701","0","0","2","500000","0","0"
"721","220","25021","702","0","0","2","500000","0","0"
"731","220","25021","703","0","0","2","500000","0","0"
"741","220","25021","704","0","0","2","500000","0","0"
"751","220","25021","705","0","0","2","500000","0","0"
"811","1100","25021","801","0","0","2","500000","0","0"
"911","220","25021","901","0","0","2","500000","0","0"
"921","220","25021","902","0","0","2","500000","0","0"
"931","220","25021","903","0","0","2","500000","0","0"
"941","220","25021","904","0","0","2","500000","0","0"
"951","220","25021","905","0","0","2","500000","0","0"
"1011","1100","25021","1001","0","0","2","500000","0","0"
"1111","220","25021","1101","0","0","2","500000","0","0"
"1121","220","25021","1102","0","0","2","500000","0","0"
"1131","220","25021","1103","0","0","2","500000","0","0"
"1141","220","25021","1104","0","0","2","500000","0","0"
"1151","220","25021","1105","0","0","2","500000","0","0"
"1211","220","25021","1201","0","0","2","500000","0","0"
"1221","220","25021","1202","0","0","2","500000","0","0"
"1231","220","25021","1203","0","0","2","500000","0","0"
"1241","220","25021","1204","0","0","2","500000","0","0"
"1251","220","25021","1205","0","0","2","500000","0","0"
"1311","220","25021","1301","0","0","2","500000","0","0"
"1321","220","25021","1302","0","0","2","500000","0","0"
"1331","220","25021","1303","0","0","2","500000","0","0"
"1341","220","25021","1304","0","0","2","500000","0","0"
"1351","220","25021","1305","0","0","2","500000","0","0"
"1411","220","25021","1401","0","0","2","500000","0","0"
"1421","220","25021","1402","0","0","2","500000","0","0"
"1431","220","25021","1403","0","0","2","500000","0","0"
"1441","220","25021","1404","0","0","2","500000","0","0"
"1451","220","25021","1405","0","0","2","500000","0","0"
"1511","220","25021","1501","0","0","2","500000","0","0"
"1521","220","25021","1502","0","0","2","500000","0","0"
"1531","220","25021","1503","0","0","2","500000","0","0"
"1541","220","25021","1504","0","0","2","500000","0","0"
"1551","220","25021","1505","0","0","2","500000","0","0"
"1611","1100","25021","1601","0","0","2","500000","0","0"
"1711","1100","25021","1701","0","0","2","500000","0","0"
"1811","220","25021","1801","0","0","2","500000","0","0"
"1821","220","25021","1802","0","0","2","500000","0","0"
"1831","220","25021","1803","0","0","2","500000","0","0"
"1841","220","25021","1804","0","0","2","500000","0","0"
"1851","220","25021","1805","0","0","2","500000","0","0"
"1911","220","25021","1901","0","0","2","500000","0","0"
"1921","220","25021","1902","0","0","2","500000","0","0"
"1931","220","25021","1903","0","0","2","500000","0","0"
"1941","220","25021","1904","0","0","2","500000","0","0"
"1951","220","25021","1905","0","0","2","500000","0","0"
"2011","220","25021","2001","0","0","2","500000","0","0"
"2021","220","25021","2002","0","0","2","500000","0","0"
"2031","220","25021","2003","0","0","2","500000","0","0"
"2041","220","25021","2004","0","0","2","500000","0","0"
"2051","220","25021","2005","0","0","2","500000","0","0"
"2111","1100","25021","2101","0","0","2","500000","0","0"
"2211","220","25021","2201","0","0","2","500000","0","0"
"2221","220","25021","2202","0","0","2","500000","0","0"
"2231","220","25021","2203","0","0","2","500000","0","0"
"2241","220","25021","2204","0","0","2","500000","0","0"
"2251","220","25021","2205","0","0","2","500000","0","0"
"2311","220","25021","2301","0","0","2","500000","0","0"
"2321","220","25021","2302","0","0","2","500000","0","0"
"2331","220","25021","2303","0","0","2","500000","0","0"
"2341","220","25021","2304","0","0","2","500000","0","0"
"2351","220","25021","2305","0","0","2","500000","0","0"
"2411","220","25021","2401","0","0","2","500000","0","0"
"2421","220","25021","2402","0","0","2","500000","0","0"
"2431","220","25021","2403","0","0","2","500000","0","0"
"2441","220","25021","2404","0","0","2","500000","0","0"
"2451","220","25021","2405","0","0","2","500000","0","0"
"2511","220","25021","2501","0","0","2","500000","0","0"
"2521","220","25021","2502","0","0","2","500000","0","0"
"2531","220","25021","2503","0","0","2","500000","0","0"
"2541","220","25021","2504","0","0","2","500000","0","0"
"2551","220","25021","2505","0","0","2","500000","0","0"
"2611","470","25021","2601","0","0","2","510000","0","0"
"2621","470","25021","2602","0","0","2","510000","0","0"
"2631","470","25021","2603","0","0","2","510000","0","0"
"2711","280","25021","2701","0","0","2","510000","0","0"
"2721","280","25021","2702","0","0","2","510000","0","0"
"2731","280","25021","2703","0","0","2","510000","0","0"
"2741","280","25021","2704","0","0","2","510000","0","0"
"2751","280","25021","2705","0","0","2","510000","0","0"
"2811","280","25021","2801","0","0","2","510000","0","0"
"2821","280","25021","2802","0","0","2","510000","0","0"
"2831","280","25021","2803","0","0","2","510000","0","0"
"2841","280","25021","2804","0","0","2","510000","0","0"
"2851","280","25021","2805","0","0","2","510000","0","0"
"2911","280","25021","2901","0","0","2","510000","0","0"
"2921","280","25021","2902","0","0","2","510000","0","0"
"2931","280","25021","2903","0","0","2","510000","0","0"
"2941","280","25021","2904","0","0","2","510000","0","0"
"2951","280","25021","2905","0","0","2","510000","0","0"
"3011","280","25021","3001","0","0","2","510000","0","0"
"3021","280","25021","3002","0","0","2","510000","0","0"
"3031","280","25021","3003","0","0","2","510000","0","0"
"3041","280","25021","3004","0","0","2","510000","0","0"
"3051","280","25021","3005","0","0","2","510000","0","0"
"3111","280","25021","3101","0","0","2","510000","0","0"
"3121","280","25021","3102","0","0","2","510000","0","0"
"3131","280","25021","3103","0","0","2","510000","0","0"
"3141","280","25021","3104","0","0","2","510000","0","0"
"3151","280","25021","3105","0","0","2","510000","0","0"
"3211","280","25021","3201","0","0","2","510000","0","0"
"3221","280","25021","3202","0","0","2","510000","0","0"
"3231","280","25021","3203","0","0","2","510000","0","0"
"3241","280","25021","3204","0","0","2","510000","0","0"
"3251","280","25021","3205","0","0","2","510000","0","0"
"3311","280","25021","3301","0","0","2","510000","0","0"
"3321","280","25021","3302","0","0","2","510000","0","0"
