1a610e44bd7af64f410ec55c9d5207f817c5e79c6cccc8979b8964d9a770fc79,25448419beb7cf309f36705638f7cf85ba07a3184c6798c6aa3db1a85d512c73,bab6abf902f8a719a2f28277ed6879d7e77f9fe05e7cfa414d23efb9e67fe08a
"通常時","106101","装備中"
"通常時","106701","特殊スキル"
"通常時","106801","権能解放中"
"通常時","106901","特殊スキル"
"通常時","115801","変身中"
"通常時","116401","特殊スキル"
"通常時","118201","特殊スキル"
"通常時","118501","特殊スキル"
"通常時","120801","初回発動時"
"通常時","122001","特殊スキル"
"通常時","122301","共闘中"
"通常時","122701","特殊スキル"
"通常時","123001","特殊スキル"
"通常時","125001","共闘中"
"通常時","125801","特殊スキル"
"通常時","126001","特殊スキル"
"通常時","126101","特殊スキル"
"通常時","126201","特殊スキル"
"通常時","126401","【フルチャージ】中"
"通常時","126501","特殊スキル"
"通常時","129001","特殊スキル"
"通常時","129301","特殊スキル"
"通常時","129401","特殊スキル"
"通常時","129601","特殊スキル"
"通常時","129701","特殊スキル"
"通常時","131201","特殊スキル"
