c3a270781b3c73eeeec5f6c74eaa732112e6f42f03e520108de80232b93bc373,56cb5810dda187beac3e28e538182f830e9b1c5f0d213154df768347848a7ab0,07c28f5f44597c349ad1389e8aae6fe9763d77cc8935f5145329f05f79045e39,28add96481cda3bdf549291b1b8d39f795c1362ab886c39ba3df078ee013f4e8,64c2fcc9bc94859d08fa810d80e9d6d05def1e310504c75a522336a1ae47ffb7,3417be1326ad6ee3777f709d0d7d501e11be3d3e4fd0c4c4406b748cbfa1be7a,a6e7e34a8fd1bbecdf956b8576d77b229be62d56f5e1ca23aab1ea1bbb76837d,c0ee9cb4ad5f8669799c95f6ac917c17e30028fec9956a563b4ae5079db40437,44a6d95910a49d51a3a33d11a31fe69aed6a7916b4a89d08cf5db5ce60a901b6
"100","1","2018/01/01 5:00:00","2030/12/31 23:59:59","-1","93001","18001001","6","1"
"100","1","2018/01/01 5:00:00","2030/12/31 23:59:59","-1","93001","18001002","6","2"
"30","1","2018/01/01 5:00:00","2020/11/16 4:59:59","-1","0","11001001","5","3"
"30000","1","2018/01/01 5:00:00","2020/11/16 4:59:59","-1","94002","11001001","12","4"
"10","1","2018/01/01 5:00:00","2020/11/16 4:59:59","-1","91002","11001001","8","5"
"40","1","2018/01/01 5:00:00","2020/11/16 4:59:59","-1","0","11003001","5","6"
"2","1","2018/01/01 5:00:00","2020/11/16 4:59:59","-1","20002","11003001","2","7"
"10","1","2018/01/01 5:00:00","2020/11/16 4:59:59","-1","91002","11003001","8","8"
"20","1","2018/01/01 5:00:00","2020/11/16 4:59:59","-1","0","13002001","5","9"
"20","1","2018/01/01 5:00:00","2020/11/16 4:59:59","-1","0","18004001","5","10"
"25","1","2018/01/01 5:00:00","2020/11/16 4:59:59","-1","0","16006001","5","11"
"25","1","2018/01/01 5:00:00","2020/11/16 4:59:59","-1","0","16007001","5","12"
"3","1","2018/01/01 5:00:00","2020/11/16 4:59:59","-1","22001","16007001","2","13"
"30","1","2018/01/01 5:00:00","2020/11/16 4:59:59","-1","0","11004001","5","14"
"2","1","2018/01/01 5:00:00","2020/11/16 4:59:59","-1","20002","11004001","2","15"
"500","1","2018/01/01 5:00:00","2020/11/16 4:59:59","-1","90007","11004001","2","16"
"40","1","2018/01/01 5:00:00","2020/11/16 4:59:59","-1","0","11005001","5","17"
"30000","1","2018/01/01 5:00:00","2020/11/16 4:59:59","-1","94002","11005001","12","18"
"500","1","2018/01/01 5:00:00","2020/11/16 4:59:59","-1","90007","11005001","2","19"
"30","1","2018/01/01 5:00:00","2030/12/31 23:59:59","-1","0","11006001","5","20"
"2","1","2018/01/01 5:00:00","2030/12/31 23:59:59","-1","20003","11006001","2","21"
