85ca1e42a0b04d66364bdd26d98364e15b939ae93e439830a00c1f902f9a5008,59c84b41af8fe7380c0be614dbd0cda962ab8527be823189c36ab7d6c24855ab,60b1a987663f7a93578c8b6f79a53f3c54f1c6d8028682f63cff790e698ab496,688ead272b41a683ee7e1bc5d1f8400997908117ac89dd4e3ff041d8af440d6d,992d8d305b933e2923df05eea46692fc3cc2b5d3952c0707d123075096b6bbe7,e7caefde8367b3f3be1eee609dbb279c09e3171de30bb3faa43594152271f145,4e043cb18cb3f98ce1a6992bf7529980dc0e9ca20b4c12bba9ada21a83c4067b,e2b2b74ca135e404ab8b23ee2385f095bfede7dbd15861bcfa1daf1db4144a34,7fc5f388f3797c28a1d37598318501b81fbf27e8a399f89d7a282f92d4055ec9,ab93a0c75d2a31b337265bf518f604ca01a7ddeb0d2e01ce0247d58d04eadfe0,1557b6caa66b7dc479f40d02ea57624113ae2b102983aadd1e634d799e02143c,8cbe7f1ba6c182e01bd973b1f7604d62741a5f3ef36f50001391615f4515e690
"1","vo_10020900_0001","0","vo_10020900","0","0","0","0","1","0","2","1010001"
"1","0","1","0","180","0.818181818181818","0","0","2","0","1","1010002"
"1","0","1","0","0","0","0.818181818181818","0","3","1","4","1010003"
"1","0","2","0","148","0.634285714285714","0","0","4","0","1","1010004"
"1","0","2","0","0","0","1.03428571428571","0","5","1","4","1010005"
"1","0","2","0","460","1.33714285714286","0","148","6","0","1","1010006"
"1","0","2","0","0","0","2.13714285714286","0","7","1","4","1010007"
"1","vo_10020900_0002","0","vo_10020900","0","0","0","0","8","0","2","1010008"
"1","0","3","0","223","1.12948051948052","0","0","9","0","1","1010009"
"1","0","3","0","0","0","2.12948051948052","0","10","1","4","1010010"
"1","vo_10020900_0003","0","vo_10020900","0","0","0","0","11","0","2","1010011"
"1","0","3","0","343","0.545454545454545","0","223","12","0","1","1010012"
"1","0","3","0","0","0","1.04545454545455","0","13","1","4","1010013"
"1","0","3","0","700","1.71545454545455","0","343","14","0","1","1010014"
"1","0","3","0","0","0","2.71545454545455","0","15","1","4","1010015"
"1","vo_10020900_0004","0","vo_10020900","0","0","0","0","16","0","2","1010016"
"1","0","4","0","275","1.67857142857143","0","0","17","0","1","1010017"
"1","0","4","0","0","0","2.17857142857143","0","18","1","4","1010018"
"1","vo_10020900_0005","0","vo_10020900","0","0","0","0","19","0","2","1010019"
"1","0","4","0","465","1.28311688311688","0","275","20","0","1","1010020"
"1","0","4","0","0","0","1.98311688311688","0","21","1","4","1010021"
"1","0","4","0","715","1.2987012987013","0","465","22","0","1","1010022"
"1","0","4","0","0","0","1.9987012987013","0","23","1","4","1010023"
"1","0","5","0","400","2.07792207792208","0","0","24","0","1","1010024"
"1","0","5","0","0","0","3.07792207792208","0","25","1","4","1010025"
"1","vo_10020900_0006","0","vo_10020900","0","0","0","0","26","0","2","1010026"
"1","0","6","0","182","1.06363636363636","0","0","27","0","1","1010027"
"1","0","6","0","0","0","1.56363636363636","0","28","1","4","1010028"
"1","0","6","0","700","2.96","0","182","29","0","1","1010029"
"1","0","6","0","0","0","3.96","0","30","1","4","1010030"
"1","vo_10020900_0007","0","vo_10020900","0","0","0","0","31","0","2","1010031"
"1","0","7","0","85","0.386363636363636","0","0","32","0","1","1010032"
"1","0","7","0","0","0","0.886363636363636","0","33","1","4","1010033"
"1","0","7","0","750","3.54090909090909","0","85","34","0","1","1010034"
"1","0","7","0","0","0","4.54090909090909","0","35","1","4","1010035"
"1","vo_10020900_0008","0","vo_10020900","0","0","0","0","36","0","2","1010036"
"1","0","8","0","95","0.431818181818182","0","0","37","0","1","1010037"
"1","0","8","0","0","0","1.03181818181818","0","38","1","4","1010038"
"1","vo_10020900_0009","0","vo_10020900","0","0","0","0","39","0","2","1010039"
"1","0","8","0","235","0.709090909090909","0","95","40","0","1","1010040"
"1","0","8","0","0","0","1.30909090909091","0","41","1","4","1010041"
"1","vo_10020900_0010","0","vo_10020900","0","0","0","0","42","0","2","1010042"
"1","0","8","0","750","3.07662337662338","0","235","43","0","1","1010043"
"1","0","8","0","0","0","4.07662337662338","0","44","1","4","1010044"
"1","vo_10020900_0011","0","vo_10020900","0","0","0","0","45","0","2","1010045"
"1","0","9","0","170","1.43506493506493","0","0","46","0","1","1010046"
"1","0","9","0","0","0","2.43506493506493","0","47","1","4","1010047"
"1","vo_10020900_0012","0","vo_10020900","0","0","0","0","48","0","2","1010048"
"1","0","9","0","720","2.75","0","170","49","0","1","1010049"
"1","0","9","0","0","0","3.95","0","50","1","4","1010050"
"1","vo_10020900_0013","0","vo_10020900","0","0","0","0","51","0","2","1010051"
"1","0","10","0","585","1.67792207792208","0","170","52","0","1","1010052"
"1","0","10","0","0","0","2.27792207792208","0","53","1","4","1010053"
"1","0","10","0","750","0.9","0","585","54","0","1","1010054"
